id,release_date,original_title,title,budget,revenue,runtime,popularity,vote_average,vote_count,adult,belongs_to_collection,genres,production_companies,spoken_languages,status,tagline,overview,imdb_id,production_countries,original_language
912649,2024-10-22,Venom: The Last Dance,Venom: The Last Dance,120000000,468513700,109,9823.665,6.752,1426,False,"{'id': 558216, 'name': 'Venom Collection', 'poster_path': '/4bXIKqdZIjR8wKgZaGDaLhLj4yF.jpg', 'backdrop_path': '/vq340s8DxA5Q209FT8PHA6CXYOx.jpg'}","[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 84041, 'logo_path': '/nw4kyc29QRpNtFbdsBHkRSFavvt.png', 'name': 'Pascal Pictures', 'origin_country': 'US'}, {'id': 53462, 'logo_path': '/nx8B3Phlcse02w86RW4CJqzCnfL.png', 'name': 'Matt Tolmach Productions', 'origin_country': 'US'}, {'id': 91797, 'logo_path': None, 'name': 'Hutch Parker Entertainment', 'origin_country': 'US'}, {'id': 14439, 'logo_path': None, 'name': 'Arad Productions', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,'Til death do they part.,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",tt16366836,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
1241982,2024-11-21,Moana 2,Moana 2,150000000,600055655,100,3726.979,6.898,479,False,"{'id': 1241984, 'name': 'Moana Collection', 'poster_path': '/hiGRhPYMKU8aXfxmSD7lqJNSzJG.jpg', 'backdrop_path': '/4OgaftFNqtE1UvfDDb2Eov7A5Rz.jpg'}","[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]","[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 6125, 'logo_path': '/tzsMJBJZINu7GHzrpYzpReWhh66.png', 'name': 'Walt Disney Animation Studios', 'origin_country': 'US'}, {'id': 158526, 'logo_path': '/tzsMJBJZINu7GHzrpYzpReWhh66.png', 'name': 'Walt Disney Animation Studios', 'origin_country': 'CA'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The ocean is calling them back.,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",tt13622970,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",en
558449,2024-11-05,Gladiator II,Gladiator II,310000000,368092895,148,960.733,6.7,1060,False,"{'id': 1069584, 'name': 'Gladiator Collection', 'poster_path': '/jF6ceQFwbGmFxJWgmG7IBYvyb1B.jpg', 'backdrop_path': '/1VdLvSIeHuwqCT13H9EafxCacGB.jpg'}","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}]","[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 221347, 'logo_path': '/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png', 'name': 'Scott Free Productions', 'origin_country': 'US'}, {'id': 246486, 'logo_path': None, 'name': 'Lucy Fisher/Douglas Wick Productions', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Prepare to be entertained.,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",tt9218128,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
1100782,2024-10-16,Smile 2,Smile 2,28000000,138038364,127,746.193,6.6,913,False,"{'id': 1100788, 'name': 'Smile Collection', 'poster_path': '/dwYTcIIQR2QWJYnyv7NZczcCCbv.jpg', 'backdrop_path': '/pn3cr4dX5z68A1tRryPLsx3FK3q.jpg'}","[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]","[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 12292, 'logo_path': '/4GQTeqos2luopEtp3OgMQYusQ5c.png', 'name': 'Temple Hill Entertainment', 'origin_country': 'US'}, {'id': 231315, 'logo_path': None, 'name': 'Bad Feeling', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,It's the last thing you'll see.,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",tt29268110,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
1034541,2024-10-09,Terrifier 3,Terrifier 3,2000000,89012340,125,697.467,6.8,1213,False,"{'id': 727761, 'name': 'Terrifier Collection', 'poster_path': '/60PWLvDagquCysvzNWmpdPeVvsx.jpg', 'backdrop_path': '/j0SjkcJPLWEgtu7VGHLLWiQKAap.jpg'}","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 238902, 'logo_path': '/jLAg5fOlAw1Jl8Q7WoyKxh1H22y.png', 'name': 'Cineverse', 'origin_country': 'US'}, {'id': 15157, 'logo_path': '/yezzLb9RbKNtQUsyYySAqC9TQr7.png', 'name': 'Bloody Disgusting', 'origin_country': 'US'}, {'id': 84591, 'logo_path': None, 'name': 'Dark Age Cinema', 'origin_country': 'US'}, {'id': 114220, 'logo_path': '/b5n3DtfUySREkq4Xi962zMg69qq.png', 'name': 'Fuzz on the Lens Productions', 'origin_country': 'US'}, {'id': 213025, 'logo_path': '/bFz17QGqfF8wiQAH3T4kfzKC8dU.png', 'name': 'The Coven', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Prepare to be terrified again.,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",tt27911000,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
1022789,2024-06-11,Inside Out 2,Inside Out 2,200000000,1698586747,97,620.824,7.6,4971,False,"{'id': 1022790, 'name': 'Inside Out Collection', 'poster_path': '/kvJqs0vm29U0xJa373wlzHb3FRh.jpg', 'backdrop_path': '/7U2m2dMSIfHx2gWXKq78Xj1weuH.jpg'}","[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Make room for new emotions.,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",tt22022452,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
519182,2024-06-20,Despicable Me 4,Despicable Me 4,100000000,969264325,94,561.836,7.079,2294,False,"{'id': 86066, 'name': 'Despicable Me Collection', 'poster_path': '/95prV91f4DxkBnLU43YjLbU1m3q.jpg', 'backdrop_path': '/37xamYKRUGCRux532lKcZdVGYuR.jpg'}","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]","[{'id': 33, 'logo_path': '/3wwjVpkZtnog6lSKzWDjvw2Yi00.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 6704, 'logo_path': '/fOG2oY4m1YuYTQh4bMqqZkmgOAI.png', 'name': 'Illumination', 'origin_country': 'US'}, {'id': 42, 'logo_path': None, 'name': 'Universal Pictures Corporation', 'origin_country': ''}, {'id': 243656, 'logo_path': None, 'name': 'My Production to prove', 'origin_country': ''}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Things just got a little more despicable.,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",tt7510222,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
939243,2024-12-19,Sonic the Hedgehog 3,Sonic the Hedgehog 3,0,1377009,110,513.382,0.0,0,False,"{'id': 720879, 'name': 'Sonic the Hedgehog Collection', 'poster_path': '/fwFWhYXj8wY6gFACtecJbg229FI.jpg', 'backdrop_path': '/l5CIAdxVhhaUD3DaS4lP4AR2so9.jpg'}","[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 333, 'logo_path': '/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png', 'name': 'Original Film', 'origin_country': 'US'}, {'id': 77884, 'logo_path': '/dP2lxVNctD5Cried0IWVqgrO2o9.png', 'name': 'Marza Animation Planet', 'origin_country': 'JP'}, {'id': 113750, 'logo_path': '/A3QVZ9Ah0yI2d2GiXUFpdlbTgyr.png', 'name': 'SEGA', 'origin_country': 'JP'}, {'id': 10644, 'logo_path': '/ocLZIdYJBppuCt1rhYEb2jbpt5F.png', 'name': 'Blur Studio', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,New adventure. New rival.,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",tt18259086,"[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",en
580489,2021-09-30,Venom: Let There Be Carnage,Venom: Let There Be Carnage,110000000,506863592,97,287.245,6.799,10276,False,"{'id': 558216, 'name': 'Venom Collection', 'poster_path': '/4bXIKqdZIjR8wKgZaGDaLhLj4yF.jpg', 'backdrop_path': '/vq340s8DxA5Q209FT8PHA6CXYOx.jpg'}","[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 84041, 'logo_path': '/nw4kyc29QRpNtFbdsBHkRSFavvt.png', 'name': 'Pascal Pictures', 'origin_country': 'US'}, {'id': 53462, 'logo_path': '/nx8B3Phlcse02w86RW4CJqzCnfL.png', 'name': 'Matt Tolmach Productions', 'origin_country': 'US'}, {'id': 14439, 'logo_path': None, 'name': 'Arad Productions', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,It’s time to meet Carnage.,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",tt7097896,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
772,1992-11-15,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,18000000,358994850,120,303.864,6.7,9579,False,"{'id': 9888, 'name': 'Home Alone Collection', 'poster_path': '/zYPsleQJo1n1rBPlecJBRb3iwSO.jpg', 'backdrop_path': '/tpmfRWL1ecFxFOOeqvp6hDf41ac.jpg'}","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]","[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 477, 'logo_path': '/4wfCdggcE3ZG26uJpnAvyI0vEeL.png', 'name': 'Hughes Entertainment', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,He's up past his bedtime in the city that never sleeps.,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",tt0104431,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
