id,release_date,original_title,title,Wikipedia movie ID
772,1992-11-15,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,294998
122,2003-12-17,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,414113
674,2005-11-16,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,667372
121,2002-12-18,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,173944
809,2004-05-19,Shrek 2,Shrek 2,525314
9714,1997-12-12,Home Alone 3,Home Alone 3,695249
559,2007-05-01,Spider-Man 3,Spider-Man 3,702117
863,1999-10-30,Toy Story 2,Toy Story 2,335298
810,2007-05-17,Shrek the Third,Shrek the Third,903383
8355,2009-06-26,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,12260598
950,2006-03-29,Ice Age: The Meltdown,Ice Age: The Meltdown,2303174
36669,2002-11-17,Die Another Day,Die Another Day,2235752
8856,1986-06-18,The Karate Kid Part II,The Karate Kid Part II,1107088
10527,2008-10-30,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,3858746
1369,1985-05-21,Rambo: First Blood Part II,Rambo: First Blood Part II,583012
1734,2001-05-04,The Mummy Returns,The Mummy Returns,957359
13186,2007-08-25,Wrong Turn 2: Dead End,Wrong Turn 2: Dead End,5734461
12594,1999-03-12,Wishmaster 2: Evil Never Dies,Wishmaster 2: Evil Never Dies,12256535
45233,1983-05-06,Blade Violent - I violenti,Women's Prison Massacre,16909489
1895,2005-05-17,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,4873068
15370,2002-07-19,猫の恩返し,The Cat Returns,697246
7555,2008-01-24,Rambo,Rambo,18850952
11430,2004-02-06,The Lion King 1½,The Lion King 1½,385706
9021,2002-09-29,The Santa Clause 2,The Santa Clause 2,454718
13767,2006-11-02,The Santa Clause 3: The Escape Clause,The Santa Clause 3: The Escape Clause,3257958
14128,2002-02-23,Cinderella II: Dreams Come True,Cinderella II: Dreams Come True,4196336
196,1990-05-25,Back to the Future Part III,Back to the Future Part III,213275
4437,1984-12-06,2010,2010,31629
