id,release_date,original_title,title
580489,2021-09-30,Venom: Let There Be Carnage,Venom: Let There Be Carnage
663712,2022-10-06,Terrifier 2,Terrifier 2
569094,2023-05-31,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse
634649,2021-12-15,Spider-Man: No Way Home,Spider-Man: No Way Home
575264,2023-07-08,Mission: Impossible - Dead Reckoning Part One,Mission: Impossible - Dead Reckoning Part One
385687,2023-05-17,Fast X,Fast X
76600,2022-12-14,Avatar: The Way of Water,Avatar: The Way of Water
772,1992-11-15,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York
640146,2023-02-15,Ant-Man and the Wasp: Quantumania,Ant-Man and the Wasp: Quantumania
122,2003-12-17,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
603692,2023-03-22,John Wick: Chapter 4,John Wick: Chapter 4
829557,2022-04-26,365 dni: Ten dzień,365 Days: This Day
447365,2023-05-03,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3
361743,2022-05-21,Top Gun: Maverick,Top Gun: Maverick
315162,2022-11-26,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish
675353,2022-03-30,Sonic the Hedgehog 2,Sonic the Hedgehog 2
122917,2014-12-10,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies
674,2005-11-16,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire
572802,2023-12-20,Aquaman and the Lost Kingdom,Aquaman and the Lost Kingdom
91314,2014-06-25,Transformers: Age of Extinction,Transformers: Age of Extinction
438148,2022-06-29,Minions: The Rise of Gru,Minions: The Rise of Gru
57158,2013-12-11,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug
609681,2023-11-08,The Marvels,The Marvels
166428,2019-01-03,How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World
299534,2019-04-24,Avengers: Endgame,Avengers: Endgame
166426,2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales
459151,2021-07-01,The Boss Baby: Family Business,The Boss Baby: Family Business
260346,2014-12-16,Taken 3,Taken 3
348893,2016-08-01,Boyka: Undisputed IV,Boyka: Undisputed IV
520763,2021-05-21,A Quiet Place Part II,A Quiet Place Part II
438695,2021-11-27,Sing 2,Sing 2
131631,2014-11-19,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1
458156,2019-05-15,John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum
284053,2017-10-02,Thor: Ragnarok,Thor: Ragnarok
121,2002-12-18,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers
283995,2017-04-19,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2
281338,2017-07-11,War for the Planet of the Apes,War for the Planet of the Apes
559,2007-05-01,Spider-Man 3,Spider-Man 3
299054,2023-09-15,Expend4bles,Expend4bles
335984,2017-10-04,Blade Runner 2049,Blade Runner 2049
615656,2023-08-02,Meg 2: The Trench,Meg 2: The Trench
809,2004-05-19,Shrek 2,Shrek 2
616037,2022-07-06,Thor: Love and Thunder,Thor: Love and Thunder
271110,2016-04-27,Captain America: Civil War,Captain America: Civil War
934433,2023-03-08,Scream VI,Scream VI
474350,2019-09-04,It Chapter Two,It Chapter Two
337167,2018-01-17,Fifty Shades Freed,Fifty Shades Freed
505642,2022-11-09,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever
126889,2017-05-09,Alien: Covenant,Alien: Covenant
751741,2022-12-08,Night at the Museum: Kahmunrah Rises Again,Night at the Museum: Kahmunrah Rises Again
99861,2015-04-22,Avengers: Age of Ultron,Avengers: Age of Ultron
56292,2011-12-07,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol
893723,2023-09-21,PAW Patrol: The Mighty Movie,PAW Patrol: The Mighty Movie
353081,2018-07-13,Mission: Impossible - Fallout,Mission: Impossible - Fallout
330457,2019-11-20,Frozen II,Frozen II
263115,2017-02-28,Logan,Logan
7555,2008-01-24,Rambo,Rambo
429617,2019-06-28,Spider-Man: Far From Home,Spider-Man: Far From Home
10192,2010-05-16,Shrek Forever After,Shrek Forever After
383498,2018-05-10,Deadpool 2,Deadpool 2
863,1999-10-30,Toy Story 2,Toy Story 2
677179,2023-03-01,Creed III,Creed III
507086,2022-06-01,Jurassic World Dominion,Jurassic World Dominion
955555,2023-05-31,범죄도시 3,The Roundup: No Way Out
713704,2023-04-12,Evil Dead Rise,Evil Dead Rise
38700,2020-01-15,Bad Boys for Life,Bad Boys for Life
127380,2016-06-16,Finding Dory,Finding Dory
278924,2016-08-25,Mechanic: Resurrection,Mechanic: Resurrection
420809,2019-10-16,Maleficent: Mistress of Evil,Maleficent: Mistress of Evil
654028,2020-11-18,The Christmas Chronicles: Part Two,The Christmas Chronicles: Part Two
324552,2017-02-08,John Wick: Chapter 2,John Wick: Chapter 2
423108,2021-05-25,The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It
172385,2014-03-19,Rio 2,Rio 2
1734,2001-05-04,The Mummy Returns,The Mummy Returns
260514,2017-06-15,Cars 3,Cars 3
283445,2015-08-19,Sinister 2,Sinister 2
301528,2019-06-19,Toy Story 4,Toy Story 4
642885,2022-09-27,Hocus Pocus 2,Hocus Pocus 2
529203,2020-11-25,The Croods: A New Age,The Croods: A New Age
119450,2014-07-08,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes
49013,2011-06-11,Cars 2,Cars 2
135397,2015-06-06,Jurassic World,Jurassic World
901362,2023-10-12,Trolls Band Together,Trolls Band Together
87101,2015-06-23,Terminator Genisys,Terminator Genisys
11430,2004-02-06,The Lion King 1½,The Lion King 1½
335977,2023-06-25,Indiana Jones and the Dial of Destiny,Indiana Jones and the Dial of Destiny
165,1989-11-22,Back to the Future Part II,Back to the Future Part II
140300,2016-01-23,Kung Fu Panda 3,Kung Fu Panda 3
214756,2015-06-25,Ted 2,Ted 2
13683,2002-06-24,Tarzan & Jane,Tarzan & Jane
278154,2016-06-23,Ice Age: Collision Course,Ice Age: Collision Course
810,2007-05-17,Shrek the Third,Shrek the Third
47971,2017-01-13,xXx: Return of Xander Cage,xXx: Return of Xander Cage
346910,2018-09-05,The Predator,The Predator
177677,2015-07-23,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation
442249,2018-07-04,The First Purge,The First Purge
351286,2018-06-06,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom
76617,2013-01-03,Texas Chainsaw 3D,Texas Chainsaw 3D
303857,2015-04-18,ドラゴンボールZ 復活の「F」,Dragon Ball Z: Resurrection 'F'
363088,2018-07-04,Ant-Man and the Wasp,Ant-Man and the Wasp
102382,2014-04-16,The Amazing Spider-Man 2,The Amazing Spider-Man 2
4258,2013-04-11,Scary Movie 5,Scary Movie 5
454640,2019-08-02,The Angry Birds Movie 2,The Angry Birds Movie 2
262500,2015-03-18,Insurgent,Insurgent
308531,2016-06-01,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows
968051,2023-09-06,The Nun II,The Nun II
615173,2022-06-15,마녀 2,The Witch: Part 2. The Other One
565028,2021-08-25,Candyman,Candyman
260513,2018-06-14,Incredibles 2,Incredibles 2
820525,2023-09-13,After Everything,After Everything
638974,2023-03-28,Murder Mystery 2,Murder Mystery 2
14128,2002-02-23,Cinderella II: Dreams Come True,Cinderella II: Dreams Come True
10193,2010-06-16,Toy Story 3,Toy Story 3
13186,2007-08-25,Wrong Turn 2: Dead End,Wrong Turn 2: Dead End
450465,2019-01-16,Glass,Glass
238636,2014-07-17,The Purge: Anarchy,The Purge: Anarchy
1094844,2023-03-24,Ape vs Mecha Ape,Ape vs Mecha Ape
1369,1985-05-21,Rambo: First Blood Part II,Rambo: First Blood Part II
337339,2017-04-12,The Fate of the Furious,The Fate of the Furious
109428,2013-04-05,Evil Dead,Evil Dead
336843,2018-01-10,Maze Runner: The Death Cure,Maze Runner: The Death Cure
988078,2023-06-23,A través del mar,Through My Window: Across the Sea
181808,2017-12-13,Star Wars: The Last Jedi,Star Wars: The Last Jedi
290859,2019-10-23,Terminator: Dark Fate,Terminator: Dark Fate
55301,2011-12-14,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked
109451,2013-09-26,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2
661374,2022-11-23,Glass Onion: A Knives Out Mystery,Glass Onion: A Knives Out Mystery
345887,2018-07-19,The Equalizer 2,The Equalizer 2
41446,2011-04-13,Scream 4,Scream 4
566810,2018-11-26,Dragon Kingdom,The Dark Kingdom
565426,2020-02-03,To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You
125509,2012-10-23,Wrong Turn 5: Bloodlines,Wrong Turn 5: Bloodlines
49444,2011-05-25,Kung Fu Panda 2,Kung Fu Panda 2
346672,2016-11-24,Underworld: Blood Wars,Underworld: Blood Wars
4234,2000-02-04,Scream 3,Scream 3
697843,2023-06-09,Extraction 2,Extraction 2
36669,2002-11-17,Die Another Day,Die Another Day
341174,2017-02-08,Fifty Shades Darker,Fifty Shades Darker
522938,2019-09-19,Rambo: Last Blood,Rambo: Last Blood
82702,2014-06-05,How to Train Your Dragon 2,How to Train Your Dragon 2
520758,2023-12-08,Chicken Run: Dawn of the Nugget,Chicken Run: Dawn of the Nugget
93456,2013-06-26,Despicable Me 2,Despicable Me 2
74997,2011-10-06,The Human Centipede 2 (Full Sequence),The Human Centipede 2 (Full Sequence)
30827,1974-02-01,Deep Throat Part II,Deep Throat Part II
522518,2019-05-03,A Dog's Journey,A Dog's Journey
446893,2020-03-11,Trolls World Tour,Trolls World Tour
101299,2013-11-15,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire
316727,2016-06-29,The Purge: Election Year,The Purge: Election Year
423204,2019-08-21,Angel Has Fallen,Angel Has Fallen
346648,2017-11-09,Paddington 2,Paddington 2
400535,2018-06-27,Sicario: Day of the Soldado,Sicario: Day of the Soldado
1572,1995-05-19,Die Hard: With a Vengeance,Die Hard: With a Vengeance
280092,2015-05-28,Insidious: Chapter 3,Insidious: Chapter 3
807172,2023-10-04,The Exorcist: Believer,The Exorcist: Believer
