id,release_date,original_title,title,collection,collection_id,budget,revenue,runtime,popularity,vote_average,vote_count,adult,belongs_to_collection,genres,production_companies,spoken_languages,status,tagline,overview,imdb_id,production_countries,original_language
8835,2001-07-13,Legally Blonde,Legally Blonde,Legally Blonde Collection,86024,18000000,141774679,96,48.671,6.778,3972,False,"{'id': 86024, 'name': 'Legally Blonde Collection', 'poster_path': '/2hRPa13K9cljmKJdaLVs1J1zzay.jpg', 'backdrop_path': '/aabPyPAA6E8hJ7tUipwunr3Itzb.jpg'}","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 2527, 'logo_path': '/osO7TGmlRMistSQ5JZusPhbKUHk.png', 'name': 'Marc Platt Productions', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,Boldly going where no blonde has gone.,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school, but while there, she figures out that there is more to herself than just looks.",tt0250494,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
10327,2003-07-02,"Legally Blonde 2: Red, White & Blonde","Legally Blonde 2: Red, White & Blonde",Legally Blonde Collection,86024,45000000,124914842,95,35.533,5.7,1560,False,"{'id': 86024, 'name': 'Legally Blonde Collection', 'poster_path': '/2hRPa13K9cljmKJdaLVs1J1zzay.jpg', 'backdrop_path': '/aabPyPAA6E8hJ7tUipwunr3Itzb.jpg'}","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 2527, 'logo_path': '/osO7TGmlRMistSQ5JZusPhbKUHk.png', 'name': 'Marc Platt Productions', 'origin_country': 'US'}, {'id': 2308, 'logo_path': None, 'name': 'Type A Films', 'origin_country': ''}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Bigger. Bolder. Blonder.,"Now a rising young lawyer, Elle Woods is about to make partner at her firm, but when she finds out her dog's relatives are being used as cosmetic test subjects, she heads to Washington D.C. to fight for animal rights.",tt0333780,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
528320,,Legally Blonde 3,Legally Blonde 3,Legally Blonde Collection,86024,0,0,0,11.984,0.0,0,False,"{'id': 86024, 'name': 'Legally Blonde Collection', 'poster_path': '/2hRPa13K9cljmKJdaLVs1J1zzay.jpg', 'backdrop_path': '/aabPyPAA6E8hJ7tUipwunr3Itzb.jpg'}","[{'id': 35, 'name': 'Comedy'}]","[{'id': 2527, 'logo_path': '/osO7TGmlRMistSQ5JZusPhbKUHk.png', 'name': 'Marc Platt Productions', 'origin_country': 'US'}, {'id': 105382, 'logo_path': '/b94sYzp4YUqi3DqIUnWnfrmxlN.png', 'name': 'Hello Sunshine', 'origin_country': 'US'}, {'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Planned,,Legally Blonde 3 picks up with Elle Woods at 40 and as a mom with a successful career.,tt8509238,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
11,1977-05-25,Star Wars,Star Wars,Star Wars Collection,10,11000000,775398007,121,83.114,8.204,20541,False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/r8Ph5MYXL04Qzu4QBbq2KjqwtkQ.jpg', 'backdrop_path': '/zZDkgOmFMVYpGAkR9Tkxw0CRnxX.jpg'}","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 1, 'logo_path': '/tlVSws0RvvtPBwViUyOFAO0vcQS.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"A long time ago in a galaxy far, far away...",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,tt0076759,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
1891,1980-05-20,The Empire Strikes Back,The Empire Strikes Back,Star Wars Collection,10,18000000,538400000,124,34.419,8.392,16893,False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/r8Ph5MYXL04Qzu4QBbq2KjqwtkQ.jpg', 'backdrop_path': '/zZDkgOmFMVYpGAkR9Tkxw0CRnxX.jpg'}","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 1, 'logo_path': '/tlVSws0RvvtPBwViUyOFAO0vcQS.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The Star Wars saga continues.,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",tt0080684,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
1892,1983-05-25,Return of the Jedi,Return of the Jedi,Star Wars Collection,10,32350000,572700000,132,30.892,7.9,15604,False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/r8Ph5MYXL04Qzu4QBbq2KjqwtkQ.jpg', 'backdrop_path': '/zZDkgOmFMVYpGAkR9Tkxw0CRnxX.jpg'}","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 1, 'logo_path': '/tlVSws0RvvtPBwViUyOFAO0vcQS.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Return to a galaxy far, far away.","Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",tt0086190,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
1893,1999-05-19,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,Star Wars Collection,10,115000000,924317558,136,34.904,6.555,14536,False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/r8Ph5MYXL04Qzu4QBbq2KjqwtkQ.jpg', 'backdrop_path': '/zZDkgOmFMVYpGAkR9Tkxw0CRnxX.jpg'}","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 1, 'logo_path': '/tlVSws0RvvtPBwViUyOFAO0vcQS.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",tt0120915,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
1894,2002-05-15,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,Star Wars Collection,10,120000000,649398328,142,32.621,6.569,13162,False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/r8Ph5MYXL04Qzu4QBbq2KjqwtkQ.jpg', 'backdrop_path': '/zZDkgOmFMVYpGAkR9Tkxw0CRnxX.jpg'}","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 1, 'logo_path': '/tlVSws0RvvtPBwViUyOFAO0vcQS.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A Jedi shall not know anger. Nor hatred. Nor love.,"Following an assassination attempt on Senator Padmé Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot that could change the galaxy forever.",tt0121765,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
1895,2005-05-17,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,Star Wars Collection,10,113000000,850000000,140,36.952,7.4,13644,False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/r8Ph5MYXL04Qzu4QBbq2KjqwtkQ.jpg', 'backdrop_path': '/zZDkgOmFMVYpGAkR9Tkxw0CRnxX.jpg'}","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 1, 'logo_path': '/tlVSws0RvvtPBwViUyOFAO0vcQS.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The saga is complete.,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,tt0121766,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
140607,2015-12-15,Star Wars: The Force Awakens,Star Wars: The Force Awakens,Star Wars Collection,10,245000000,2068223624,136,80.885,7.273,19289,False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/r8Ph5MYXL04Qzu4QBbq2KjqwtkQ.jpg', 'backdrop_path': '/zZDkgOmFMVYpGAkR9Tkxw0CRnxX.jpg'}","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 1, 'logo_path': '/tlVSws0RvvtPBwViUyOFAO0vcQS.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}, {'id': 11461, 'logo_path': '/p9FoEt5shEKRWRKVIlvFaEmRnun.png', 'name': 'Bad Robot', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Every generation has a story.,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",tt2488496,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
