id,release_date,original_title,title,budget,revenue,runtime,popularity,vote_average,vote_count,adult,belongs_to_collection,genres,production_companies,spoken_languages,status,tagline,overview,imdb_id,production_countries,original_language
70000,2010-12-03,ファッション・ヘル,Horny House of Horror,0,0,75,9.615,4.8,32,False,,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]","[{'id': 7994, 'logo_path': None, 'name': 'Fashion Hell Film Partners', 'origin_country': ''}, {'id': 7995, 'logo_path': None, 'name': 'Media Complex Japan', 'origin_country': ''}]","[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,"Nakazu, Uno and Toshida…three drunk buddies on their way home from a baseball game who decide it would be a great idea to visit Shogun, a notorious brothel in a nondescript area of suburban Japan. New to the world of “love hotels”, Nakazu is uneasy as he steps into this strange place, wracked with guilt over his new fiancée. As his two friends select women and disappear into the doors of the love hotel, Nakazu hears the tortured screams and begins a bloody battle with the women of the HORNY HOUSE OF HORROR!",tt1806906,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
58107,2010-07-07,ブラック★ロックシューター,Black★Rock Shooter,0,0,52,4.095,6.3,41,False,,"[{'id': 18, 'name': 'Drama'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]","[{'id': 32384, 'logo_path': None, 'name': 'Ordet', 'origin_country': 'JP'}]","[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,"The story of two girls bound in friendship, as well as Black Rock Star's struggle unfolding in another world. But when the two worlds come together... what will happen?",tt1827378,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
76216,2010-09-28,ヘルドライバー,Helldriver,0,0,117,4.397,5.8,47,False,,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 86628, 'logo_path': None, 'name': 'Sushi Typhoon', 'origin_country': ''}, {'id': 955, 'logo_path': '/5xnXD3PJI1HqOJceSAKZ3fDqO1V.png', 'name': 'Nikkatsu Corporation', 'origin_country': 'JP'}, {'id': 235685, 'logo_path': None, 'name': 'Something Creation', 'origin_country': ''}]","[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,A joy ride.,"Still reeling from the events of a zombie apocalypse, a young woman, along with a group of allies, makes her way across a dystopian Japan in search of her mother, the Zombie Queen.",tt1653913,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
55344,2010-01-30,ボーイズ・オン・ザ・ラン,Boys on the Run,0,0,114,3.107,5.2,13,False,,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 3219, 'logo_path': None, 'name': 'Amuse Soft Entertainment', 'origin_country': 'JP'}, {'id': 193050, 'logo_path': '/rSDotJ7ij6cSAXYbNlbEsK6WobJ.png', 'name': 'TYO', 'origin_country': 'JP'}, {'id': 9149, 'logo_path': '/isLUpud9N56ifftJZ4XvzwBBpoG.png', 'name': 'Shogakukan', 'origin_country': 'JP'}, {'id': 44989, 'logo_path': None, 'name': 'Phantom Film', 'origin_country': 'JP'}, {'id': 193055, 'logo_path': None, 'name': 'Vantan Film Institute', 'origin_country': 'JP'}, {'id': 123248, 'logo_path': None, 'name': 'Monster Ultra', 'origin_country': 'JP'}]","[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,A socially awkward salesman for a toy-capsule company tries to change his nerdy ways when a slick rival moves in on the beautiful co-worker he loves.,tt1590962,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
73529,2010-11-06,マルドゥック・スクランブル 圧縮,Mardock Scramble: The First Compression,0,0,69,10.567,6.9,115,False,"{'id': 122661, 'name': 'Mardock Scramble Collection', 'poster_path': '/b5iNxidFGFT1DLLdEY3OsLlUxG2.jpg', 'backdrop_path': '/5d38jcR72TQrjAZJ4X3nxyVMIck.jpg'}","[{'id': 53, 'name': 'Thriller'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]","[{'id': 7759, 'logo_path': '/jZ6PgJimkzmKkqpunlaBgEkLPjv.png', 'name': 'GoHands', 'origin_country': 'JP'}, {'id': 7760, 'logo_path': None, 'name': 'BROSTA TV', 'origin_country': ''}, {'id': 7761, 'logo_path': None, 'name': 'Mardock Scramble Production Committee', 'origin_country': ''}, {'id': 2883, 'logo_path': '/rDYExnBV61jGQnkhVVrPN4Yl7O1.png', 'name': 'Aniplex', 'origin_country': 'JP'}]","[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,"Rune Ballot is a down-and-out teen prostitute in Mardock City. One day, she's picked up by an ambitious casino manager named Shell who gives her everything she could want. Renewed by a false innocence, a false past, and now the false life Shell has given her, Ballot feels grateful. However, she can't help but be curious about why he's done so much for her, so she does some research about his past on a computer. This turns out to be a mistake which will change her life greatly. When Shell finds out what she's done, he attempts to burn her to death by blowing up her car.",tt1754177,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
67560,2010-05-08,ユリ子のアロマ,Yuriko's Aroma,0,0,74,3.155,6.0,13,False,,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 4658, 'logo_path': None, 'name': 'Ace Deuce Entertainment', 'origin_country': 'JP'}]","[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,"30 something year old Yuriko (Noriko Eguchi) works as a aromatherapist at an aroma salon. She uses essentials oils and her hands to soothe her client’s inner well-being. Yuriko also has a secret she can’t tell anyone; She gets incredibly turned on by the sweaty scent of a 17 year old high school student named Tetsuya (Shota Someya). Tetsuya is also the nephew of the salon owner (Jun Miho). Meanwhile, salon client Ayama (Saori Hara) asks to practice aromatherapy, but her real intent is to press her large breasts against Yuriko.",tt1603463,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
50461,2010-03-06,ライアーゲーム　ザ・ファイナルステージ,Liar Game: The Final Stage,0,0,133,4.379,7.6,41,False,"{'id': 681126, 'name': 'Liar Game Collection', 'poster_path': '/knz9pmHdxihzP7Bu8yitoKcjDMF.jpg', 'backdrop_path': None}","[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 9648, 'name': 'Mystery'}]","[{'id': 882, 'logo_path': '/fRSWWjquvzcHjACbtF53utZFIll.png', 'name': 'TOHO', 'origin_country': 'JP'}]","[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,"In Liar game: Final Stage, Players are encouraged to trust each other to win the tournament. However, a mysterious player named X is secretly plotting to sabotage everyone of their chances to win the LGT.",tt1423953,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
39952,2010-02-12,ルパン三世 the Last Job,Lupin the Third: The Last Job,0,0,92,3.912,6.4,22,False,"{'id': 1185967, 'name': 'Lupin The Third Collection', 'poster_path': '/sPXQYar3kHKTMbagzlbaeXcA36V.jpg', 'backdrop_path': '/3UOFFTfrLF7S6eYHq4w9iglFeDM.jpg'}","[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 80, 'name': 'Crime'}]","[{'id': 7164, 'logo_path': '/vHsaqTkQ2ZTbdqrCA272YahoVlg.png', 'name': 'TMS Entertainment', 'origin_country': 'JP'}]","[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,"Lupin begins his heist by stealing a newly-discovered Japanese cultural treasure being transported to Germany. During his attempt to steal the treasure, however, he witnesses the always-ambitious Zenigata's supposed ""death,"" a plan hatched by a ninja clan who are also after the treasure. Can Lupin and his friends prevent the ninja clan from obtaining what they seek?",tt1577867,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
56362,2010-08-28,ルー=ガルー 忌避すべき狼,Loups=Garous,0,0,99,4.379,4.9,17,False,,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 16, 'name': 'Animation'}]","[{'id': 529, 'logo_path': '/rwB6w2aPENQbx756pBWSw44Ouk.png', 'name': 'Production I.G', 'origin_country': 'JP'}]","[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,"Virtual reality. Murder. Werewolves. And teen girls! In a future where nothing is as it seems, can old legends come true? In the near future, humans will communicate almost exclusively through monitors, making real interaction a rarefied and weak occurrence for those living in a near totalitarian society. In this new world of communication, children are only allowed to interact personally on school grounds. So when a serial killer starts slaughtering junior high children the communication routes go under further surveillance. And despite all the safeguards put in place to avoid physical interaction, the killer's latest victim turns out to have been in contact with three young girls: Tsuzki Mio, a certified prodigy; Matsuno Hatsuki, a quiet but opinionated classmate; and Kouno Ayumi, her best friend. And as the girls get caught up in trying to quell curiosity under such terrorist scrutiny, Hatsuki learns that there is much more than meets the eye of their monitored communications.",tt1710994,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
71883,2010-05-27,レッドライン,Redline,0,0,102,12.74,7.5,452,False,,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 1780, 'logo_path': '/jdnvUiU7I3Uf2ig0VZNNjf0ORRL.png', 'name': 'TFC', 'origin_country': 'JP'}, {'id': 3464, 'logo_path': '/9k0nr75nwnNeT2MHerf1OXJN0hj.png', 'name': 'Madhouse', 'origin_country': 'JP'}]","[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,"The most dangerous and exciting car race in the universe is held only once every five years. And that's tonight. The competitors are lined up at the starting block. In his vehicle, JP, the most daredevil driver on the circuit, is ready for the green light. Female driver Sonoshee, with whom he is secretly in love, is also on the starting line. She will stop at nothing to get on to that podium. In this race, not only is anything possible, but also anything is allowed. In fact, their adversaries have modified their vehicles to equip them with highly destructive weapons; with such participants, it is hardly surprising that Redline is forbidden by the authorities, who will try anything to halt the proceedings.",tt1483797,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
