,id,release_date,original_title,title,Wikipedia movie ID
0,564,1999-04-16,The Mummy,The Mummy,253828.0
1,111,1983-12-09,Scarface,Scarface,267848.0
2,665,1959-11-18,Ben-Hur,Ben-Hur,1343342.0
3,1422,2006-10-04,The Departed,The Departed,1349086.0
4,9820,1998-07-28,The Parent Trap,The Parent Trap,2236329.0
5,1091,1982-06-25,The Thing,The Thing,30809.0
6,7445,2009-12-02,Brothers,Brothers,14882944.0
7,17379,2006-01-13,Last Holiday,Last Holiday,2571348.0
8,924,2004-03-19,Dawn of the Dead,Dawn of the Dead,538455.0
9,565,2002-10-18,The Ring,The Ring,62668.0
10,10483,2008-08-22,Death Race,Death Race,13255982.0
11,1644,1993-02-05,The Vanishing,The Vanishing,692785.0
12,5503,1993-08-06,The Fugitive,The Fugitive,1822067.0
13,9291,2005-05-27,The Longest Yard,The Longest Yard,3326231.0
14,11358,2004-04-02,Walking Tall,Walking Tall,7224803.0
15,7552,2005-12-21,Fun with Dick and Jane,Fun with Dick and Jane,2763180.0
16,1636,2000-10-19,Bedazzled,Bedazzled,1113205.0
17,6114,1992-11-13,Bram Stoker's Dracula,Bram Stoker's Dracula,337740.0
18,9373,2003-05-21,The Texas Chainsaw Massacre,The Texas Chainsaw Massacre,3231682.0
19,63,1995-12-29,Twelve Monkeys,Twelve Monkeys,30575.0
20,254,2005-12-12,King Kong,King Kong,473086.0
21,9426,1986-08-15,The Fly,The Fly,456601.0
22,9378,2001-10-26,Thir13en Ghosts,Thir13en Ghosts,1135295.0
23,14254,2009-01-30,The Uninvited,The Uninvited,13114104.0
24,9792,2006-03-10,The Hills Have Eyes,The Hills Have Eyes,3487956.0
25,9509,2004-04-23,Man on Fire,Man on Fire,525305.0
26,14784,2008-01-03,The Fall,The Fall,17665499.0
27,12700,2005-05-20,Dominion: Prequel to The Exorcist,Dominion: Prequel to The Exorcist,2074089.0
28,1598,1991-11-13,Cape Fear,Cape Fear,171026.0
29,966,1960-10-12,The Magnificent Seven,The Magnificent Seven,31556.0
30,10885,2008-03-21,Shutter,Shutter,9019720.0
31,3036,1994-11-04,Mary Shelley's Frankenstein,Mary Shelley's Frankenstein,1246394.0
32,28512,2005-11-20,The Poseidon Adventure,The Poseidon Adventure,5096585.0
33,795,1998-04-10,City of Angels,City of Angels,159171.0
34,18405,2009-03-13,The Last House on the Left,The Last House on the Left,21001056.0
35,14435,2009-01-16,My Bloody Valentine,My Bloody Valentine,16055802.0
36,11859,1995-11-03,Fair Game,Fair Game,1676282.0
37,15137,2007-09-01,ヱヴァンゲリヲン新劇場版：序,Evangelion: 1.0 You Are (Not) Alone,13083579.0
38,10066,2005-05-05,House of Wax,House of Wax,1849258.0
39,8970,1999-04-02,The Out-of-Towners,The Out-of-Towners,5384642.0
40,2976,2007-07-19,Hairspray,Hairspray,4265347.0
41,1090,1999-04-16,The Thirteenth Floor,The Thirteenth Floor,1438861.0
42,31608,1989-01-27,Three Fugitives,Three Fugitives,6465014.0
43,11352,1989-12-22,Always,Always,848218.0
