id,release_date,original_title,title,Wikipedia movie ID
564,1999-04-16,The Mummy,The Mummy,253828
63,1995-12-29,Twelve Monkeys,Twelve Monkeys,30575
5503,1993-08-06,The Fugitive,The Fugitive,1822067
665,1959-11-18,Ben-Hur,Ben-Hur,1343342
111,1983-12-09,Scarface,Scarface,267848
1903,2001-12-14,Vanilla Sky,Vanilla Sky,54030
9820,1998-07-28,The Parent Trap,The Parent Trap,2236329
924,2004-03-19,Dawn of the Dead,Dawn of the Dead,538455
565,2002-10-18,The Ring,The Ring,62668
10483,2008-08-22,Death Race,Death Race,13255982
1422,2006-10-04,The Departed,The Departed,302754
1091,1982-06-25,The Thing,The Thing,30809
10510,1994-11-18,Miracle on 34th Street,Miracle on 34th Street,20700559
2976,2007-07-19,Hairspray,Hairspray,4265347
5516,2004-03-25,The Ladykillers,The Ladykillers,5483227
1970,2004-10-22,The Grudge,The Grudge,1094719
9426,1986-08-15,The Fly,The Fly,456601
10730,1976-09-08,King Kong,King Kong,518615
254,2005-12-12,King Kong,King Kong,473086
9378,2001-10-26,Thir13en Ghosts,Thir13en Ghosts,1135295
795,1998-04-10,City of Angels,City of Angels,159171
9792,2006-03-10,The Hills Have Eyes,The Hills Have Eyes,3487956
9509,2004-04-23,Man on Fire,Man on Fire,525305
12085,2008-01-17,Mad Money,Mad Money,13439264
10066,2005-05-05,House of Wax,House of Wax,1849258
18990,1959-08-01,The Mummy,The Mummy,253834
19904,2009-10-16,The Stepfather,The Stepfather,5447784
4858,2007-08-17,The Invasion,The Invasion,7883438
17379,2006-01-13,Last Holiday,Last Holiday,2571348
9373,2003-05-21,The Texas Chainsaw Massacre,The Texas Chainsaw Massacre,3231682
2044,2006-06-16,The Lake House,The Lake House,3995423
1090,1999-04-16,The Thirteenth Floor,The Thirteenth Floor,1438861
6114,1992-11-13,Bram Stoker's Dracula,Bram Stoker's Dracula,337740
19058,2001-09-06,Down,Down,5416971
10141,1988-12-14,Dirty Rotten Scoundrels,Dirty Rotten Scoundrels,446934
9679,2000-06-09,Gone in Sixty Seconds,Gone in Sixty Seconds,883432
7445,2009-12-02,Brothers,Brothers,14882944
391,1964-09-12,Per un pugno di dollari,A Fistful of Dollars,171694
966,1960-10-12,The Magnificent Seven,The Magnificent Seven,31556
806,2006-06-06,The Omen,The Omen,2425302
