,id,release_date,original_title,title,Wikipedia movie ID
0,360920,2018-11-08,The Grinch,The Grinch,50758480
1,937278,2022-12-28,A Man Called Otto,A Man Called Otto,69951338
2,281957,2015-12-25,The Revenant,The Revenant,43159611
3,156022,2014-09-24,The Equalizer,The Equalizer,38739215
4,420818,2019-07-12,The Lion King,The Lion King,51780570
5,474350,2019-09-04,It Chapter Two,It Chapter Two,50733124
6,564,1999-04-16,The Mummy,The Mummy,253828
7,461130,2019-12-06,Code 8,Code 8,54268808
8,762430,2023-08-23,Retribution,Retribution,68375782
9,321612,2017-03-16,Beauty and the Beast,Beauty and the Beast,45230258
10,65754,2011-12-14,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,28387289
11,111,1983-12-09,Scarface,Scarface,267848
12,64635,2012-08-02,Total Recall,Total Recall,31905391
13,278927,2016-04-07,The Jungle Book,The Jungle Book,43650667
14,665,1959-11-18,Ben-Hur,Ben-Hur,1343342
15,776503,2021-08-13,CODA,CODA,66255918
16,454619,2018-04-13,Overboard,Overboard,55784046
17,1422,2006-10-04,The Departed,The Departed,1349086
18,9820,1998-07-28,The Parent Trap,The Parent Trap,2236329
19,1091,1982-06-25,The Thing,The Thing,30809
20,364689,2017-12-09,Ferdinand,Ferdinand,44260278
21,567748,2021-09-24,The Guilty,The Guilty,65825243
22,449562,2019-05-09,The Hustle,The Hustle,51266957
23,7445,2009-12-02,Brothers,Brothers,14882944
24,17379,2006-01-13,Last Holiday,Last Holiday,2571348
25,282035,2017-06-06,The Mummy,The Mummy,42127125
26,763285,2022-03-16,Ambulance,Ambulance,65818039
27,43947,2010-06-17,I Spit on Your Grave,I Spit on Your Grave,25212770
28,637920,2019-10-10,7. Koğuştaki Mucize,Miracle in Cell No. 7,36033337
29,924,2004-03-19,Dawn of the Dead,Dawn of the Dead,538455
30,565,2002-10-18,The Ring,The Ring,62668
31,10483,2008-08-22,Death Race,Death Race,13255982
32,157433,2019-04-04,Pet Sematary,Pet Sematary,56434526
33,571891,2019-07-12,ミュウツーの逆襲 EVOLUTION,Pokémon the Movie: Mewtwo Strikes Back - Evolution,60538155
34,668482,2022-11-25,Roald Dahl's Matilda the Musical,Roald Dahl's Matilda the Musical,68784878
35,1644,1993-02-05,The Vanishing,The Vanishing,692785
36,257088,2015-12-03,Point Break,Point Break,42041384
37,5503,1993-08-06,The Fugitive,The Fugitive,1822067
38,9291,2005-05-27,The Longest Yard,The Longest Yard,3326231
39,11358,2004-04-02,Walking Tall,Walking Tall,7224803
40,124905,2014-05-14,Godzilla,Godzilla,36101762
41,7552,2005-12-21,Fun with Dick and Jane,Fun with Dick and Jane,2763180
42,1636,2000-10-19,Bedazzled,Bedazzled,1113205
43,818397,2022-04-28,Memory,Memory,67397837
44,6114,1992-11-13,Bram Stoker's Dracula,Bram Stoker's Dracula,337740
45,9373,2003-05-21,The Texas Chainsaw Massacre,The Texas Chainsaw Massacre,3231682
46,333484,2016-09-14,The Magnificent Seven,The Magnificent Seven,43862265
47,331482,2019-12-25,Little Women,Little Women,57793159
48,338970,2018-03-05,Tomb Raider,Tomb Raider,45511596
49,63,1995-12-29,Twelve Monkeys,Twelve Monkeys,30575
50,332562,2018-10-03,A Star Is Born,A Star Is Born,46321167
51,27582,2011-01-13,The Mechanic,The Mechanic,27203385
52,254,2005-12-12,King Kong,King Kong,473086
53,9426,1986-08-15,The Fly,The Fly,456601
54,505026,2022-02-09,Death on the Nile,Death on the Nile,57763431
55,440472,2019-01-10,The Upside,The Upside,53053426
56,9378,2001-10-26,Thir13en Ghosts,Thir13en Ghosts,1135295
57,366672,2022-07-14,Paws of Fury: The Legend of Hank,Paws of Fury: The Legend of Hank,48456303
58,14254,2009-01-30,The Uninvited,The Uninvited,13114104
59,65086,2012-02-03,The Woman in Black,The Woman in Black,28250083
60,347626,2021-08-27,He's All That,He's All That,67018113
61,243688,2015-05-20,Poltergeist,Poltergeist,39826333
62,7978,2010-02-10,The Wolfman,The Wolfman,7255312
63,812037,2023-09-13,L'été dernier,Last Summer,73577207
64,9792,2006-03-10,The Hills Have Eyes,The Hills Have Eyes,3487956
65,9509,2004-04-23,Man on Fire,Man on Fire,525305
66,265208,2015-01-14,Wild Card,Wild Card,39331496
67,14784,2008-01-03,The Fall,The Fall,17665499
68,12700,2005-05-20,Dominion: Prequel to The Exorcist,Dominion: Prequel to The Exorcist,2074089
69,1598,1991-11-13,Cape Fear,Cape Fear,171026
70,966,1960-10-12,The Magnificent Seven,The Magnificent Seven,31556
71,10885,2008-03-21,Shutter,Shutter,9019720
72,3036,1994-11-04,Mary Shelley's Frankenstein,Mary Shelley's Frankenstein,1246394
73,375794,2016-09-02,No Manches Frida,No Manches Frida,51099986
74,420808,2023-04-20,Peter Pan & Wendy,Peter Pan & Wendy,62622958
