Unnamed: 0.2,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
90,425,2002-03-10,Ice Age,Ice Age,Ice Age Collection,8354,34044456
91,8355,2009-06-26,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,Ice Age Collection,8354,12260598
92,950,2006-03-29,Ice Age: The Meltdown,Ice Age: The Meltdown,Ice Age Collection,8354,2303174
93,278154,2016-06-23,Ice Age: Collision Course,Ice Age: Collision Course,Ice Age Collection,8354,47460310
94,774825,2022-01-28,The Ice Age Adventures of Buck Wild,The Ice Age Adventures of Buck Wild,Ice Age Collection,8354,68410164
95,1384758,2026-12-17,Ice Age 6,Ice Age 6,Ice Age Collection,8354,63491448
96,395434,1917-06-30,The Lone Wolf,The Lone Wolf,Lone Wolf Collection,395433,45428770
97,388321,1924-04-27,The Lone Wolf,The Lone Wolf,Lone Wolf Collection,395433,47163828
98,395436,1926-08-15,The Lone Wolf Returns,The Lone Wolf Returns,Lone Wolf Collection,395433,50135305
99,395440,1927-08-22,Alias the Lone Wolf,Alias the Lone Wolf,Lone Wolf Collection,395433,65972961
100,174942,1919-02-15,The False Faces,The False Faces,Lone Wolf Collection,395433,172499
101,395443,1930-08-26,The Last of the Lone Wolf,The Last of the Lone Wolf,Lone Wolf Collection,395433,9930443
102,167075,1935-12-31,The Lone Wolf Returns,The Lone Wolf Returns,Lone Wolf Collection,395433,55383222
103,152823,1938-05-25,The Lone Wolf in Paris,The Lone Wolf in Paris,Lone Wolf Collection,395433,34084931
104,149793,1939-01-27,The Lone Wolf Spy Hunt,The Lone Wolf Spy Hunt,Lone Wolf Collection,395433,17607501
105,85232,1940-01-26,The Lone Wolf Strikes,The Lone Wolf Strikes,Lone Wolf Collection,395433,55051681
106,85231,1940-05-30,The Lone Wolf Meets a Lady,The Lone Wolf Meets a Lady,Lone Wolf Collection,395433,55051681
107,119313,1941-11-13,Secrets of the Lone Wolf,Secrets of the Lone Wolf,Lone Wolf Collection,395433,55221221
108,144470,1940-11-02,The Lone Wolf Keeps a Date,The Lone Wolf Keeps a Date,Lone Wolf Collection,395433,33872851
109,85229,1941-03-06,The Lone Wolf Takes a Chance,The Lone Wolf Takes a Chance,Lone Wolf Collection,395433,55221221
110,100113,1942-09-03,Counter-Espionage,Counter-Espionage,Lone Wolf Collection,395433,31667998
111,148080,1943-01-22,One Dangerous Night,One Dangerous Night,Lone Wolf Collection,395433,40360400
112,109212,1943-08-19,Passport to Suez,Passport to Suez,Lone Wolf Collection,395433,34632016
113,100866,1946-02-14,The Notorious Lone Wolf,The Notorious Lone Wolf,Lone Wolf Collection,395433,40370167
114,395445,1947-01-16,The Lone Wolf in Mexico,The Lone Wolf in Mexico,Lone Wolf Collection,395433,34258056
115,85899,1947-11-13,The Lone Wolf in London,The Lone Wolf in London,Lone Wolf Collection,395433,40311375
116,170546,1949-08-11,The Lone Wolf and His Lady,The Lone Wolf and His Lady,Lone Wolf Collection,395433,40379744
117,96195,1963-11-02,眠狂四郎殺法帖,Sleepy Eyes of Death 1: The Chinese Jade,Sleepy Eyes of Death Collection,460969,29825365
118,96250,1964-01-09,眠狂四郎勝負,Sleepy Eyes of Death 2: Sword of Adventure,Sleepy Eyes of Death Collection,460969,19579246
119,96257,1964-05-23,眠狂四郎円月斬り,Sleepy Eyes of Death 3: Full Circle Killing,Sleepy Eyes of Death Collection,460969,3389561
120,131435,1964-10-17,眠狂四郎女妖剣,Sleepy Eyes of Death 4: Sword of Seduction,Sleepy Eyes of Death Collection,460969,19579246
121,131443,1965-01-12,眠狂四郎炎情剣,Sleepy Eyes of Death 5: Sword of Fire,Sleepy Eyes of Death Collection,460969,19579246
122,131444,1965-04-30,眠狂四郎魔性劍,Sleepy Eyes of Death 6: Sword of Satan,Sleepy Eyes of Death Collection,460969,29825365
123,128715,1966-03-12,眠狂四郎多情剣,Sleepy Eyes of Death 7: The Mask of the Princess,Sleepy Eyes of Death Collection,460969,19579246
124,128708,1966-11-09,眠狂四郎無頼剣,Sleepy Eyes of Death 8: Sword of Villainy,Sleepy Eyes of Death Collection,460969,29825365
125,139555,1967-07-15,眠狂四郎無頼控 魔性の肌,Sleepy Eyes of Death 9: Trail of Traps,Sleepy Eyes of Death Collection,460969,19579246
126,96269,1968-01-13,眠狂四郎女地獄,Sleepy Eyes of Death 10: Hell Is a Woman,Sleepy Eyes of Death Collection,460969,19579246
127,151408,1968-05-01,眠狂四郎人肌蜘蛛,Sleepy Eyes of Death 11: In the Spider's Lair,Sleepy Eyes of Death Collection,460969,19579246
128,241186,1969-01-11,眠狂四郎悪女狩り,Sleepy Eyes of Death 12: Castle Menagerie,Sleepy Eyes of Death Collection,460969,19579246
129,299836,1969-10-04,眠狂四郎円月殺法,Sleepy Eyes of Death 13: The Full Moon Swordsman,Sleepy Eyes of Death Collection,460969,29825365
130,284820,1969-12-20,眠狂四郎 卍斬り,Sleepy Eyes Of Death 14: Fylfot Swordplay,Sleepy Eyes of Death Collection,460969,8633991
131,82871,1997-01-01,Auton,Auton,Auton Trilogy collection,702650,4504237
132,82411,1998-01-01,Auton 2: Sentinel,Auton 2: Sentinel,Auton Trilogy collection,702650,4504237
133,82873,1999-07-01,Auton 3: Awakening,Auton 3: Awakening,Auton Trilogy collection,702650,4504237
134,204959,1998-01-02,Mindgame,Mindgame,Mindgame Saga collection,702652,49998329
135,336249,1999-03-05,Mindgame Trilogy,Mindgame Trilogy,Mindgame Saga collection,702652,49998329
136,28733,1970-06-10,"Count Yorga, Vampire","Count Yorga, Vampire",Count Yorga Collection,327871,3374673
137,28855,1971-08-18,The Return of Count Yorga,The Return of Count Yorga,Count Yorga Collection,327871,171680
138,84710,1944-06-01,Jungle Woman,Jungle Woman,The Ape Woman Collection,809152,8119617
139,84708,1943-06-04,Captive Wild Woman,Captive Wild Woman,The Ape Woman Collection,809152,3303044
140,84711,1945-06-25,The Jungle Captive,The Jungle Captive,The Ape Woman Collection,809152,20097181
141,106296,1941-02-28,The Monster and the Girl,The Monster and the Girl,The Ape Woman Collection,809152,172418
142,106534,1983-11-12,Perkawinan Nyi Blorong,The Snake Queen's Wedding,Nyi Blorong - Collection,1106111,6956847
143,106516,1986-12-30,Petualangan Cinta Nyi Blorong,The Hungry Snake Woman,Nyi Blorong - Collection,1106111,45453422
144,106511,1982-10-21,Nyi Blorong,The Snake Queen,Nyi Blorong - Collection,1106111,8440216
145,64073,1996-01-01,Ein fast perfekter Seitensprung,Ein fast perfekter Seitensprung,Eine fast perfekte... Trilogie,751810,11450092
146,64231,1998-02-06,Eine fast perfekte Scheidung,Eine fast perfekte Scheidung,Eine fast perfekte... Trilogie,751810,26286053
147,64233,1999-02-19,Eine fast perfekte Hochzeit,Eine fast perfekte Hochzeit,Eine fast perfekte... Trilogie,751810,11450092
148,318619,1988-06-25,Santet,Santet,Santet - Collection,1106116,3397147
149,318621,1989-01-01,Wanita Harimau: Santet 2,Santet 2,Santet - Collection,1106116,3409106
150,9070,1995-06-30,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,Power Rangers Collection,708816,703807
151,6499,1997-03-27,Turbo: A Power Rangers Movie,Turbo: A Power Rangers Movie,Power Rangers Collection,708816,1594408
152,609,1982-06-04,Poltergeist,Poltergeist,Poltergeist Collection,10453,7051491
153,10306,1988-06-10,Poltergeist III,Poltergeist III,Poltergeist Collection,10453,3316533
154,11133,1986-05-23,Poltergeist II: The Other Side,Poltergeist II: The Other Side,Poltergeist Collection,10453,7051746
155,984,1971-12-23,Dirty Harry,Dirty Harry,Dirty Harry Collection,10456,301798
156,10648,1973-12-13,Magnum Force,Magnum Force,Dirty Harry Collection,10456,705984
157,10649,1976-12-16,The Enforcer,The Enforcer,Dirty Harry Collection,10456,1179213
158,10650,1983-12-08,Sudden Impact,Sudden Impact,Dirty Harry Collection,10456,1179229
159,10651,1988-07-13,The Dead Pool,The Dead Pool,Dirty Harry Collection,10456,826482
160,10320,2005-03-10,The Ring Two,The Ring Two,The Ring Collection,14563,2542052
161,565,2002-10-18,The Ring,The Ring,The Ring Collection,14563,62668
162,14564,2017-02-01,Rings,Rings,The Ring Collection,14563,46180929
163,63105,1995-08-18,Nemesis 2: Nebula,Nemesis 2: Nebula,Nemesis Collection,286948,24936868
164,24230,1992-12-26,Nemesis,Nemesis,Nemesis Collection,286948,3066864
165,107096,1996-06-18,Nemesis 3: Time Lapse,Nemesis 3: Time Lapse,Nemesis Collection,286948,24937369
166,60173,1996-12-23,Nemesis 4: Death Angel,Nemesis 4: Death Angel,Nemesis Collection,286948,24937369
167,540727,2017-12-01,Nemesis 5: The New Model,Nemesis 5: The New Model,Nemesis Collection,286948,46883773
168,54050,1969-07-06,The Over the Hill Gang,The Over the Hill Gang,The Over-the-Hill Gang Collection,930019,9751411
169,59984,1970-11-16,The Over-the-Hill Gang Rides Again,The Over-the-Hill Gang Rides Again,The Over-the-Hill Gang Collection,930019,14187517
170,25834,1982-12-06,Xtro,Xtro,Xtro Collection,114915,171649
171,55952,1990-05-04,Xtro 2: The Second Encounter,Xtro 2: The Second Encounter,Xtro Collection,114915,8012754
172,57597,1995-11-14,Xtro 3: Watch the Skies,Xtro 3: Watch the Skies,Xtro Collection,114915,12566479
173,284249,1969-03-03,Fear No Evil,Fear No Evil,Dr. David Sorell Collection,930024,3020635
174,335034,1970-02-23,Ritual of Evil,Ritual of Evil,Dr. David Sorell Collection,930024,4426490
175,10911,1961-04-27,The Guns of Navarone,The Guns of Navarone,Navarone Collection,366826,6984559
176,17339,1978-08-16,Force 10 from Navarone,Force 10 from Navarone,Navarone Collection,366826,1172977
177,324039,1973-03-03,The Letters,The Letters,The Letters Collection,930026,57301596
178,252903,1973-10-03,Letters from Three Lovers,Letters from Three Lovers,The Letters Collection,930026,33537258
179,40649,1992-03-12,Demonic Toys,Demonic Toys,Demonic Toys Collection,264434,66596200
180,84152,1993-08-13,Dollman vs. Demonic Toys,Dollman vs. Demonic Toys,Demonic Toys Collection,264434,13048288
181,56242,2010-01-26,Demonic Toys: Personal Demons,Demonic Toys: Personal Demons,Demonic Toys Collection,264434,23605553
182,26962,2004-12-18,Puppet Master vs Demonic Toys,Puppet Master vs Demonic Toys,Demonic Toys Collection,264434,38885803
183,1084176,2023-08-25,Demonic Toys: Jack-Attack,Demonic Toys: Jack-Attack,Demonic Toys Collection,264434,11450530
184,3160,1965-08-08,フランケンシュタイン対地底怪獣,Frankenstein Conquers the World,Frankenstein (Toho) Collection,491768,171692
185,3146,1966-07-31,フランケンシュタインの怪獣 サンダ対ガイラ,The War of the Gargantuas,Frankenstein (Toho) Collection,491768,171690
186,62472,1959-12-26,宇宙大戦争,Battle in Outer Space,The Mysterians Collection,491769,172083
187,43226,1957-12-28,地球防衛軍,The Mysterians,The Mysterians Collection,491769,172086
188,38268,1977-12-17,惑星大戦争,The War in Space,The Mysterians Collection,491769,3112223
189,17994,1986-12-31,Witchboard,Witchboard,Witchboard Collection,168186,4180684
190,40251,1993-07-28,Witchboard 2: The Devil's Doorway,Witchboard 2: The Devil's Doorway,Witchboard Collection,168186,4712667
191,40252,1997-05-20,Witchboard III: The Possession,Witchboard III: The Possession,Witchboard Collection,168186,474000
192,28912,1966-07-15,I criminali della galassia,"The Wild, Wild Planet",Gamma One Collection,413946,34210518
193,79364,1966-07-21,I diafanoidi vengono da Marte,War of the Planets,Gamma One Collection,413946,34210518
194,28539,1966-07-29,Il pianeta errante,War Between the Planets,Gamma One Collection,413946,12099434
195,28538,1967-01-18,La morte viene dal pianeta Aytin,Snow Devils,Gamma One Collection,413946,2461592
196,60175,1980-04-30,Les sous-doués,The Under-Gifted,The Under-Gifted Collection,215293,6185648
197,51925,1982-03-10,Les Sous-Doués En Vacances,The Under-Gifted In Vacation,The Under-Gifted Collection,215293,11677522
198,476339,2008-12-09,Daydream Obsession 3: Legacy,Daydream Obsession 3: Legacy,Daydream Obsession Collection,579847,36814246
199,476333,2004-11-23,Daydream Obsession 2: Infidelities,Daydream Obsession 2: Infidelities,Daydream Obsession Collection,579847,69919
200,201371,2003-11-23,Daydream Obsession,Daydream Obsession,Daydream Obsession Collection,579847,68722
201,105,1985-07-03,Back to the Future,Back to the Future,Back to the Future Collection,264,42993
202,165,1989-11-22,Back to the Future Part II,Back to the Future Part II,Back to the Future Collection,264,213270
203,196,1990-05-25,Back to the Future Part III,Back to the Future Part III,Back to the Future Collection,264,213275
204,15602,1995-12-22,Grumpier Old Men,Grumpier Old Men,Grumpy Old Men Collection,119050,1934035
205,11520,1993-12-25,Grumpy Old Men,Grumpy Old Men,Grumpy Old Men Collection,119050,1934018
206,212914,1976-09-27,Dawn: Portrait of a Teenage Runaway,Dawn: Portrait of a Teenage Runaway,Teenage Runaway Collection,930059,11437850
207,258599,1977-05-16,Alexander: The Other Side of Dawn,Alexander: The Other Side of Dawn,Teenage Runaway Collection,930059,2184621
208,27813,1982-04-02,Basket Case,Basket Case,Basket Case Trilogy,104716,2283532
209,27815,1990-03-02,Basket Case 2,Basket Case 2,Basket Case Trilogy,104716,4055526
210,27816,1992-02-21,Basket Case 3: The Progeny,Basket Case 3: The Progeny,Basket Case Trilogy,104716,4498928
211,392663,1980-02-16,The Trouble with Miss Switch,The Trouble with Miss Switch,Miss Switch Collection,930063,2976814
212,392603,1982-01-16,Miss Switch to the Rescue,Miss Switch to the Rescue,Miss Switch Collection,930063,47364341
213,13683,2002-06-24,Tarzan & Jane,Tarzan & Jane,Tarzan (Animation) Collection,106768,4118310
214,15657,2005-06-13,Tarzan II,Tarzan II,Tarzan (Animation) Collection,106768,4118336
215,37135,1999-06-18,Tarzan,Tarzan,Tarzan (Animation) Collection,106768,1749093
216,9529,1992-10-16,Candyman,Candyman,Candyman Collection,98580,1256990
217,10824,1995-03-17,Candyman: Farewell to the Flesh,Candyman: Farewell to the Flesh,Candyman Collection,98580,5106720
218,12485,1999-07-09,Candyman: Day of the Dead,Candyman: Day of the Dead,Candyman Collection,98580,8824700
219,565028,2021-08-25,Candyman,Candyman,Candyman Collection,98580,62150510
220,17804,1948-12-17,The Paleface,The Paleface,The Paleface Collection,456980,2245922
221,30801,1952-07-14,Son of Paleface,Son of Paleface,The Paleface Collection,456980,11718628
222,23479,1976-04-06,The Bad News Bears,The Bad News Bears,The Bad News Bears Collection,215326,464128
223,19050,1977-07-08,The Bad News Bears in Breaking Training,The Bad News Bears in Breaking Training,The Bad News Bears Collection,215326,1632587
224,66946,1978-06-30,The Bad News Bears Go to Japan,The Bad News Bears Go to Japan,The Bad News Bears Collection,215326,3096374
225,617,1998-03-20,Wild Things,Wild Things,Wild Things Collection,33059,423372
226,10367,2004-02-19,Wild Things 2,Wild Things 2,Wild Things Collection,33059,5989608
227,17124,2005-02-19,Wild Things: Diamonds in the Rough,Wild Things: Diamonds in the Rough,Wild Things Collection,33059,4990409
228,37708,2010-06-01,Wild Things: Foursome,Wild Things: Foursome,Wild Things Collection,33059,26967701
229,27414,1984-11-09,"Silent Night, Deadly Night","Silent Night, Deadly Night","Silent Night, Deadly Night Collection",256296,1954311
230,50719,1987-04-10,"Silent Night, Deadly Night Part 2","Silent Night, Deadly Night Part 2","Silent Night, Deadly Night Collection",256296,2680994
231,42709,1989-11-09,"Silent Night, Deadly Night 3: Better Watch Out!","Silent Night, Deadly Night 3: Better Watch Out!","Silent Night, Deadly Night Collection",256296,3113630
232,59762,1990-11-21,Silent Night Deadly Night 4: Initiation,Silent Night Deadly Night 4: Initiation,"Silent Night, Deadly Night Collection",256296,2892393
233,70984,1991-11-06,"Silent Night, Deadly Night 5: The Toy Maker","Silent Night, Deadly Night 5: The Toy Maker","Silent Night, Deadly Night Collection",256296,5906516
234,28153,1974-04-26,It's Alive,It's Alive,It's Alive Collection,256297,2990847
235,28155,1978-05-10,It Lives Again,It Lives Again,It's Alive Collection,256297,362719
236,49684,1987-05-27,It's Alive III: Island of the Alive,It's Alive III: Island of the Alive,It's Alive Collection,256297,46491872
237,6471,1979-12-14,The Jerk,The Jerk,The Jerk Collection,983340,171655
238,87243,1984-01-06,"The Jerk, Too","The Jerk, Too",The Jerk Collection,983340,51312095
239,161,2001-12-07,Ocean's Eleven,Ocean's Eleven,Ocean's Collection,304,2251266
240,163,2004-12-09,Ocean's Twelve,Ocean's Twelve,Ocean's Collection,304,1046470
241,298,2007-06-05,Ocean's Thirteen,Ocean's Thirteen,Ocean's Collection,304,3723947
242,40983,1972-06-21,Beware! The Blob,Beware! The Blob,The Blob Collection,422193,5260111
243,8851,1958-09-10,The Blob,The Blob,The Blob Collection,422193,761788
244,10144,1989-11-17,The Little Mermaid,The Little Mermaid,The Little Mermaid Collection,33085,301574
245,13676,2008-08-25,The Little Mermaid: Ariel's Beginning,The Little Mermaid: Ariel's Beginning,The Little Mermaid Collection,33085,15348996
246,10898,2000-01-23,The Little Mermaid II: Return to the Sea,The Little Mermaid II: Return to the Sea,The Little Mermaid Collection,33085,448814
247,11137,2004-03-28,The Prince & Me,The Prince & Me,The Prince & Me Collection,86334,1096949
248,15590,2006-02-21,The Prince & Me 2: The Royal Wedding,The Prince & Me 2: The Royal Wedding,The Prince & Me Collection,86334,8808797
249,20036,2008-10-28,The Prince & Me: A Royal Honeymoon,The Prince & Me: A Royal Honeymoon,The Prince & Me Collection,86334,22188807
250,36515,2010-03-23,The Prince & Me 4: The Elephant Adventure,The Prince & Me 4: The Elephant Adventure,The Prince & Me Collection,86334,26762105
251,578,1975-06-20,Jaws,Jaws,Jaws Collection,2366,74830
252,579,1978-06-16,Jaws 2,Jaws 2,Jaws Collection,2366,3153784
253,580,1987-07-17,Jaws: The Revenge,Jaws: The Revenge,Jaws Collection,2366,529276
254,17692,1983-07-22,Jaws 3-D,Jaws 3-D,Jaws Collection,2366,1173339
255,10351,1997-09-19,Wishmaster,Wishmaster,Wishmaster Collection,135489,456959
256,38157,2002-06-10,Wishmaster 4: The Prophecy Fulfilled,Wishmaster 4: The Prophecy Fulfilled,Wishmaster Collection,135489,12256912
257,28635,2001-10-23,Wishmaster 3: Beyond the Gates of Hell,Wishmaster 3: Beyond the Gates of Hell,Wishmaster Collection,135489,12256764
258,12594,1999-03-12,Wishmaster 2: Evil Never Dies,Wishmaster 2: Evil Never Dies,Wishmaster Collection,135489,12256535
259,16774,2006-10-28,Hellboy Animated: Sword of Storms,Hellboy Animated: Sword of Storms,Hellboy (Animated) Collection,123203,5837972
260,13204,2007-03-10,Hellboy Animated: Blood and Iron,Hellboy Animated: Blood and Iron,Hellboy (Animated) Collection,123203,5838045
