Unnamed: 0.2,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
0,8835,2001-07-13,Legally Blonde,Legally Blonde,Legally Blonde Collection,86024,444267
1,10327,2003-07-02,"Legally Blonde 2: Red, White & Blonde","Legally Blonde 2: Red, White & Blonde",Legally Blonde Collection,86024,447672
2,528320,,Legally Blonde 3,Legally Blonde 3,Legally Blonde Collection,86024,447672
3,11,1977-05-25,Star Wars,Star Wars,Star Wars Collection,10,52549
4,1891,1980-05-20,The Empire Strikes Back,The Empire Strikes Back,Star Wars Collection,10,53964
5,1892,1983-05-25,Return of the Jedi,Return of the Jedi,Star Wars Collection,10,5187464
6,1893,1999-05-19,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,Star Wars Collection,10,4936350
7,1894,2002-05-15,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,Star Wars Collection,10,4398290
8,1895,2005-05-17,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,Star Wars Collection,10,4873068
9,140607,2015-12-15,Star Wars: The Force Awakens,Star Wars: The Force Awakens,Star Wars Collection,10,48666826
10,181812,2019-12-18,Star Wars: The Rise of Skywalker,Star Wars: The Rise of Skywalker,Star Wars Collection,10,62614418
11,181808,2017-12-13,Star Wars: The Last Jedi,Star Wars: The Last Jedi,Star Wars Collection,10,56057806
12,812,1992-11-25,Aladdin,Aladdin,Aladdin Collection,86027,242414
13,15969,1994-05-20,The Return of Jafar,The Return of Jafar,Aladdin Collection,86027,358684
14,11238,1996-05-20,Aladdin and the King of Thieves,Aladdin and the King of Thieves,Aladdin Collection,86027,358688
15,127620,1973-11-08,"Ci risiamo, vero Provvidenza?","Here We Go Again, Eh Providence?",Providence?,1220627,60560791
16,112563,1972-10-26,"La vita, a volte, è molto dura, vero Provvidenza?","Life Is Tough, Eh Providence?",Providence?,1220627,43112866
17,11315,1999-11-27,DEAD OR ALIVE 犯罪者,Dead or Alive,Dead or Alive Collection,192532,1976548
18,13899,2000-12-02,DEAD OR ALIVE 2 逃亡者,Dead or Alive 2: Birds,Dead or Alive Collection,192532,9016141
19,36222,2002-01-12,DEAD OR ALIVE FINAL,Dead or Alive: Final,Dead or Alive Collection,192532,9016095
20,838,1973-08-11,American Graffiti,American Graffiti,American Graffiti Collection,124950,68124
21,33258,1979-08-03,More American Graffiti,More American Graffiti,American Graffiti Collection,124950,1801788
22,57025,2007-12-25,Desperadas,Desperadas,Desperadas Collection,786458,49197332
23,86335,2008-12-25,Desperadas 2,Desperadas 2,Desperadas Collection,786458,49197377
24,262141,1951-09-14,Fanfaren der Liebe,Fanfares of Love,Fanfaren der... - Reihe,948253,154790
25,262153,1953-01-01,Fanfaren der Ehe,Fanfaren der Ehe,Fanfaren der... - Reihe,948253,54390987
26,46806,2003-04-27,Eloise at the Plaza,Eloise at the Plaza,Eloise Collection,1136672,7405392
27,59191,2003-11-22,Eloise at Christmastime,Eloise at Christmastime,Eloise Collection,1136672,7387737
28,13939,1974-07-24,Death Wish,Death Wish,Death Wish Collection,14377,9822793
29,14373,1982-02-20,Death Wish II,Death Wish II,Death Wish Collection,14377,7051491
30,24873,1985-11-01,Death Wish 3,Death Wish 3,Death Wish Collection,14377,3648503
31,26263,1987-06-11,Death Wish 4: The Crackdown,Death Wish 4: The Crackdown,Death Wish Collection,14377,9823573
32,34746,1994-01-14,Death Wish V: The Face of Death,Death Wish V: The Face of Death,Death Wish Collection,14377,9823771
33,11050,1983-11-20,Terms of Endearment,Terms of Endearment,Terms of Endearment Collection,507956,13261098
34,30285,1996-12-25,The Evening Star,The Evening Star,Terms of Endearment Collection,507956,854942
35,15259,1984-05-04,Breakin',Breakin',Breakin' Collection,92222,171620
36,17464,1984-12-21,Breakin' 2: Electric Boogaloo,Breakin' 2: Electric Boogaloo,Breakin' Collection,92222,2251076
37,17653,1993-03-04,方世玉,The Legend of Fong Sai Yuk,Fong Sai Yuk Collection,122945,11456006
38,17811,1993-07-30,方世玉續集,The Legend II,Fong Sai Yuk Collection,122945,8446486
39,11981,1983-09-08,Die Supernasen,Die Supernasen,Die Supernasen Filmreihe,430157,2707482
40,12098,1984-09-14,Zwei Nasen tanken Super,Zwei Nasen tanken Super,Die Supernasen Filmreihe,430157,19357493
41,11840,1982-01-14,Piratensender Powerplay,Piratensender Powerplay,Die Supernasen Filmreihe,430157,26286029
42,10853,1985-10-03,Die Einsteiger,The Beginner,Die Supernasen Filmreihe,430157,4672693
43,9556,1990-08-24,Darkman,Darkman,Darkman Collection,45154,171259
44,18998,1995-07-11,Darkman II: The Return of Durant,Darkman II: The Return of Durant,Darkman Collection,45154,12545744
45,19002,1996-04-14,Darkman III: Die Darkman Die,Darkman III: Die Darkman Die,Darkman Collection,45154,7850946
46,33322,1996-06-25,アミテージ・ザ・サード POLY-MATRIX,Armitage III: Poly Matrix,Armitage III Collection,182371,2344137
47,21769,2002-03-22,アミテージ・ザ・サード DUAL-MATRIX,Armitage: Dual Matrix,Armitage III Collection,182371,2344137
48,808,2001-05-18,Shrek,Shrek,Shrek Collection,2150,18717177
49,809,2004-05-19,Shrek 2,Shrek 2,Shrek Collection,2150,525314
50,810,2007-05-17,Shrek the Third,Shrek the Third,Shrek Collection,2150,903383
51,10192,2010-05-16,Shrek Forever After,Shrek Forever After,Shrek Collection,2150,27193568
52,421892,2026-07-01,Shrek 5,Shrek 5,Shrek Collection,2150,60200092
53,17965,1971-05-18,The Abominable Dr. Phibes,The Abominable Dr. Phibes,Dr. Phibes Collection,116847,454818
54,18250,1972-07-01,Dr. Phibes Rises Again,Dr. Phibes Rises Again,Dr. Phibes Collection,116847,488623
55,4156,1971-03-24,Friends,Friends,Friends Collection,321647,5521767
56,4155,1974-03-15,Paul and Michelle,Paul and Michelle,Friends Collection,321647,171671
57,120,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings Collection,119,173941
58,121,2002-12-18,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,The Lord of the Rings Collection,119,173944
59,122,2003-12-17,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings Collection,119,174251
60,11224,1950-02-22,Cinderella,Cinderella,Cinderella Collection,55419,399402
61,16119,2007-02-06,Cinderella III: A Twist in Time,Cinderella III: A Twist in Time,Cinderella Collection,55419,5150937
62,14128,2002-02-23,Cinderella II: Dreams Come True,Cinderella II: Dreams Come True,Cinderella Collection,55419,4196336
63,10693,1953-02-05,Peter Pan,Peter Pan,Peter Pan Collection,55422,982199
64,16690,2002-02-14,Return to Never Land,Return to Never Land,Peter Pan Collection,55422,1595142
65,37726,1998-10-06,富江,Tomie,Tomie Collection,139394,33097113
66,52409,2000-02-11,富江 replay,Tomie: Replay,Tomie Collection,139394,1233247
67,52408,2001-03-24,富江 re-birth,Tomie: Rebirth,Tomie Collection,139394,829780
68,52405,2005-04-09,富江 BEGINNING,Tomie: Beginning,Tomie Collection,139394,20344476
69,52404,1999-12-26,富江 アナザフェイス,Tomie: Another Face,Tomie Collection,139394,20330894
70,85349,2011-05-14,富江 アンリミテッド,Tomie: Unlimited,Tomie Collection,139394,32665218
71,46313,2005-04-16,富江 REVENGE,Tomie: Revenge,Tomie Collection,139394,20344428
72,52407,2002-06-29,富江 最終章～禁断の果実～,Tomie: Forbidden Fruit,Tomie Collection,139394,33103548
73,139396,2007-11-17,富江VS富江,Tomie vs Tomie,Tomie Collection,139394,33139348
74,11298,1981-01-21,The Howling,The Howling,The Howling Collection,174218,1691989
75,29794,1985-08-28,Howling II: Stirba - Werewolf Bitch,Howling II: Stirba - Werewolf Bitch,The Howling Collection,174218,2901971
76,38500,1988-11-01,Howling IV: The Original Nightmare,Howling IV: The Original Nightmare,The Howling Collection,174218,3096248
77,35945,1989-05-01,Howling V: The Rebirth,Howling V: The Rebirth,The Howling Collection,174218,3012123
78,36421,1991-04-18,Howling VI: The Freaks,Howling VI: The Freaks,The Howling Collection,174218,3112333
79,38499,1995-10-17,Howling: New Moon Rising,Howling: New Moon Rising,The Howling Collection,174218,3365981
80,32595,1987-05-15,Howling III: The Marsupials,Howling III: The Marsupials,The Howling Collection,174218,2711278
81,75623,2011-10-18,The Howling: Reborn,The Howling: Reborn,The Howling Collection,174218,32422858
82,24674,2004-03-18,見鬼2,The Eye 2,The Eye Collection,264335,294634
83,33723,2005-03-24,見鬼10,The Eye 3: Infinity,The Eye Collection,264335,4306261
84,10389,2002-05-09,見鬼,The Eye,The Eye Collection,264335,3511710
85,51322,2010-10-13,童眼,The Child's Eye,The Eye Collection,264335,28829559
86,805,1968-06-12,Rosemary's Baby,Rosemary's Baby,Rosemary's Baby Collection,264338,9830229
87,117258,1976-10-29,Look What's Happened to Rosemary's Baby,Look What's Happened to Rosemary's Baby,Rosemary's Baby Collection,264338,7625729
88,807339,2024-09-20,Apartment 7A,Apartment 7A,Rosemary's Baby Collection,264338,67143812
89,57800,2012-06-27,Ice Age: Continental Drift,Ice Age: Continental Drift,Ice Age Collection,8354,29609480
