id,release_date,original_title,title,collection,collection_id
9408,2007-06-08,Surf's Up,Surf's Up,Surf's Up Collection,436295
411840,2017-01-26,Surf's Up 2: WaveMania,Surf's Up 2: WaveMania,Surf's Up Collection,436295
577970,2019-02-28,Dilan 1991,Dilan 1991,Dilan Collection,632906
492459,2018-01-25,Dilan 1990,Dilan 1990,Dilan Collection,632906
642657,2020-02-13,Milea: Suara dari Dilan,Milea,Dilan Collection,632906
1255559,2024-06-13,Dilan 1983: Wo Ai Ni,Dilan 1983,Dilan Collection,632906
1107979,2024-01-11,Ancika: Dia yang Bersamaku 1995,Ancika,Dilan Collection,632906
85,1981-06-12,Raiders of the Lost Ark,Raiders of the Lost Ark,Indiana Jones Collection,84
87,1984-05-23,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,Indiana Jones Collection,84
89,1989-05-24,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,Indiana Jones Collection,84
217,2008-05-21,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones Collection,84
335977,2023-06-25,Indiana Jones and the Dial of Destiny,Indiana Jones and the Dial of Destiny,Indiana Jones Collection,84
263109,2015-02-05,Shaun the Sheep Movie,Shaun the Sheep Movie,Shaun the Sheep Collection,899158
422803,2019-09-26,A Shaun the Sheep Movie: Farmageddon,A Shaun the Sheep Movie: Farmageddon,Shaun the Sheep Collection,899158
215828,2013-03-01,Barcelona nit d'estiu,Barcelona Summer Night,"Barcelona, Noche de...- Colección",1339484
343144,2015-12-04,"Barcelona, nit d'hivern",Barcelona Christmas Night,"Barcelona, Noche de...- Colección",1339484
9556,1990-08-24,Darkman,Darkman,Darkman Collection,45154
18998,1995-07-11,Darkman II: The Return of Durant,Darkman II: The Return of Durant,Darkman Collection,45154
19002,1996-04-14,Darkman III: Die Darkman Die,Darkman III: Die Darkman Die,Darkman Collection,45154
10483,2008-08-22,Death Race,Death Race,Death Race Collection,86116
51620,2010-11-12,Death Race 2,Death Race 2,Death Race Collection,86116
156717,2013-01-04,Death Race: Inferno,Death Race: Inferno,Death Race Collection,86116
401478,2018-10-02,Death Race: Beyond Anarchy,Death Race: Beyond Anarchy,Death Race Collection,86116
9486,2003-03-14,Johnny English,Johnny English,Johnny English Collection,86117
58233,2011-09-15,Johnny English Reborn,Johnny English Reborn,Johnny English Collection,86117
463272,2018-09-13,Johnny English Strikes Again,Johnny English Strikes Again,Johnny English Collection,86117
1241132,,Johnny English 4,Johnny English 4,Johnny English Collection,86117
808,2001-05-18,Shrek,Shrek,Shrek Collection,2150
809,2004-05-19,Shrek 2,Shrek 2,Shrek Collection,2150
810,2007-05-17,Shrek the Third,Shrek the Third,Shrek Collection,2150
10192,2010-05-16,Shrek Forever After,Shrek Forever After,Shrek Collection,2150
421892,2026-07-01,Shrek 5,Shrek 5,Shrek Collection,2150
45772,2011-01-13,Gnomeo & Juliet,Gnomeo & Juliet,Gnomeo & Juliet Collection,493668
370567,2018-03-15,Sherlock Gnomes,Sherlock Gnomes,Gnomeo & Juliet Collection,493668
623491,2020-09-10,The Babysitter: Killer Queen,The Babysitter: Killer Queen,The Babysitter Collection,737382
419479,2017-10-13,The Babysitter,The Babysitter,The Babysitter Collection,737382
120,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings Collection,119
121,2002-12-18,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,The Lord of the Rings Collection,119
122,2003-12-17,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings Collection,119
664413,2020-02-07,365 dni,365 Days,365 Days Collection,829561
829557,2022-04-26,365 dni: Ten dzień,365 Days: This Day,365 Days Collection,829561
829560,2022-08-18,Kolejne 365 dni,The Next 365 Days,365 Days Collection,829561
11224,1950-02-22,Cinderella,Cinderella,Cinderella Collection,55419
16119,2007-02-06,Cinderella III: A Twist in Time,Cinderella III: A Twist in Time,Cinderella Collection,55419
14128,2002-02-23,Cinderella II: Dreams Come True,Cinderella II: Dreams Come True,Cinderella Collection,55419
10693,1953-02-05,Peter Pan,Peter Pan,Peter Pan Collection,55422
16690,2002-02-14,Return to Never Land,Return to Never Land,Peter Pan Collection,55422
11298,1981-01-21,The Howling,The Howling,The Howling Collection,174218
29794,1985-08-28,Howling II: Stirba - Werewolf Bitch,Howling II: Stirba - Werewolf Bitch,The Howling Collection,174218
38500,1988-11-01,Howling IV: The Original Nightmare,Howling IV: The Original Nightmare,The Howling Collection,174218
35945,1989-05-01,Howling V: The Rebirth,Howling V: The Rebirth,The Howling Collection,174218
36421,1991-04-18,Howling VI: The Freaks,Howling VI: The Freaks,The Howling Collection,174218
38499,1995-10-17,Howling: New Moon Rising,Howling: New Moon Rising,The Howling Collection,174218
32595,1987-05-15,Howling III: The Marsupials,Howling III: The Marsupials,The Howling Collection,174218
75623,2011-10-18,The Howling: Reborn,The Howling: Reborn,The Howling Collection,174218
587272,2019-08-02,Padre no hay más que uno,Father There Is Only One,Father There Is Only One Collection,669836
668742,2020-07-29,Padre no hay más que uno 2: la llegada de la suegra,Father There Is Only One 2,Father There Is Only One Collection,669836
975120,2022-07-15,Padre no hay más que uno 3,Padre no hay más que uno 3,Father There Is Only One Collection,669836
1030076,2024-07-17,Padre no hay más que uno 4: Campanas de boda,Padre no hay más que uno 4: Campanas de boda,Father There Is Only One Collection,669836
1328913,2025-06-26,Padre no hay más que uno 5,Padre no hay más que uno 5,Father There Is Only One Collection,669836
366170,2016-04-23,遊☆戯☆王 THE DARK SIDE OF DIMENSIONS,Yu-Gi-Oh!: The Dark Side of Dimensions,Yu-Gi-Oh Collection,600207
11052,2004-08-13,Yu-Gi-Oh! The Movie,Yu-Gi-Oh! The Movie,Yu-Gi-Oh Collection,600207
378240,1999-03-06,遊☆戯☆王,Yu☆Gi☆Oh!,Yu-Gi-Oh Collection,600207
72013,2010-01-23,劇場版 遊☆戯☆王 ～超融合！時空を越えた絆～,Yu-Gi-Oh!: Bonds Beyond Time,Yu-Gi-Oh Collection,600207
16186,2005-02-25,Diary of a Mad Black Woman,Diary of a Mad Black Woman,Madea Collection,534673
16781,2006-02-24,Madea's Family Reunion,Madea's Family Reunion,Madea Collection,534673
15670,2009-02-16,Madea Goes to Jail,Madea Goes to Jail,Madea Collection,534673
26367,2009-09-11,I Can Do Bad All By Myself,I Can Do Bad All By Myself,Madea Collection,534673
51017,2011-04-22,Madea's Big Happy Family,Madea's Big Happy Family,Madea Collection,534673
103370,2012-06-29,Madea's Witness Protection,Madea's Witness Protection,Madea Collection,534673
175555,2013-12-13,A Madea Christmas,A Madea Christmas,Madea Collection,534673
464504,2019-03-01,A Madea Family Funeral,A Madea Family Funeral,Madea Collection,534673
16710,2008-03-21,Meet the Browns,Meet the Browns,Madea Collection,534673
380124,2016-10-21,Boo! A Madea Halloween,Boo! A Madea Halloween,Madea Collection,534673
459202,2017-10-20,Boo 2! A Madea Halloween,Boo 2! A Madea Halloween,Madea Collection,534673
845404,2022-02-25,Tyler Perry's A Madea Homecoming,Tyler Perry's A Madea Homecoming,Madea Collection,534673
316068,2015-01-20,Tyler Perry's Madea's Tough Love,Tyler Perry's Madea's Tough Love,Madea Collection,534673
1246310,,Tyler Perry's Madea's Destination Wedding,Tyler Perry's Madea's Destination Wedding,Madea Collection,534673
4247,2000-07-07,Scary Movie,Scary Movie,Scary Movie Collection,4246
4248,2001-07-04,Scary Movie 2,Scary Movie 2,Scary Movie Collection,4246
4257,2006-04-12,Scary Movie 4,Scary Movie 4,Scary Movie Collection,4246
4258,2013-04-11,Scary Movie 5,Scary Movie 5,Scary Movie Collection,4246
4256,2003-10-24,Scary Movie 3,Scary Movie 3,Scary Movie Collection,4246
1273221,,Scary Movie,Scary Movie,Scary Movie Collection,4246
98566,2014-08-07,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Remake) Collection,401562
308531,2016-06-01,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles (Remake) Collection,401562
146,2000-07-06,卧虎藏龍,"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon Collection",290973
263341,2016-02-18,"Crouching Tiger, Hidden Dragon: Sword of Destiny","Crouching Tiger, Hidden Dragon: Sword of Destiny","Crouching Tiger, Hidden Dragon Collection",290973
537915,2019-04-11,After,After,After Collection,702624
613504,2020-09-02,After We Collided,After We Collided,After Collection,702624
744275,2021-09-01,After We Fell,After We Fell,After Collection,702624
744276,2022-08-24,After Ever Happy,After Ever Happy,After Collection,702624
820525,2023-09-13,After Everything,After Everything,After Collection,702624
57800,2012-06-27,Ice Age: Continental Drift,Ice Age: Continental Drift,Ice Age Collection,8354
425,2002-03-10,Ice Age,Ice Age,Ice Age Collection,8354
8355,2009-06-26,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,Ice Age Collection,8354
950,2006-03-29,Ice Age: The Meltdown,Ice Age: The Meltdown,Ice Age Collection,8354
278154,2016-06-23,Ice Age: Collision Course,Ice Age: Collision Course,Ice Age Collection,8354
774825,2022-01-28,The Ice Age Adventures of Buck Wild,The Ice Age Adventures of Buck Wild,Ice Age Collection,8354
1384758,2026-12-17,Ice Age 6,Ice Age 6,Ice Age Collection,8354
65086,2012-02-03,The Woman in Black,The Woman in Black,The Woman in Black Collection,315560
288158,2014-12-30,The Woman in Black 2: Angel of Death,The Woman in Black 2: Angel of Death,The Woman in Black Collection,315560
968868,2023-06-09,劇場版 美少女戦士セーラームーンCosmos 前編,Pretty Guardian Sailor Moon Cosmos the Movie Part 1,Pretty Guardian Sailor Moon Cosmos the Movie Collection,968880
968870,2023-06-30,劇場版 美少女戦士セーラームーンCosmos 後編,Pretty Guardian Sailor Moon Cosmos the Movie Part 2,Pretty Guardian Sailor Moon Cosmos the Movie Collection,968880
9070,1995-06-30,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,Power Rangers Collection,708816
6499,1997-03-27,Turbo: A Power Rangers Movie,Turbo: A Power Rangers Movie,Power Rangers Collection,708816
609,1982-06-04,Poltergeist,Poltergeist,Poltergeist Collection,10453
10306,1988-06-10,Poltergeist III,Poltergeist III,Poltergeist Collection,10453
11133,1986-05-23,Poltergeist II: The Other Side,Poltergeist II: The Other Side,Poltergeist Collection,10453
774741,2021-12-02,Diary of a Wimpy Kid,Diary of a Wimpy Kid,Diary of a Wimpy Kid (Animated) Collection,897238
897192,2022-12-02,Diary of a Wimpy Kid: Rodrick Rules,Diary of a Wimpy Kid: Rodrick Rules,Diary of a Wimpy Kid (Animated) Collection,897238
1123093,2023-12-07,Diary of a Wimpy Kid Christmas: Cabin Fever,Diary of a Wimpy Kid Christmas: Cabin Fever,Diary of a Wimpy Kid (Animated) Collection,897238
1392796,,Untitled Diary of a Wimpy Kid film,Untitled Diary of a Wimpy Kid film,Diary of a Wimpy Kid (Animated) Collection,897238
984,1971-12-23,Dirty Harry,Dirty Harry,Dirty Harry Collection,10456
10648,1973-12-13,Magnum Force,Magnum Force,Dirty Harry Collection,10456
10649,1976-12-16,The Enforcer,The Enforcer,Dirty Harry Collection,10456
10650,1983-12-08,Sudden Impact,Sudden Impact,Dirty Harry Collection,10456
10651,1988-07-13,The Dead Pool,The Dead Pool,Dirty Harry Collection,10456
198663,2014-09-10,The Maze Runner,The Maze Runner,The Maze Runner Collection,295130
294254,2015-09-09,Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials,The Maze Runner Collection,295130
336843,2018-01-10,Maze Runner: The Death Cure,Maze Runner: The Death Cure,The Maze Runner Collection,295130
100402,2014-03-20,Captain America: The Winter Soldier,Captain America: The Winter Soldier,Captain America Collection,131295
271110,2016-04-27,Captain America: Civil War,Captain America: Civil War,Captain America Collection,131295
822119,2025-02-12,Captain America: Brave New World,Captain America: Brave New World,Captain America Collection,131295
1771,2011-07-22,Captain America: The First Avenger,Captain America: The First Avenger,Captain America Collection,131295
10195,2011-04-21,Thor,Thor,Thor Collection,131296
76338,2013-10-30,Thor: The Dark World,Thor: The Dark World,Thor Collection,131296
284053,2017-10-02,Thor: Ragnarok,Thor: Ragnarok,Thor Collection,131296
616037,2022-07-06,Thor: Love and Thunder,Thor: Love and Thunder,Thor Collection,131296
10320,2005-03-10,The Ring Two,The Ring Two,The Ring Collection,14563
565,2002-10-18,The Ring,The Ring,The Ring Collection,14563
14564,2017-02-01,Rings,Rings,The Ring Collection,14563
63105,1995-08-18,Nemesis 2: Nebula,Nemesis 2: Nebula,Nemesis Collection,286948
24230,1992-12-26,Nemesis,Nemesis,Nemesis Collection,286948
107096,1996-06-18,Nemesis 3: Time Lapse,Nemesis 3: Time Lapse,Nemesis Collection,286948
60173,1996-12-23,Nemesis 4: Death Angel,Nemesis 4: Death Angel,Nemesis Collection,286948
540727,2017-12-01,Nemesis 5: The New Model,Nemesis 5: The New Model,Nemesis Collection,286948
70590,2011-07-22,Singham,Singham,Rohit Shetty Cop Universe,286951
285803,2014-08-15,सिंघम रिटर्न्स,Singham Returns,Rohit Shetty Cop Universe,286951
1014214,2024-11-01,सिंघम अगेन,Singham Again,Rohit Shetty Cop Universe,286951
592508,2021-11-05,सूर्यवंशी,Sooryavanshi,Rohit Shetty Cop Universe,286951
496524,2018-12-28,सिंम्बा,Simmba,Rohit Shetty Cop Universe,286951
13648,2008-02-13,バイオハザード：ディジェネレーション,Resident Evil: Degeneration,Resident Evil (Animated) Collection,133352
133121,2012-09-25,バイオハザード ダムネーション,Resident Evil: Damnation,Resident Evil (Animated) Collection,133352
400136,2017-05-27,バイオハザード ヴェンデッタ,Resident Evil: Vendetta,Resident Evil (Animated) Collection,133352
1083862,2023-06-22,バイオハザード：デスアイランド,Resident Evil: Death Island,Resident Evil (Animated) Collection,133352
243938,2015-02-20,Hot Tub Time Machine 2,Hot Tub Time Machine 2,Hot Tub Time Machine Collection,313576
23048,2010-03-26,Hot Tub Time Machine,Hot Tub Time Machine,Hot Tub Time Machine Collection,313576
10911,1961-04-27,The Guns of Navarone,The Guns of Navarone,Navarone Collection,366826
17339,1978-08-16,Force 10 from Navarone,Force 10 from Navarone,Navarone Collection,366826
70981,2012-05-30,Prometheus,Prometheus,Prometheus Collection,135416
126889,2017-05-09,Alien: Covenant,Alien: Covenant,Prometheus Collection,135416
136799,2016-10-13,Trolls,Trolls,The Trolls Collection,489724
446893,2020-03-11,Trolls World Tour,Trolls World Tour,The Trolls Collection,489724
901362,2023-10-12,Trolls Band Together,Trolls Band Together,The Trolls Collection,489724
297802,2018-12-07,Aquaman,Aquaman,Aquaman Collection,573693
572802,2023-12-20,Aquaman and the Lost Kingdom,Aquaman and the Lost Kingdom,Aquaman Collection,573693
105,1985-07-03,Back to the Future,Back to the Future,Back to the Future Collection,264
165,1989-11-22,Back to the Future Part II,Back to the Future Part II,Back to the Future Collection,264
196,1990-05-25,Back to the Future Part III,Back to the Future Part III,Back to the Future Collection,264
627,1996-02-23,Trainspotting,Trainspotting,Trainspotting Collection,424202
180863,2017-01-27,T2 Trainspotting,T2 Trainspotting,Trainspotting Collection,424202
15602,1995-12-22,Grumpier Old Men,Grumpier Old Men,Grumpy Old Men Collection,119050
11520,1993-12-25,Grumpy Old Men,Grumpy Old Men,Grumpy Old Men Collection,119050
27813,1982-04-02,Basket Case,Basket Case,Basket Case Trilogy,104716
27815,1990-03-02,Basket Case 2,Basket Case 2,Basket Case Trilogy,104716
27816,1992-02-21,Basket Case 3: The Progeny,Basket Case 3: The Progeny,Basket Case Trilogy,104716
13683,2002-06-24,Tarzan & Jane,Tarzan & Jane,Tarzan (Animation) Collection,106768
15657,2005-06-13,Tarzan II,Tarzan II,Tarzan (Animation) Collection,106768
37135,1999-06-18,Tarzan,Tarzan,Tarzan (Animation) Collection,106768
9529,1992-10-16,Candyman,Candyman,Candyman Collection,98580
10824,1995-03-17,Candyman: Farewell to the Flesh,Candyman: Farewell to the Flesh,Candyman Collection,98580
12485,1999-07-09,Candyman: Day of the Dead,Candyman: Day of the Dead,Candyman Collection,98580
565028,2021-08-25,Candyman,Candyman,Candyman Collection,98580
277,2003-09-19,Underworld,Underworld,Underworld Collection,2326
52520,2012-01-19,Underworld: Awakening,Underworld: Awakening,Underworld Collection,2326
834,2006-01-12,Underworld: Evolution,Underworld: Evolution,Underworld Collection,2326
12437,2009-01-22,Underworld: Rise of the Lycans,Underworld: Rise of the Lycans,Underworld Collection,2326
346672,2016-11-24,Underworld: Blood Wars,Underworld: Blood Wars,Underworld Collection,2326
23479,1976-04-06,The Bad News Bears,The Bad News Bears,The Bad News Bears Collection,215326
19050,1977-07-08,The Bad News Bears in Breaking Training,The Bad News Bears in Breaking Training,The Bad News Bears Collection,215326
66946,1978-06-30,The Bad News Bears Go to Japan,The Bad News Bears Go to Japan,The Bad News Bears Collection,215326
617,1998-03-20,Wild Things,Wild Things,Wild Things Collection,33059
10367,2004-02-19,Wild Things 2,Wild Things 2,Wild Things Collection,33059
17124,2005-02-19,Wild Things: Diamonds in the Rough,Wild Things: Diamonds in the Rough,Wild Things Collection,33059
37708,2010-06-01,Wild Things: Foursome,Wild Things: Foursome,Wild Things Collection,33059
24428,2012-04-25,The Avengers,The Avengers,The Avengers Collection,86311
99861,2015-04-22,Avengers: Age of Ultron,Avengers: Age of Ultron,The Avengers Collection,86311
299536,2018-04-25,Avengers: Infinity War,Avengers: Infinity War,The Avengers Collection,86311
299534,2019-04-24,Avengers: Endgame,Avengers: Endgame,The Avengers Collection,86311
22,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean Collection,295
58,2006-07-06,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean Collection,295
285,2007-05-19,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,Pirates of the Caribbean Collection,295
1865,2011-05-15,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean Collection,295
166426,2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean Collection,295
50698,2011-09-09,Grave Encounters,Grave Encounters,Grave Encounters Collection,135466
134366,2012-10-12,Grave Encounters 2,Grave Encounters 2,Grave Encounters Collection,135466
161,2001-12-07,Ocean's Eleven,Ocean's Eleven,Ocean's Collection,304
163,2004-12-09,Ocean's Twelve,Ocean's Twelve,Ocean's Collection,304
298,2007-06-05,Ocean's Thirteen,Ocean's Thirteen,Ocean's Collection,304
8681,2008-02-18,Taken,Taken,Taken Collection,135483
82675,2012-09-27,Taken 2,Taken 2,Taken Collection,135483
260346,2014-12-16,Taken 3,Taken 3,Taken Collection,135483
578,1975-06-20,Jaws,Jaws,Jaws Collection,2366
579,1978-06-16,Jaws 2,Jaws 2,Jaws Collection,2366
580,1987-07-17,Jaws: The Revenge,Jaws: The Revenge,Jaws Collection,2366
17692,1983-07-22,Jaws 3-D,Jaws 3-D,Jaws Collection,2366
11137,2004-03-28,The Prince & Me,The Prince & Me,The Prince & Me Collection,86334
15590,2006-02-21,The Prince & Me 2: The Royal Wedding,The Prince & Me 2: The Royal Wedding,The Prince & Me Collection,86334
20036,2008-10-28,The Prince & Me: A Royal Honeymoon,The Prince & Me: A Royal Honeymoon,The Prince & Me Collection,86334
36515,2010-03-23,The Prince & Me 4: The Elephant Adventure,The Prince & Me 4: The Elephant Adventure,The Prince & Me Collection,86334
10351,1997-09-19,Wishmaster,Wishmaster,Wishmaster Collection,135489
38157,2002-06-10,Wishmaster 4: The Prophecy Fulfilled,Wishmaster 4: The Prophecy Fulfilled,Wishmaster Collection,135489
28635,2001-10-23,Wishmaster 3: Beyond the Gates of Hell,Wishmaster 3: Beyond the Gates of Hell,Wishmaster Collection,135489
12594,1999-03-12,Wishmaster 2: Evil Never Dies,Wishmaster 2: Evil Never Dies,Wishmaster Collection,135489
158015,2013-05-31,The Purge,The Purge,The Purge Collection,256322
238636,2014-07-17,The Purge: Anarchy,The Purge: Anarchy,The Purge Collection,256322
316727,2016-06-29,The Purge: Election Year,The Purge: Election Year,The Purge Collection,256322
442249,2018-07-04,The First Purge,The First Purge,The Purge Collection,256322
602223,2021-06-30,The Forever Purge,The Forever Purge,The Purge Collection,256322
16774,2006-10-28,Hellboy Animated: Sword of Storms,Hellboy Animated: Sword of Storms,Hellboy (Animated) Collection,123203
13204,2007-03-10,Hellboy Animated: Blood and Iron,Hellboy Animated: Blood and Iron,Hellboy (Animated) Collection,123203
154207,2007-06-12,Hellboy Animated: Iron Shoes,Hellboy Animated: Iron Shoes,Hellboy (Animated) Collection,123203
789978,2010-09-08,Hellboy Animated: The Dark Below,Hellboy Animated: The Dark Below,Hellboy (Animated) Collection,123203
329,1993-06-11,Jurassic Park,Jurassic Park,Jurassic Park Collection,328
330,1997-05-23,The Lost World: Jurassic Park,The Lost World: Jurassic Park,Jurassic Park Collection,328
331,2001-07-18,Jurassic Park III,Jurassic Park III,Jurassic Park Collection,328
135397,2015-06-06,Jurassic World,Jurassic World,Jurassic Park Collection,328
351286,2018-06-06,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,Jurassic Park Collection,328
507086,2022-06-01,Jurassic World Dominion,Jurassic World Dominion,Jurassic Park Collection,328
1234821,2025-07-02,Jurassic World Rebirth,Jurassic World Rebirth,Jurassic Park Collection,328
503314,2018-12-14,ドラゴンボール超 ブロリー,Dragon Ball Super: Broly,Dragon Ball Super Collection,620873
610150,2022-06-11,ドラゴンボール超 スーパーヒーロー,Dragon Ball Super: Super Hero,Dragon Ball Super Collection,620873
126963,2013-03-30,ドラゴンボールZ 神と神,Dragon Ball Z: Battle of Gods,Dragon Ball Super Collection,620873
303857,2015-04-18,ドラゴンボールZ 復活の「F」,Dragon Ball Z: Resurrection 'F',Dragon Ball Super Collection,620873
10730,1976-09-08,King Kong,King Kong,King Kong (1976) Collection,135498
31947,1986-12-16,King Kong Lives,King Kong Lives,King Kong (1976) Collection,135498
2605,1986-05-09,Short Circuit,Short Circuit,Short Circuit Collection,86347
11966,1988-07-06,Short Circuit 2,Short Circuit 2,Short Circuit Collection,86347
20455,2000-10-06,映画 デジモンアドベンチャー,Digimon: The Movie,Digimon Adventure Collection,39244
98299,2000-07-08,デジモンアドベンチャー02 前編・デジモンハリケーン上陸!!／後編・超絶進化!!黄金のデジメンタル,Digimon Adventure 02: Hurricane Touchdown! The Golden Digimentals,Digimon Adventure Collection,39244
571265,2020-02-21,デジモンアドベンチャー LAST EVOLUTION 絆,Digimon Adventure: Last Evolution Kizuna,Digimon Adventure Collection,39244
872976,2023-04-01,デジモンアドベンチャー02 THE BEGINNING,Digimon Adventure 02: The Beginning,Digimon Adventure Collection,39244
11815,1958-07-16,The Fly,The Fly,The Fly Collection,123213
38126,1959-07-01,Return of the Fly,Return of the Fly,The Fly Collection,123213
38125,1965-05-01,Curse of the Fly,Curse of the Fly,The Fly Collection,123213
28751,1992-01-29,976-EVIL II,976-EVIL II,976-EVIL Collection,135501
24038,1988-12-09,976-EVIL,976-EVIL,976-EVIL Collection,135501
9838,1985-11-22,King Solomon's Mines,King Solomon's Mines,Allan Quatermain Collection,135502
