id,release_date,original_title,title,collection,collection_id
8835,2001-07-13,Legally Blonde,Legally Blonde,Legally Blonde Collection,86024
10327,2003-07-02,"Legally Blonde 2: Red, White & Blonde","Legally Blonde 2: Red, White & Blonde",Legally Blonde Collection,86024
528320,,Legally Blonde 3,Legally Blonde 3,Legally Blonde Collection,86024
11,1977-05-25,Star Wars,Star Wars,Star Wars Collection,10
1891,1980-05-20,The Empire Strikes Back,The Empire Strikes Back,Star Wars Collection,10
1892,1983-05-25,Return of the Jedi,Return of the Jedi,Star Wars Collection,10
1893,1999-05-19,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,Star Wars Collection,10
1894,2002-05-15,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,Star Wars Collection,10
1895,2005-05-17,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,Star Wars Collection,10
140607,2015-12-15,Star Wars: The Force Awakens,Star Wars: The Force Awakens,Star Wars Collection,10
181812,2019-12-18,Star Wars: The Rise of Skywalker,Star Wars: The Rise of Skywalker,Star Wars Collection,10
181808,2017-12-13,Star Wars: The Last Jedi,Star Wars: The Last Jedi,Star Wars Collection,10
812,1992-11-25,Aladdin,Aladdin,Aladdin Collection,86027
15969,1994-05-20,The Return of Jafar,The Return of Jafar,Aladdin Collection,86027
11238,1996-05-20,Aladdin and the King of Thieves,Aladdin and the King of Thieves,Aladdin Collection,86027
51540,2011-07-08,Horrible Bosses,Horrible Bosses,Horrible Bosses Collection,280588
227159,2014-11-12,Horrible Bosses 2,Horrible Bosses 2,Horrible Bosses Collection,280588
208763,2014-01-30,Вий,Forbidden Empire,Viy Collection,428046
428045,2019-08-16,Тайна печати Дракона,Iron Mask,Viy Collection,428046
576788,,На пороге бессмертия: Путешествие в Индию,Viy 3: Travel to India,Viy Collection,428046
11315,1999-11-27,DEAD OR ALIVE 犯罪者,Dead or Alive,Dead or Alive Collection,192532
13899,2000-12-02,DEAD OR ALIVE 2 逃亡者,Dead or Alive 2: Birds,Dead or Alive Collection,192532
36222,2002-01-12,DEAD OR ALIVE FINAL,Dead or Alive: Final,Dead or Alive Collection,192532
8914,1999-07-28,Deep Blue Sea,Deep Blue Sea,Deep Blue Sea Collection,518165
492336,2018-04-17,Deep Blue Sea 2,Deep Blue Sea 2,Deep Blue Sea Collection,518165
703745,2020-08-25,Deep Blue Sea 3,Deep Blue Sea 3,Deep Blue Sea Collection,518165
37662,1970-12-21,The Railway Children,The Railway Children,The Railway Children Collection,987163
826680,2022-07-15,The Railway Children Return,The Railway Children Return,The Railway Children Collection,987163
546554,2019-11-27,Knives Out,Knives Out,Knives Out Collection,722971
661374,2022-11-23,Glass Onion: A Knives Out Mystery,Glass Onion: A Knives Out Mystery,Knives Out Collection,722971
812583,,Wake Up Dead Man: A Knives Out Mystery,Wake Up Dead Man: A Knives Out Mystery,Knives Out Collection,722971
46806,2003-04-27,Eloise at the Plaza,Eloise at the Plaza,Eloise Collection,1136672
59191,2003-11-22,Eloise at Christmastime,Eloise at Christmastime,Eloise Collection,1136672
13939,1974-07-24,Death Wish,Death Wish,Death Wish Collection,14377
14373,1982-02-20,Death Wish II,Death Wish II,Death Wish Collection,14377
24873,1985-11-01,Death Wish 3,Death Wish 3,Death Wish Collection,14377
26263,1987-06-11,Death Wish 4: The Crackdown,Death Wish 4: The Crackdown,Death Wish Collection,14377
34746,1994-01-14,Death Wish V: The Face of Death,Death Wish V: The Face of Death,Death Wish Collection,14377
440021,2017-10-12,Happy Death Day,Happy Death Day,Happy Death Day Collection,526380
512196,2019-02-13,Happy Death Day 2U,Happy Death Day 2U,Happy Death Day Collection,526380
774079,,Happy Death Day to Us,Happy Death Day to Us,Happy Death Day Collection,526380
20352,2010-07-08,Despicable Me,Despicable Me,Despicable Me Collection,86066
93456,2013-06-26,Despicable Me 2,Despicable Me 2,Despicable Me Collection,86066
324852,2017-06-15,Despicable Me 3,Despicable Me 3,Despicable Me Collection,86066
519182,2024-06-20,Despicable Me 4,Despicable Me 4,Despicable Me Collection,86066
17653,1993-03-04,方世玉,The Legend of Fong Sai Yuk,Fong Sai Yuk Collection,122945
17811,1993-07-30,方世玉續集,The Legend II,Fong Sai Yuk Collection,122945
