id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
13396,1982-12-26,The Snowman,The Snowman,The Snowman Collection,394204,nan
185025,2012-12-24,The Snowman and The Snowdog,The Snowman and The Snowdog,The Snowman Collection,394204,nan
80809,1985-12-01,Perry Mason Returns,Perry Mason Returns,The Perry Mason TV Movie Collection,977885,nan
226686,1986-05-29,Perry Mason: The Case of the Notorious Nun,Perry Mason: The Case of the Notorious Nun,The Perry Mason TV Movie Collection,977885,nan
227667,1986-11-08,Perry Mason: The Case of the Shooting Star,Perry Mason: The Case of the Shooting Star,The Perry Mason TV Movie Collection,977885,nan
225525,1987-02-23,Perry Mason: The Case of the Lost Love,Perry Mason: The Case of the Lost Love,The Perry Mason TV Movie Collection,977885,nan
89463,1987-05-24,Perry Mason: The Case of the Sinister Spirit,Perry Mason: The Case of the Sinister Spirit,The Perry Mason TV Movie Collection,977885,nan
225577,1987-10-04,Perry Mason: The Case of the Murdered Madam,Perry Mason: The Case of the Murdered Madam,The Perry Mason TV Movie Collection,977885,nan
89307,1987-11-15,Perry Mason: The Case of the Scandalous Scoundrel,Perry Mason: The Case of the Scandalous Scoundrel,The Perry Mason TV Movie Collection,977885,nan
225816,1988-02-28,Perry Mason: The Case of the Avenging Ace,Perry Mason: The Case of the Avenging Ace,The Perry Mason TV Movie Collection,977885,nan
227668,1988-05-15,Perry Mason: The Case of the Lady in the Lake,Perry Mason: The Case of the Lady in the Lake,The Perry Mason TV Movie Collection,977885,nan
229087,1989-02-12,Perry Mason: The Case of the Lethal Lesson,Perry Mason: The Case of the Lethal Lesson,The Perry Mason TV Movie Collection,977885,nan
229081,1989-04-09,Perry Mason: The Case of the Musical Murder,Perry Mason: The Case of the Musical Murder,The Perry Mason TV Movie Collection,977885,nan
229097,1989-11-09,Perry Mason: The Case of the All-Star Assassin,Perry Mason: The Case of the All-Star Assassin,The Perry Mason TV Movie Collection,977885,nan
229088,1990-01-21,Perry Mason: The Case of the Poisoned Pen,Perry Mason: The Case of the Poisoned Pen,The Perry Mason TV Movie Collection,977885,nan
229102,1990-03-11,Perry Mason: The Case of the Desperate Deception,Perry Mason: The Case of the Desperate Deception,The Perry Mason TV Movie Collection,977885,nan
94105,1990-05-20,Perry Mason: The Case of the Silenced Singer,Perry Mason: The Case of the Silenced Singer,The Perry Mason TV Movie Collection,977885,nan
229094,1990-09-30,Perry Mason: The Case of the Defiant Daughter,Perry Mason: The Case of the Defiant Daughter,The Perry Mason TV Movie Collection,977885,nan
92931,1991-01-06,Perry Mason: The Case of the Ruthless Reporter,Perry Mason: The Case of the Ruthless Reporter,The Perry Mason TV Movie Collection,977885,nan
96906,1991-02-11,Perry Mason: The Case of the Maligned Mobster,Perry Mason: The Case of the Maligned Mobster,The Perry Mason TV Movie Collection,977885,nan
85758,1991-05-14,Perry Mason: The Case of the Glass Coffin,Perry Mason: The Case of the Glass Coffin,The Perry Mason TV Movie Collection,977885,nan
226050,1991-09-24,Perry Mason: The Case of the Fatal Fashion,Perry Mason: The Case of the Fatal Fashion,The Perry Mason TV Movie Collection,977885,nan
228257,1992-03-01,Perry Mason: The Case of the Fatal Framing,Perry Mason: The Case of the Fatal Framing,The Perry Mason TV Movie Collection,977885,nan
95400,1992-05-05,Perry Mason: The Case of the Reckless Romeo,Perry Mason: The Case of the Reckless Romeo,The Perry Mason TV Movie Collection,977885,nan
85755,1992-10-30,Perry Mason: The Case of the Heartbroken Bride,Perry Mason: The Case of the Heartbroken Bride,The Perry Mason TV Movie Collection,977885,nan
97073,1993-02-19,Perry Mason: The Case of the Skin-Deep Scandal,Perry Mason: The Case of the Skin-Deep Scandal,The Perry Mason TV Movie Collection,977885,nan
226236,1993-05-21,Perry Mason: The Case of the Telltale Talk Show Host,Perry Mason: The Case of the Telltale Talk Show Host,The Perry Mason TV Movie Collection,977885,nan
85753,1993-11-29,Perry Mason: The Case of the Killer Kiss,Perry Mason: The Case of the Killer Kiss,The Perry Mason TV Movie Collection,977885,nan
92940,1993-12-17,Perry Mason: The Case of the Wicked Wives,Perry Mason: The Case of the Wicked Wives,The Perry Mason TV Movie Collection,977885,nan
229166,1994-05-10,Perry Mason: The Case of the Lethal Lifestyle,Perry Mason: The Case of the Lethal Lifestyle,The Perry Mason TV Movie Collection,977885,nan
226675,1994-11-09,Perry Mason: The Case of the Grimacing Governor,Perry Mason: The Case of the Grimacing Governor,The Perry Mason TV Movie Collection,977885,nan
226679,1995-04-10,Perry Mason: The Case of the Jealous Jokester,Perry Mason: The Case of the Jealous Jokester,The Perry Mason TV Movie Collection,977885,nan
110026,1935-05-21,The New Adventures of Tarzan,The New Adventures of Tarzan,Tarzan (Bruce Bennett) Collection,941022,nan
76950,1938-02-14,Tarzan and the Green Goddess,Tarzan and the Green Goddess,Tarzan (Bruce Bennett) Collection,941022,nan
8923,2005-09-09,Green Street Hooligans,Green Street Hooligans,Green Street Hooligans Collection,152544,nan
15809,2009-03-23,Green Street Hooligans 2,Green Street Hooligans 2,Green Street Hooligans Collection,152544,nan
182873,2013-10-21,Green Street Hooligans: Underground,Green Street 3: Never Back Down,Green Street Hooligans Collection,152544,nan
71200,1989-02-22,Snake Eater,Snake Eater,Snake Eater Collection,218104,nan
71201,1989-10-01,Snake Eater II: The Drug Buster,Snake Eater II: The Drug Buster,Snake Eater Collection,218104,nan
71202,1992-10-07,Snake Eater III: His Law,Snake Eater III: His Law,Snake Eater Collection,218104,nan
101287,1947-08-15,Los tres García,The Three Garcías,Los García - Colección,758783,nan
101271,1947-08-15,Vuelven los García,Vuelven los García,Los García - Colección,758783,nan
453629,1990-02-01,La Risa en Vacaciones,La Risa en Vacaciones,La Risa en Vacaciones,453631,nan
391308,1991-04-04,La risa en vacaciones 2,La risa en vacaciones 2,La Risa en Vacaciones,453631,nan
336930,1992-02-01,La risa en vacaciones 3,La risa en vacaciones 3,La Risa en Vacaciones,453631,nan
391340,1994-01-07,La risa en vacaciones 4,La risa en vacaciones 4,La Risa en Vacaciones,453631,nan
388897,1994-03-21,La risa en vacaciones 5,La risa en vacaciones 5,La Risa en Vacaciones,453631,nan
391314,1996-11-11,La risa en vacaciones 8,La risa en vacaciones 8,La Risa en Vacaciones,453631,nan
388923,1995-03-21,La loca risa en vacaciones 7,La Risa En Vacaciones 7,La Risa en Vacaciones,453631,nan
453633,1995-01-08,La nueva risa en vacaciones,La Risa En Vacaciones 6,La Risa en Vacaciones,453631,nan
143873,1997-01-01,The Body Beautiful,The Body Beautiful,The Click,955406,nan
531683,1997-01-02,"Sex, Lies & Politics","Sex, Lies & Politics",The Click,955406,nan
583575,1997-01-03,In the Heat of the Click,In the Heat of the Click,The Click,955406,nan
662234,1997-01-04,Erotic Curse of Cairo,Erotic Curse of Cairo,The Click,955406,nan
30733,1997-01-05,Rod Steele 0014: You Only Live Until You Die,Rod Steele 0014: You Only Live Until You Die,The Click,955406,nan
615000,1997-01-06,For the Love of the Click,For the Love of the Click,The Click,955406,nan
615002,1997-01-07,Secrets Revealed,Secrets Revealed,The Click,955406,nan
15070,2002-07-17,Undisputed,Undisputed,Undisputed Collection,117777,nan
15255,2006-04-11,Undisputed II: Last Man Standing,Undisputed II: Last Man Standing,Undisputed Collection,117777,nan
38234,2010-04-17,Undisputed III: Redemption,Undisputed III: Redemption,Undisputed Collection,117777,nan
348893,2016-08-01,Boyka: Undisputed IV,Boyka: Undisputed IV,Undisputed Collection,117777,nan
53510,1948-03-25,Nosotros los pobres,We the Poor,Pepe El Toro - Colección,758801,nan
30327,1948-12-31,Ustedes los ricos,You the Rich,Pepe El Toro - Colección,758801,nan
30324,1953-08-21,Pepe El Toro,Pepe El Toro,Pepe El Toro - Colección,758801,nan
43241,1957-10-25,The Amazing Colossal Man,The Amazing Colossal Man,The Amazing Colossal Man Collection,394258,nan
38269,1958-06-04,War of the Colossal Beast,War of the Colossal Beast,The Amazing Colossal Man Collection,394258,nan
10530,1995-06-14,Pocahontas,Pocahontas,Pocahontas Collection,136214,nan
13761,1998-08-04,Pocahontas II: Journey to a New World,Pocahontas II: Journey to a New World,Pocahontas Collection,136214,nan
24924,1988-10-14,Night of the Demons,Night of the Demons,Night of the Demons Collection,136218,nan
40147,1997-10-07,Night of the Demons III,Night of the Demons III,Night of the Demons Collection,136218,nan
24925,1994-05-31,Night of the Demons 2,Night of the Demons 2,Night of the Demons Collection,136218,nan
17456,2007-09-18,BloodRayne II: Deliverance,BloodRayne 2: Deliverance,BloodRayne Collection,97307,nan
12685,2010-06-10,BloodRayne: The Third Reich,BloodRayne: The Third Reich,BloodRayne Collection,97307,nan
168705,2005-10-22,BloodRayne,BloodRayne,BloodRayne Collection,97307,nan
13812,2008-10-10,Quarantine,Quarantine,Quarantine Collection,123932,nan
59115,2011-06-16,Quarantine 2: Terminal,Quarantine 2: Terminal,Quarantine Collection,123932,nan
7341,1999-03-12,The Rage: Carrie 2,The Rage: Carrie 2,Carrie Collection,257053,nan
7340,1976-11-03,Carrie,Carrie,Carrie Collection,257053,nan
10747,1976-06-30,The Outlaw Josey Wales,The Outlaw Josey Wales,Josey Wales Collection,711707,nan
225424,1986-10-01,The Return of Josey Wales,The Return of Josey Wales,Josey Wales Collection,711707,nan
1493,2000-12-22,Miss Congeniality,Miss Congeniality,Miss Congeniality Collection,93220,nan
10040,2005-03-11,Miss Congeniality 2: Armed and Fabulous,Miss Congeniality 2: Armed and Fabulous,Miss Congeniality Collection,93220,nan
9460,1996-11-07,黑俠,Black Mask,The Black Mask Collection,205860,nan
49516,2002-12-24,黑俠2,Black Mask 2: City of Masks,The Black Mask Collection,205860,nan
272114,1985-06-04,The History of White People in America,The History of White People in America,The History of White People in America Collection,1137702,nan
439414,1986-01-01,The History of White People in America: Volume II,The History of White People in America: Volume II,The History of White People in America Collection,1137702,nan
279738,1988-08-27,Portrait of a White Marriage,Portrait of a White Marriage,The History of White People in America Collection,1137702,nan
39829,1973-03-07,The Six Million Dollar Man,The Six Million Dollar Man,The Six Million Dollar Man Movie Collection,384040,nan
164693,1973-11-17,The Six Million Dollar Man: The Solid Gold Kidnapping,The Six Million Dollar Man: The Solid Gold Kidnapping,The Six Million Dollar Man Movie Collection,384040,nan
164691,1973-10-20,"The Six Million Dollar Man: Wine, Women and War","The Six Million Dollar Man: Wine, Women and War",The Six Million Dollar Man Movie Collection,384040,nan
9426,1986-08-15,The Fly,The Fly,The Fly (1986) Collection,109609,nan
10344,1989-02-10,The Fly II,The Fly II,The Fly (1986) Collection,109609,nan
581750,,Untitled The Fly Film,Untitled The Fly Film,The Fly (1986) Collection,109609,nan
106230,2000-03-04,สตรีเหล็ก,The Iron Ladies,The Iron Ladies Collection,638002,nan
148227,2003-03-07,สตรีเหล็ก 2,The Iron Ladies 2,The Iron Ladies Collection,638002,nan
9264,1992-05-08,Poison Ivy,Poison Ivy,Poison Ivy Collection,48188,nan
18220,1996-01-16,Poison Ivy 2: Lily,Poison Ivy 2: Lily,Poison Ivy Collection,48188,nan
18222,1997-05-20,Poison Ivy: The New Seduction,Poison Ivy: The New Seduction,Poison Ivy Collection,48188,nan
18223,2008-07-27,Poison Ivy: The Secret Society,Poison Ivy: The Secret Society,Poison Ivy Collection,48188,nan
40075,1982-10-07,Ator l'invincibile,"Ator, the Fighting Eagle",Ator Collection,48194,nan
31264,1982-12-13,Ator 2 - L'invincibile Orion,The Blade Master,Ator Collection,48194,nan
48193,1987-01-09,Ator il guerriero di ferro,Iron Warrior,Ator Collection,48194,nan
5086,1990-08-29,Quest for the Mighty Sword,Ator IV: The Hobgoblin,Ator Collection,48194,nan
42025,1986-06-21,プロジェクトA子,Project A-Ko,Project A-Ko,859206,nan
134830,1988-06-20,プロジェクト A子3 - シンデレラ・ラプソディ,Project A-Ko 3: Cinderella Rhapsody,Project A-Ko,859206,nan
134831,1989-10-06,プロジェクトA子 - 完結篇,Project A-Ko 4: Final,Project A-Ko,859206,nan
134828,1987-05-21,プロジェクトA子2 - 大徳寺財閥の陰謀,Project A-Ko 2: Plot of the Daitokuji Financial Group,Project A-Ko,859206,nan
134832,1990-07-21,A-Ko The VS ＜ヴァーサス＞ Battle 1: Grey Side,Project A-Ko Versus Battle 1: Grey Side,Project A-Ko,859206,nan
134833,1990-08-21,A-Ko The VS ＜ヴァーサス＞ Battle 2: Blue Side,Project A-Ko Versus Battle 2: Blue Side,Project A-Ko,859206,nan
92371,1992-07-02,Project: Shadowchaser,Project: Shadowchaser,Project Shadowchaser Collection,721992,nan
207641,1994-05-14,Project Shadowchaser II,Project Shadowchaser II,Project Shadowchaser Collection,721992,nan
29799,1995-06-03,Project Shadowchaser III,Project Shadowchaser III,Project Shadowchaser Collection,721992,nan
36258,1997-04-22,Orion's Key,Orion's Key,Project Shadowchaser Collection,721992,nan
24020,1999-07-24,Johnny Tsunami,Johnny Tsunami,Johnny Tsunami Collection,394316,nan
62527,2007-11-17,Johnny Kapahala: Back on Board,Johnny Kapahala: Back on Board,Johnny Tsunami Collection,394316,nan
49013,2011-06-11,Cars 2,Cars 2,Cars Collection,87118,nan
920,2006-06-08,Cars,Cars,Cars Collection,87118,nan
260514,2017-06-15,Cars 3,Cars 3,Cars Collection,87118,nan
42476,1972-06-23,Ben,Ben,Willard Collection,375886,nan
42532,1971-07-30,Willard,Willard,Willard Collection,375886,nan
207508,1971-07-29,Blutjunge Verführerinnen,The Young Seducers,The Young Seducers Collection,595022,nan
265188,1972-03-17,Blutjunge Verführerinnen 2,The Young Seducers 2,The Young Seducers Collection,595022,nan
173740,1972-12-29,Blutjunge Verführerinnen 3. Teil,The Calendar Girls,The Young Seducers Collection,595022,nan
42537,1928-10-06,The Wedding March,The Wedding March,Prince Nicki Collection,1252431,nan
912596,1929-12-31,The Honeymoon,The Honeymoon,Prince Nicki Collection,1252431,nan
10925,1985-04-25,The Return of the Living Dead,The Return of the Living Dead,Return of the Living Dead Collection,101471,nan
24929,1988-01-15,Return of the Living Dead Part II,Return of the Living Dead Part II,Return of the Living Dead Collection,101471,nan
28260,1993-10-01,Return of the Living Dead III,Return of the Living Dead III,Return of the Living Dead Collection,101471,nan
24935,2005-10-15,Return of the Living Dead: Necropolis,Return of the Living Dead: Necropolis,Return of the Living Dead Collection,101471,nan
24939,2005-10-15,Return of the Living Dead: Rave to the Grave,Return of the Living Dead: Rave to the Grave,Return of the Living Dead Collection,101471,nan
3050,1998-06-26,Doctor Dolittle,Doctor Dolittle,Dr. Dolittle Collection,3169,nan
10808,2001-06-22,Dr. Dolittle 2,Dr. Dolittle 2,Dr. Dolittle Collection,3169,nan
18843,2006-04-25,Dr. Dolittle 3,Dr. Dolittle 3,Dr. Dolittle Collection,3169,nan
19273,2009-04-08,Dr. Dolittle: Million Dollar Mutts,Dr. Dolittle: Million Dollar Mutts,Dr. Dolittle Collection,3169,nan
27996,2008-03-04,Dr. Dolittle: Tail to the Chief,Dr. Dolittle: Tail to the Chief,Dr. Dolittle Collection,3169,nan
355185,2001-09-21,Family 2,Family 2,Takashi Miike's Family saga,474219,nan
115213,2001-03-10,Family,Family,Takashi Miike's Family saga,474219,nan
14400,2008-12-17,Largo Winch,The Heir Apparent: Largo Winch,Largo Winch Collection,70764,nan
57331,2011-02-16,Largo Winch II,Largo Winch II,Largo Winch Collection,70764,nan
1000075,2024-07-31,The Price of Money: A Largo Winch Adventure,The Price of Money: A Largo Winch Adventure,Largo Winch Collection,70764,nan
9086,1990-08-01,Young Guns II,Young Guns II,Young Guns Collection,9329,nan
11967,1988-02-17,Young Guns,Young Guns,Young Guns Collection,9329,nan
931598,,Guns III - Alias: Billy the Kid,Guns III - Alias: Billy the Kid,Young Guns Collection,9329,nan
9336,1984-03-22,Police Academy,Police Academy,Police Academy Collection,9338,nan
10157,1985-03-28,Police Academy 2: Their First Assignment,Police Academy 2: Their First Assignment,Police Academy Collection,9338,nan
10587,1987-04-02,Police Academy 4: Citizens on Patrol,Police Academy 4: Citizens on Patrol,Police Academy Collection,9338,nan
11546,1994-06-09,Police Academy: Mission to Moscow,Police Academy: Mission to Moscow,Police Academy Collection,9338,nan
11825,1988-03-17,Police Academy 5: Assignment Miami Beach,Police Academy 5: Assignment Miami Beach,Police Academy Collection,9338,nan
11895,1989-03-09,Police Academy 6: City Under Siege,Police Academy 6: City Under Siege,Police Academy Collection,9338,nan
12118,1986-03-20,Police Academy 3: Back in Training,Police Academy 3: Back in Training,Police Academy Collection,9338,nan
1103,1981-05-23,Escape from New York,Escape from New York,Escape From ... Collection,115838,nan
10061,1996-08-09,Escape from L.A.,Escape from L.A.,Escape From ... Collection,115838,nan
9266,2002-08-08,Blue Crush,Blue Crush,Blue Crush Collection,115839,nan
58443,2011-06-07,Blue Crush 2,Blue Crush 2,Blue Crush Collection,115839,nan
34783,1959-08-18,I'm All Right Jack,I'm All Right Jack,Stanley Windrush Collection,1000578,nan
84109,1956-02-17,Private's Progress,Private's Progress,Stanley Windrush Collection,1000578,nan
43640,2007-11-16,Musallat,Musallat,Musallat [Seri],529539,nan
98335,2011-12-02,Musallat 2: Lanet,Musallat 2: Lanet,Musallat [Seri],529539,nan
14306,2008-12-25,Marley & Me,Marley & Me,Marley & Me Collection,230532,nan
72391,2011-06-01,Marley & Me: The Puppy Years,Marley & Me: The Puppy Years,Marley & Me Collection,230532,nan
30497,1974-10-11,The Texas Chain Saw Massacre,The Texas Chain Saw Massacre,Texas Chainsaw Massacre Collection,111751,nan
16337,1986-08-22,The Texas Chainsaw Massacre 2,The Texas Chainsaw Massacre 2,Texas Chainsaw Massacre Collection,111751,nan
25018,1990-01-12,Leatherface: The Texas Chainsaw Massacre III,Leatherface: The Texas Chainsaw Massacre III,Texas Chainsaw Massacre Collection,111751,nan
16780,1995-09-22,The Return of the Texas Chainsaw Massacre,The Return of the Texas Chainsaw Massacre,Texas Chainsaw Massacre Collection,111751,nan
76617,2013-01-03,Texas Chainsaw 3D,Texas Chainsaw 3D,Texas Chainsaw Massacre Collection,111751,nan
300665,2017-09-14,Leatherface,Leatherface,Texas Chainsaw Massacre Collection,111751,nan
632727,2022-02-18,Texas Chainsaw Massacre,Texas Chainsaw Massacre,Texas Chainsaw Massacre Collection,111751,nan
10252,2005-05-01,Animal,Animal,Animal Collection,384142,nan
13202,2007-09-04,Animal 2,Animal 2,Animal Collection,384142,nan
7227,1977-03-11,Airport '77,Airport '77,Airport Collection,33938,nan
10671,1970-03-25,Airport,Airport,Airport Collection,33938,nan
27932,1974-10-18,Airport 1975,Airport 1975,Airport Collection,33938,nan
29723,1979-08-17,The Concorde... Airport '79,The Concorde... Airport '79,Airport Collection,33938,nan
8374,1999-01-22,The Boondock Saints,The Boondock Saints,The Boondock Saints Collection,87186,nan
22821,2009-11-24,The Boondock Saints II: All Saints Day,The Boondock Saints II: All Saints Day,The Boondock Saints Collection,87186,nan
893060,,The Boondock Saints III,The Boondock Saints III,The Boondock Saints Collection,87186,nan
71652,1951-09-13,A.T.M. ¡A toda máquina!,Full Spead Ahead,A.T.M. Colección,1068181,nan
156545,1951-12-20,¿Qué te ha dado esa mujer?,¿Qué te ha dado esa mujer?,A.T.M. Colección,1068181,nan
1696,2005-07-22,The Devil's Rejects,The Devil's Rejects,Firefly Collection,105625,nan
2662,2003-04-11,House of 1000 Corpses,House of 1000 Corpses,Firefly Collection,105625,nan
489064,2019-09-16,3 from Hell,3 from Hell,Firefly Collection,105625,nan
19893,1963-08-14,Flipper,Flipper,Flipper Collection,1205405,nan
79547,1964-06-24,Flipper's New Adventure,Flipper's New Adventure,Flipper Collection,1205405,nan
11229,1996-08-23,Freeway,Freeway,Freeway Collection,355490,nan
39927,2000-05-13,Freeway II: Confessions of a Trickbaby,Freeway II: Confessions of a Trickbaby,Freeway Collection,355490,nan
33057,1973-12-20,Alvin Purple,Alvin Purple,Alvin Purple Collection,418980,nan
35000,1974-12-16,Alvin Rides Again,Alvin Rides Again,Alvin Purple Collection,418980,nan
127244,1984-12-20,"Melvin, Son of Alvin","Melvin, Son of Alvin",Alvin Purple Collection,418980,nan
20737,1997-08-01,Air Bud,Air Bud,Air Bud Collection,97445,nan
21661,1998-08-14,Air Bud: Golden Receiver,Air Bud: Golden Receiver,Air Bud Collection,97445,nan
20755,2001-09-16,Air Bud: World Pup,Air Bud: World Pup,Air Bud Collection,97445,nan
21518,2002-06-18,Air Bud: Seventh Inning Fetch,Air Bud: Seventh Inning Fetch,Air Bud Collection,97445,nan
24794,2003-07-01,Air Bud: Spikes Back,Air Bud: Spikes Back,Air Bud Collection,97445,nan
29293,2006-02-11,House of the Dead 2,House of the Dead 2,House of the Dead Collection,117927,nan
11059,2003-04-11,House of the Dead,House of the Dead,House of the Dead Collection,117927,nan
10545,1996-06-21,The Hunchback of Notre Dame,The Hunchback of Notre Dame,The Hunchback of Notre Dame Collection,97456,nan
12448,2002-02-06,The Hunchback of Notre Dame II,The Hunchback of Notre Dame II,The Hunchback of Notre Dame Collection,97456,nan
9326,1984-03-30,Romancing the Stone,Romancing the Stone,Romancing the Stone Collection,89264,nan
10303,1985-08-01,The Jewel of the Nile,The Jewel of the Nile,Romancing the Stone Collection,89264,nan
9325,1967-10-18,The Jungle Book,The Jungle Book,The Jungle Book Collection,97459,nan
14873,2003-02-07,The Jungle Book 2,The Jungle Book 2,The Jungle Book Collection,97459,nan
24266,1982-03-25,The Man from Snowy River,The Man from Snowy River,The Man From Snowy River Collection,89272,nan
13965,1988-03-24,The Man From Snowy River II,The Man From Snowy River II,The Man From Snowy River Collection,89272,nan
2671,1998-01-31,リング,Ring,Ring Collection,93369,nan
9674,2000-01-22,リング０　バースデイ,Ring 0,Ring Collection,93369,nan
9669,1999-01-23,リング 2,Ring 2,Ring Collection,93369,nan
9706,1998-01-31,らせん,The Spiral,Ring Collection,93369,nan
382602,2016-06-18,貞子vs伽椰子,Sadako vs. Kayako,Ring Collection,93369,nan
583132,2019-05-24,貞子,Sadako,Ring Collection,93369,nan
140441,2012-05-12,貞子3D,Sadako 3D,Ring Collection,93369,nan
257527,2013-08-30,貞子3D2,Sadako 3D 2,Ring Collection,93369,nan
940417,2022-10-28,貞子DX,Sadako DX,Ring Collection,93369,nan
7484,2006-09-27,Open Season,Open Season,Open Season Collection,66761,nan
13690,2008-09-24,Open Season 2,Open Season 2,Open Season Collection,66761,nan
51170,2010-10-21,Open Season 3,Open Season 3,Open Season Collection,66761,nan
382517,2015-12-18,Open Season: Scared Silly,Open Season: Scared Silly,Open Season Collection,66761,nan
30566,1972-08-25,Blacula,Blacula,Blacula Collection,201930,nan
42466,1973-06-27,Scream Blacula Scream,Scream Blacula Scream,Blacula Collection,201930,nan
3170,1942-02-11,Bambi,Bambi,Bambi Collection,87250,nan
13205,2006-01-26,Bambi II,Bambi II,Bambi Collection,87250,nan
27850,1998-11-10,Halloweentown,Halloweentown,Halloweentown Collection,87252,nan
34205,2001-10-12,Halloweentown II: Kalabar's Revenge,Halloweentown II: Kalabar's Revenge,Halloweentown Collection,87252,nan
34560,2004-10-08,Halloweentown High,Halloweentown High,Halloweentown Collection,87252,nan
34204,2006-10-20,Return to Halloweentown,Return to Halloweentown,Halloweentown Collection,87252,nan
10982,2005-12-16,Hoodwinked!,Hoodwinked!,Hoodwinked! Collection,87255,nan
57089,2011-04-29,Hoodwinked Too! Hood VS. Evil,Hoodwinked Too! Hood VS. Evil,Hoodwinked! Collection,87255,nan
671,2001-11-16,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,Harry Potter Collection,1241,nan
672,2002-11-13,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,Harry Potter Collection,1241,nan
674,2005-11-16,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,Harry Potter Collection,1241,nan
767,2009-07-15,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,Harry Potter Collection,1241,nan
673,2004-05-31,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,Harry Potter Collection,1241,nan
675,2007-07-08,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,Harry Potter Collection,1241,nan
12444,2010-11-17,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 1,Harry Potter Collection,1241,nan
12445,2011-07-12,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,Harry Potter Collection,1241,nan
9456,2000-01-23,The Crow: Salvation,The Crow: Salvation,The Crow Collection,9436,nan
9495,1994-05-11,The Crow,The Crow,The Crow Collection,9436,nan
10546,1996-08-29,The Crow: City of Angels,The Crow: City of Angels,The Crow Collection,9436,nan
16456,2005-05-04,The Crow: Wicked Prayer,The Crow: Wicked Prayer,The Crow Collection,9436,nan
10775,2002-12-12,無間道,Infernal Affairs,Infernal Affairs Collection,58588,nan
11647,2003-10-01,無間道II,Infernal Affairs II,Infernal Affairs Collection,58588,nan
14310,2003-12-12,無間道III: 終極無間,Infernal Affairs III,Infernal Affairs Collection,58588,nan
948,1978-10-24,Halloween,Halloween,Halloween Collection,91361,nan
11281,1981-10-30,Halloween II,Halloween II,Halloween Collection,91361,nan
10676,1982-10-22,Halloween III: Season of the Witch,Halloween III: Season of the Witch,Halloween Collection,91361,nan
11357,1988-10-21,Halloween 4: The Return of Michael Myers,Halloween 4: The Return of Michael Myers,Halloween Collection,91361,nan
11361,1989-10-12,Halloween 5: The Revenge of Michael Myers,Halloween 5: The Revenge of Michael Myers,Halloween Collection,91361,nan
10987,1995-09-29,Halloween: The Curse of Michael Myers,Halloween: The Curse of Michael Myers,Halloween Collection,91361,nan
11675,1998-08-05,Halloween H20: 20 Years Later,Halloween H20: 20 Years Later,Halloween Collection,91361,nan
11442,2002-07-01,Halloween: Resurrection,Halloween: Resurrection,Halloween Collection,91361,nan
424139,2018-10-18,Halloween,Halloween,Halloween Collection,91361,nan
610253,2021-10-14,Halloween Kills,Halloween Kills,Halloween Collection,91361,nan
616820,2022-10-12,Halloween Ends,Halloween Ends,Halloween Collection,91361,nan
1948,2006-08-31,Crank,Crank,Crank Collection,64751,nan
15092,2009-04-16,Crank: High Voltage,Crank: High Voltage,Crank Collection,64751,nan
249826,2012-12-19,가문의 귀환,Marrying the Mafia 5: Return of the Family,Marrying the Mafia Collection,281840,nan
85491,2011-09-08,가문의 영광 4: 가문의 수난,Unstoppable Family,Marrying the Mafia Collection,281840,nan
49204,2006-09-21,가문의 영광 3: 가문의 부활,Marrying The Mafia 3: Family Hustle,Marrying the Mafia Collection,281840,nan
49203,2005-09-07,가문의 위기,Marrying the Mafia 2,Marrying the Mafia Collection,281840,nan
49202,2002-09-13,가문의 영광,Marrying the Mafia,Marrying the Mafia Collection,281840,nan
1148321,2023-09-21,가문의 영광: 리턴즈,Glory Again,Marrying the Mafia Collection,281840,nan
28851,1987-12-02,Video Violence,Video Violence,Video Violence Collection,779505,nan
64768,1988-01-01,Video Violence Part 2,Video Violence Part 2,Video Violence Collection,779505,nan
29345,1989-01-20,The Terror Within,The Terror Within,Terror Within Collection,744694,nan
119353,1991-01-18,The Terror Within II,The Terror Within II,Terror Within Collection,744694,nan
25164,1983-04-01,Screwballs,Screwballs,Screwballs Collection,181502,nan
44191,1985-08-01,Loose Screws,Loose Screws,Screwballs Collection,181502,nan
104413,1988-12-01,Screwball Hotel,Screwball Hotel,Screwballs Collection,181502,nan
12599,1999-07-17,劇場版ポケットモンスター 幻のポケモン ルギア爆誕,Pokémon the Movie 2000,Pokémon Collection,34055,nan
12600,2001-07-06,劇場版ポケットモンスター セレビィ 時を超えた遭遇,Pokémon 4Ever,Pokémon Collection,34055,nan
33875,2002-07-13,劇場版ポケットモンスター 水の都の護神 ラティアスとラティオス,Pokémon Heroes,Pokémon Collection,34055,nan
