id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
12098,1984-09-14,Zwei Nasen tanken Super,Zwei Nasen tanken Super,Die Supernasen Filmreihe,430157,19357493.0
11840,1982-01-14,Piratensender Powerplay,Piratensender Powerplay,Die Supernasen Filmreihe,430157,7934211.0
10853,1985-10-03,Die Einsteiger,The Beginner,Die Supernasen Filmreihe,430157,28814788.0
9556,1990-08-24,Darkman,Darkman,Darkman Collection,45154,1839695.0
18998,1995-07-11,Darkman II: The Return of Durant,Darkman II: The Return of Durant,Darkman Collection,45154,12545744.0
19002,1996-04-14,Darkman III: Die Darkman Die,Darkman III: Die Darkman Die,Darkman Collection,45154,1839695.0
33322,1996-06-25,アミテージ・ザ・サード POLY-MATRIX,Armitage III: Poly Matrix,Armitage III Collection,182371,2344137.0
21769,2002-03-22,アミテージ・ザ・サード DUAL-MATRIX,Armitage: Dual Matrix,Armitage III Collection,182371,2344137.0
9486,2003-03-14,Johnny English,Johnny English,Johnny English Collection,86117,255858.0
58233,2011-09-15,Johnny English Reborn,Johnny English Reborn,Johnny English Collection,86117,28190354.0
463272,2018-09-13,Johnny English Strikes Again,Johnny English Strikes Again,Johnny English Collection,86117,54749200.0
1241132,,Johnny English 4,Johnny English 4,Johnny English Collection,86117,255858.0
808,2001-05-18,Shrek,Shrek,Shrek Collection,2150,18717177.0
809,2004-05-19,Shrek 2,Shrek 2,Shrek Collection,2150,525314.0
810,2007-05-17,Shrek the Third,Shrek the Third,Shrek Collection,2150,903383.0
10192,2010-05-16,Shrek Forever After,Shrek Forever After,Shrek Collection,2150,27193568.0
421892,2026-07-01,Shrek 5,Shrek 5,Shrek Collection,2150,60200092.0
4156,1971-03-24,Friends,Friends,Friends Collection,321647,5671546.0
4155,1974-03-15,Paul and Michelle,Paul and Michelle,Friends Collection,321647,23484172.0
17965,1971-05-18,The Abominable Dr. Phibes,The Abominable Dr. Phibes,Dr. Phibes Collection,116847,454818.0
18250,1972-07-01,Dr. Phibes Rises Again,Dr. Phibes Rises Again,Dr. Phibes Collection,116847,488623.0
120,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings Collection,119,173941.0
121,2002-12-18,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,The Lord of the Rings Collection,119,173944.0
122,2003-12-17,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings Collection,119,174251.0
11224,1950-02-22,Cinderella,Cinderella,Cinderella Collection,55419,29116221.0
16119,2007-02-06,Cinderella III: A Twist in Time,Cinderella III: A Twist in Time,Cinderella Collection,55419,5150937.0
14128,2002-02-23,Cinderella II: Dreams Come True,Cinderella II: Dreams Come True,Cinderella Collection,55419,4196336.0
10693,1953-02-05,Peter Pan,Peter Pan,Peter Pan Collection,55422,62622958.0
16690,2002-02-14,Return to Never Land,Return to Never Land,Peter Pan Collection,55422,1595142.0
37726,1998-10-06,富江,Tomie,Tomie Collection,139394,33097113.0
52409,2000-02-11,富江 replay,Tomie: Replay,Tomie Collection,139394,20344625.0
52408,2001-03-24,富江 re-birth,Tomie: Rebirth,Tomie Collection,139394,20344329.0
52405,2005-04-09,富江 BEGINNING,Tomie: Beginning,Tomie Collection,139394,20344428.0
52404,1999-12-26,富江 アナザフェイス,Tomie: Another Face,Tomie Collection,139394,20344446.0
85349,2011-05-14,富江 アンリミテッド,Tomie: Unlimited,Tomie Collection,139394,32665218.0
46313,2005-04-16,富江 REVENGE,Tomie: Revenge,Tomie Collection,139394,20344476.0
52407,2002-06-29,富江 最終章～禁断の果実～,Tomie: Forbidden Fruit,Tomie Collection,139394,33103548.0
139396,2007-11-17,富江VS富江,Tomie vs Tomie,Tomie Collection,139394,2373096.0
