,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
450,171581,2013-03-05,The Marine 3: Homefront,The Marine 3: Homefront,The Marine Collection,166373,38333922
451,329540,2015-04-10,The Marine 4: Moving Target,The Marine 4: Moving Target,The Marine Collection,166373,43408541
452,445993,2017-03-16,The Marine 5: Battleground,The Marine 5: Battleground,The Marine Collection,166373,50656595
453,8975,2006-10-13,The Marine,The Marine,The Marine Collection,166373,43446261
454,548928,2018-11-02,The Marine 6: Close Quarters,The Marine 6: Close Quarters,The Marine Collection,166373,59795865
455,104638,1996-06-27,"Aquí llega Condemor, el pecador de la pradera","Aquí llega Condemor, el pecador de la pradera",Condemor,778725,2688384
456,166206,1997-08-13,Brácula: Condemor II,Brácula: Condemor II,Condemor,778725,2688384
457,26326,1979-04-20,Rock 'n' Roll High School,Rock 'n' Roll High School,Rock 'n' Roll High School Collection,1018344,992419
458,34742,1991-05-23,Rock 'n' Roll High School Forever,Rock 'n' Roll High School Forever,Rock 'n' Roll High School Collection,1018344,2565848
459,10866,2001-10-05,Joy Ride,Joy Ride,Joy Ride Collection,166378,3069564
460,16763,2009-01-23,Joy Ride 2: Dead Ahead,Joy Ride 2: Dead Ahead,Joy Ride Collection,166378,18062757
461,259074,2014-06-03,Joy Ride 3,Joy Ride 3,Joy Ride Collection,166378,3069564
462,34314,1997-01-09,Turbulence,Turbulence,Turbulence Collection,166379,2472440
463,110670,2001-05-13,Turbulence 3: Heavy Metal,Turbulence 3: Heavy Metal,Turbulence Collection,166379,33179804
464,76171,1999-12-27,Turbulence 2: Fear of Flying,Turbulence 2: Fear of Flying,Turbulence Collection,166379,42075132
465,18406,1983-05-27,Chained Heat,Chained Heat,Chained Heat Collection,643572,16072264
466,52315,1993-08-25,Chained Heat 2,Chained Heat 2,Chained Heat Collection,643572,16072264
467,125149,1998-01-01,Hell Mountain,Hell Mountain,Chained Heat Collection,643572,46533222
468,201178,1998-10-07,Dark Confessions,Dark Confessions,Chained Heat Collection,643572,7092652
469,11872,1962-10-19,Er kanns nicht lassen,Er kanns nicht lassen,Pater Brown Collection,221691,28856059
470,67354,1960-12-19,Das schwarze Schaf,The Black Sheep,Pater Brown Collection,221691,1039322
471,90644,1967-12-29,Operazione San Pietro,Operation San Pietro,Pater Brown Collection,221691,8594177
472,96581,1992-05-08,"Makinavaja, el último choriso","Makinavaja, el último choriso",Makinavaja - Colección,135680,73504916
473,134629,1993-05-14,¡Semos peligrosos! (Uséase Makinavaja 2),¡Semos peligrosos! (Uséase Makinavaja 2),Makinavaja - Colección,135680,63014887
474,19307,1969-05-29,Carry On Camping,Carry On Camping,Carry On Collection,918027,1790524
475,19252,1972-12-01,Carry On Abroad,Carry On Abroad,Carry On Collection,918027,2077098
476,5060,1966-05-20,Carry On Screaming!,Carry On Screaming!,Carry On Collection,918027,3737258
477,26327,1974-02-01,Carry On Dick,Carry On Dick,Carry On Collection,918027,6536909
478,5066,1964-11-08,Carry On Cleo,Carry On Cleo,Carry On Collection,918027,733657
479,5065,1965-11-26,Carry On Cowboy,Carry On Cowboy,Carry On Collection,918027,3737168
480,32113,1959-08-20,Carry On Teacher,Carry On Teacher,Carry On Collection,918027,3694061
481,19254,1963-06-01,Carry On Cabby,Carry On Cabby,Carry On Collection,918027,3695000
482,32110,1958-08-31,Carry On Sergeant,Carry On Sergeant,Carry On Collection,918027,2384316
483,32109,1964-06-01,Carry On Spying,Carry On Spying,Carry On Collection,918027,3736986
484,26329,1973-11-09,Carry On Girls,Carry On Girls,Carry On Collection,918027,3078987
485,24570,1970-09-20,Carry On Loving,Carry On Loving,Carry On Collection,918027,6555707
486,24571,1972-05-05,Carry On Matron,Carry On Matron,Carry On Collection,918027,6555711
487,32107,1959-01-30,Carry On Nurse,Carry On Nurse,Carry On Collection,918027,36999
488,21251,1976-10-01,Carry On England,Carry On England,Carry On Collection,918027,584256
489,5064,1967-12-02,Carry On Doctor,Carry On Doctor,Carry On Collection,918027,36999
490,21240,1960-02-22,Carry On Constable,Carry On Constable,Carry On Collection,918027,3694303
491,34743,1978-10-12,Carry On Emmannuelle,Carry On Emmannuelle,Carry On Collection,918027,6555693
492,22937,1968-02-12,Carry On Up the Khyber,Carry On Up the Khyber,Carry On Collection,918027,1430128
493,36481,1977-01-01,That's Carry On!,That's Carry On!,Carry On Collection,918027,36999
494,19725,1992-10-02,Carry On Columbus,Carry On Columbus,Carry On Collection,918027,4840033
495,32115,1961-04-04,Carry On Regardless,Carry On Regardless,Carry On Collection,918027,3694594
496,26190,1962-03-12,Carry On Cruising,Carry On Cruising,Carry On Collection,918027,3694699
497,32105,1964-02-23,Carry On Jack,Carry On Jack,Carry On Collection,918027,3736782
498,5061,1966-12-10,Carry On Don't Lose Your Head,Carry On Don't Lose Your Head,Carry On Collection,918027,3737477
499,24568,1967-08-10,Carry on Follow That Camel,Carry on Follow That Camel,Carry On Collection,918027,4747767
