,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
100,96195,1963-11-02,眠狂四郎殺法帖,Sleepy Eyes of Death 1: The Chinese Jade,Sleepy Eyes of Death Collection,460969,8633991
101,96250,1964-01-09,眠狂四郎勝負,Sleepy Eyes of Death 2: Sword of Adventure,Sleepy Eyes of Death Collection,460969,9979
102,96257,1964-05-23,眠狂四郎円月斬り,Sleepy Eyes of Death 3: Full Circle Killing,Sleepy Eyes of Death Collection,460969,8633991
103,131435,1964-10-17,眠狂四郎女妖剣,Sleepy Eyes of Death 4: Sword of Seduction,Sleepy Eyes of Death Collection,460969,8633991
104,131443,1965-01-12,眠狂四郎炎情剣,Sleepy Eyes of Death 5: Sword of Fire,Sleepy Eyes of Death Collection,460969,8633991
105,131444,1965-04-30,眠狂四郎魔性劍,Sleepy Eyes of Death 6: Sword of Satan,Sleepy Eyes of Death Collection,460969,2483209
106,128715,1966-03-12,眠狂四郎多情剣,Sleepy Eyes of Death 7: The Mask of the Princess,Sleepy Eyes of Death Collection,460969,55601
107,128708,1966-11-09,眠狂四郎無頼剣,Sleepy Eyes of Death 8: Sword of Villainy,Sleepy Eyes of Death Collection,460969,8633991
108,139555,1967-07-15,眠狂四郎無頼控 魔性の肌,Sleepy Eyes of Death 9: Trail of Traps,Sleepy Eyes of Death Collection,460969,8633991
109,96269,1968-01-13,眠狂四郎女地獄,Sleepy Eyes of Death 10: Hell Is a Woman,Sleepy Eyes of Death Collection,460969,8633991
110,151408,1968-05-01,眠狂四郎人肌蜘蛛,Sleepy Eyes of Death 11: In the Spider's Lair,Sleepy Eyes of Death Collection,460969,8633991
111,241186,1969-01-11,眠狂四郎悪女狩り,Sleepy Eyes of Death 12: Castle Menagerie,Sleepy Eyes of Death Collection,460969,8633991
112,299836,1969-10-04,眠狂四郎円月殺法,Sleepy Eyes of Death 13: The Full Moon Swordsman,Sleepy Eyes of Death Collection,460969,8633991
113,284820,1969-12-20,眠狂四郎 卍斬り,Sleepy Eyes Of Death 14: Fylfot Swordplay,Sleepy Eyes of Death Collection,460969,8633991
114,395434,1917-06-30,The Lone Wolf,The Lone Wolf,Lone Wolf Collection,395433,4655071
115,388321,1924-04-27,The Lone Wolf,The Lone Wolf,Lone Wolf Collection,395433,4655071
116,395436,1926-08-15,The Lone Wolf Returns,The Lone Wolf Returns,Lone Wolf Collection,395433,55383222
117,395440,1927-08-22,Alias the Lone Wolf,Alias the Lone Wolf,Lone Wolf Collection,395433,65972961
118,174942,1919-02-15,The False Faces,The False Faces,Lone Wolf Collection,395433,18161370
119,395443,1930-08-26,The Last of the Lone Wolf,The Last of the Lone Wolf,Lone Wolf Collection,395433,4655071
120,167075,1935-12-31,The Lone Wolf Returns,The Lone Wolf Returns,Lone Wolf Collection,395433,55383222
121,152823,1938-05-25,The Lone Wolf in Paris,The Lone Wolf in Paris,Lone Wolf Collection,395433,34084931
122,149793,1939-01-27,The Lone Wolf Spy Hunt,The Lone Wolf Spy Hunt,Lone Wolf Collection,395433,17607501
123,85232,1940-01-26,The Lone Wolf Strikes,The Lone Wolf Strikes,Lone Wolf Collection,395433,55051681
124,85231,1940-05-30,The Lone Wolf Meets a Lady,The Lone Wolf Meets a Lady,Lone Wolf Collection,395433,33872851
125,119313,1941-11-13,Secrets of the Lone Wolf,Secrets of the Lone Wolf,Lone Wolf Collection,395433,31657410
126,144470,1940-11-02,The Lone Wolf Keeps a Date,The Lone Wolf Keeps a Date,Lone Wolf Collection,395433,40436651
127,85229,1941-03-06,The Lone Wolf Takes a Chance,The Lone Wolf Takes a Chance,Lone Wolf Collection,395433,55221221
128,100113,1942-09-03,Counter-Espionage,Counter-Espionage,Lone Wolf Collection,395433,31667998
129,148080,1943-01-22,One Dangerous Night,One Dangerous Night,Lone Wolf Collection,395433,40360400
130,109212,1943-08-19,Passport to Suez,Passport to Suez,Lone Wolf Collection,395433,34632016
131,100866,1946-02-14,The Notorious Lone Wolf,The Notorious Lone Wolf,Lone Wolf Collection,395433,40370167
132,395445,1947-01-16,The Lone Wolf in Mexico,The Lone Wolf in Mexico,Lone Wolf Collection,395433,40311375
133,85899,1947-11-13,The Lone Wolf in London,The Lone Wolf in London,Lone Wolf Collection,395433,34258056
134,170546,1949-08-11,The Lone Wolf and His Lady,The Lone Wolf and His Lady,Lone Wolf Collection,395433,40379744
135,82871,1997-01-01,Auton,Auton,Auton Trilogy collection,702650,4504237
136,82411,1998-01-01,Auton 2: Sentinel,Auton 2: Sentinel,Auton Trilogy collection,702650,4504237
137,82873,1999-07-01,Auton 3: Awakening,Auton 3: Awakening,Auton Trilogy collection,702650,4504237
138,204959,1998-01-02,Mindgame,Mindgame,Mindgame Saga collection,702652,7211734
139,336249,1999-03-05,Mindgame Trilogy,Mindgame Trilogy,Mindgame Saga collection,702652,49998329
140,28733,1970-06-10,"Count Yorga, Vampire","Count Yorga, Vampire",Count Yorga Collection,327871,3374673
141,28855,1971-08-18,The Return of Count Yorga,The Return of Count Yorga,Count Yorga Collection,327871,12677727
142,106534,1983-11-12,Perkawinan Nyi Blorong,The Snake Queen's Wedding,Nyi Blorong - Collection,1106111,33641119
143,106516,1986-12-30,Petualangan Cinta Nyi Blorong,The Hungry Snake Woman,Nyi Blorong - Collection,1106111,4655264
144,106511,1982-10-21,Nyi Blorong,The Snake Queen,Nyi Blorong - Collection,1106111,8440216
145,84710,1944-06-01,Jungle Woman,Jungle Woman,The Ape Woman Collection,809152,13604898
146,84708,1943-06-04,Captive Wild Woman,Captive Wild Woman,The Ape Woman Collection,809152,9618920
147,84711,1945-06-25,The Jungle Captive,The Jungle Captive,The Ape Woman Collection,809152,20097181
148,106296,1941-02-28,The Monster and the Girl,The Monster and the Girl,The Ape Woman Collection,809152,9430272
149,64073,1996-01-01,Ein fast perfekter Seitensprung,Ein fast perfekter Seitensprung,Eine fast perfekte... Trilogie,751810,11450092
