,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
150,64231,1998-02-06,Eine fast perfekte Scheidung,Eine fast perfekte Scheidung,Eine fast perfekte... Trilogie,751810,8284708
151,64233,1999-02-19,Eine fast perfekte Hochzeit,Eine fast perfekte Hochzeit,Eine fast perfekte... Trilogie,751810,56797113
152,318619,1988-06-25,Santet,Santet,Santet - Collection,1106116,3397147
153,318621,1989-01-01,Wanita Harimau: Santet 2,Santet 2,Santet - Collection,1106116,384028
154,9070,1995-06-30,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,Power Rangers Collection,708816,703807
155,6499,1997-03-27,Turbo: A Power Rangers Movie,Turbo: A Power Rangers Movie,Power Rangers Collection,708816,1594408
156,609,1982-06-04,Poltergeist,Poltergeist,Poltergeist Collection,10453,7051491
157,10306,1988-06-10,Poltergeist III,Poltergeist III,Poltergeist Collection,10453,3316533
158,11133,1986-05-23,Poltergeist II: The Other Side,Poltergeist II: The Other Side,Poltergeist Collection,10453,7051746
159,984,1971-12-23,Dirty Harry,Dirty Harry,Dirty Harry Collection,10456,301798
160,10648,1973-12-13,Magnum Force,Magnum Force,Dirty Harry Collection,10456,705984
161,10649,1976-12-16,The Enforcer,The Enforcer,Dirty Harry Collection,10456,72222801
162,10650,1983-12-08,Sudden Impact,Sudden Impact,Dirty Harry Collection,10456,1179229
163,10651,1988-07-13,The Dead Pool,The Dead Pool,Dirty Harry Collection,10456,1179278
164,10320,2005-03-10,The Ring Two,The Ring Two,The Ring Collection,14563,173944
165,565,2002-10-18,The Ring,The Ring,The Ring Collection,14563,414113
166,14564,2017-02-01,Rings,Rings,The Ring Collection,14563,414113
167,63105,1995-08-18,Nemesis 2: Nebula,Nemesis 2: Nebula,Nemesis Collection,286948,24936868
168,24230,1992-12-26,Nemesis,Nemesis,Nemesis Collection,286948,3066864
169,107096,1996-06-18,Nemesis 3: Time Lapse,Nemesis 3: Time Lapse,Nemesis Collection,286948,24937369
170,60173,1996-12-23,Nemesis 4: Death Angel,Nemesis 4: Death Angel,Nemesis Collection,286948,24937614
171,540727,2017-12-01,Nemesis 5: The New Model,Nemesis 5: The New Model,Nemesis Collection,286948,3066864
172,25834,1982-12-06,Xtro,Xtro,Xtro Collection,114915,2831557
173,55952,1990-05-04,Xtro 2: The Second Encounter,Xtro 2: The Second Encounter,Xtro Collection,114915,8012754
174,57597,1995-11-14,Xtro 3: Watch the Skies,Xtro 3: Watch the Skies,Xtro Collection,114915,12566479
175,54050,1969-07-06,The Over the Hill Gang,The Over the Hill Gang,The Over-the-Hill Gang Collection,930019,14097370
176,59984,1970-11-16,The Over-the-Hill Gang Rides Again,The Over-the-Hill Gang Rides Again,The Over-the-Hill Gang Collection,930019,14187517
177,284249,1969-03-03,Fear No Evil,Fear No Evil,Dr. David Sorell Collection,930024,53752583
178,335034,1970-02-23,Ritual of Evil,Ritual of Evil,Dr. David Sorell Collection,930024,41730793
179,10911,1961-04-27,The Guns of Navarone,The Guns of Navarone,Navarone Collection,366826,6984559
180,17339,1978-08-16,Force 10 from Navarone,Force 10 from Navarone,Navarone Collection,366826,1172977
181,324039,1973-03-03,The Letters,The Letters,The Letters Collection,930026,48127511
182,252903,1973-10-03,Letters from Three Lovers,Letters from Three Lovers,The Letters Collection,930026,33537258
183,40649,1992-03-12,Demonic Toys,Demonic Toys,Demonic Toys Collection,264434,11450530
184,84152,1993-08-13,Dollman vs. Demonic Toys,Dollman vs. Demonic Toys,Demonic Toys Collection,264434,13048288
185,56242,2010-01-26,Demonic Toys: Personal Demons,Demonic Toys: Personal Demons,Demonic Toys Collection,264434,11450530
186,26962,2004-12-18,Puppet Master vs Demonic Toys,Puppet Master vs Demonic Toys,Demonic Toys Collection,264434,38885803
187,1084176,2023-08-25,Demonic Toys: Jack-Attack,Demonic Toys: Jack-Attack,Demonic Toys Collection,264434,11450530
188,3160,1965-08-08,フランケンシュタイン対地底怪獣,Frankenstein Conquers the World,Frankenstein (Toho) Collection,491768,1853749
189,3146,1966-07-31,フランケンシュタインの怪獣 サンダ対ガイラ,The War of the Gargantuas,Frankenstein (Toho) Collection,491768,2073543
190,62472,1959-12-26,宇宙大戦争,Battle in Outer Space,The Mysterians Collection,491769,5083422
191,43226,1957-12-28,地球防衛軍,The Mysterians,The Mysterians Collection,491769,3566967
192,38268,1977-12-17,惑星大戦争,The War in Space,The Mysterians Collection,491769,6255163
193,28912,1966-07-15,I criminali della galassia,"The Wild, Wild Planet",Gamma One Collection,413946,618118
194,79364,1966-07-21,I diafanoidi vengono da Marte,War of the Planets,Gamma One Collection,413946,43718681
195,28539,1966-07-29,Il pianeta errante,War Between the Planets,Gamma One Collection,413946,43718681
196,28538,1967-01-18,La morte viene dal pianeta Aytin,Snow Devils,Gamma One Collection,413946,54475333
197,17994,1986-12-31,Witchboard,Witchboard,Witchboard Collection,168186,73430842
198,40251,1993-07-28,Witchboard 2: The Devil's Doorway,Witchboard 2: The Devil's Doorway,Witchboard Collection,168186,4712667
199,40252,1997-05-20,Witchboard III: The Possession,Witchboard III: The Possession,Witchboard Collection,168186,43276220
