,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
300,214395,1949-04-19,The Lost Tribe,The Lost Tribe,Jungle Jim Collection,661850,12890638
301,98180,1948-12-15,Jungle Jim,Jungle Jim,Jungle Jim Collection,661850,20192250
302,214406,1950-01-12,Mark of the Gorilla,Mark of the Gorilla,Jungle Jim Collection,661850,49668964
303,132612,1950-07-01,Captive Girl,Captive Girl,Jungle Jim Collection,661850,49669037
304,184965,1950-11-22,Pygmy Island,Pygmy Island,Jungle Jim Collection,661850,49669065
305,115702,1951-02-26,Fury of the Congo,Fury of the Congo,Jungle Jim Collection,661850,40501352
306,115454,1951-10-04,Jungle Manhunt,Jungle Manhunt,Jungle Jim Collection,661850,12419901
307,115824,1952-03-17,Jungle Jim in the Forbidden Land,Jungle Jim in the Forbidden Land,Jungle Jim Collection,661850,9743496
308,220504,1952-11-15,Voodoo Tiger,Voodoo Tiger,Jungle Jim Collection,661850,40501707
309,242073,1953-02-03,Savage Mutiny,Savage Mutiny,Jungle Jim Collection,661850,49668838
310,133716,1953-07-29,Valley of Head Hunters,Valley of Head Hunters,Jungle Jim Collection,661850,49669269
311,149957,1954-06-01,Jungle Man-Eaters,Jungle Man-Eaters,Jungle Jim Collection,661850,49668799
312,220511,1955-04-08,Jungle Moon Men,Jungle Moon Men,Jungle Jim Collection,661850,40400057
313,116162,1953-12-15,Killer Ape,Killer Ape,Jungle Jim Collection,661850,40512719
314,220510,1954-11-01,Cannibal Attack,Cannibal Attack,Jungle Jim Collection,661850,35985320
315,337801,1955-10-01,Devil Goddess,Devil Goddess,Jungle Jim Collection,661850,40389243
316,10973,1954-03-05,Creature from the Black Lagoon,Creature from the Black Lagoon,Creature From The Black Lagoon Collection,221537,72317
317,40761,1955-05-13,Revenge of the Creature,Revenge of the Creature,Creature From The Black Lagoon Collection,221537,3771410
318,39408,1956-04-26,The Creature Walks Among Us,The Creature Walks Among Us,Creature From The Black Lagoon Collection,221537,3815462
319,40220,1980-11-07,The Boogey Man,The Boogey Man,The Boogey Man Collection,715105,11558238
320,54127,1983-08-24,Boogeyman II,Boogeyman II,The Boogey Man Collection,715105,28645660
321,201252,1994-05-05,Return of the Boogeyman,Return of the Boogeyman,The Boogey Man Collection,715105,32501058
322,138,1931-02-12,Dracula,Dracula,Dracula (Universal) Collection,221539,651538
323,22440,1936-05-11,Dracula's Daughter,Dracula's Daughter,Dracula (Universal) Collection,221539,2055366
324,32023,1943-11-05,Son of Dracula,Son of Dracula,Dracula (Universal) Collection,221539,3303044
325,30793,1945-12-07,House of Dracula,House of Dracula,Dracula (Universal) Collection,221539,3303351
326,45964,1979-09-28,When a Stranger Calls,When a Stranger Calls,When a Stranger Calls Collection,276838,2010489
327,30554,1993-04-04,When a Stranger Calls Back,When a Stranger Calls Back,When a Stranger Calls Collection,276838,4133698
328,15849,1932-12-22,The Mummy,The Mummy,The Mummy (Universal) Collection,221544,253828
329,31498,1940-09-20,The Mummy's Hand,The Mummy's Hand,The Mummy (Universal) Collection,221544,3489518
330,29239,1942-10-23,The Mummy's Tomb,The Mummy's Tomb,The Mummy (Universal) Collection,221544,3494241
331,29243,1944-07-07,The Mummy's Ghost,The Mummy's Ghost,The Mummy (Universal) Collection,221544,3504034
332,29242,1944-12-22,The Mummy's Curse,The Mummy's Curse,The Mummy (Universal) Collection,221544,3523874
333,10068,1986-02-09,Nine 1/2 Weeks,Nine 1/2 Weeks,9½ Weeks Collection,121195,1896864
334,18167,1997-06-12,Another 9 1/2 Weeks,Another 9 1/2 Weeks,9½ Weeks Collection,121195,1896864
335,74023,1998-11-03,The First 9½ Weeks,The First 9½ Weeks,9½ Weeks Collection,121195,1896864
336,38273,1943-12-17,Calling Dr. Death,Calling Dr. Death,Inner Sanctum Mysteries Collection,1005941,9803131
337,64078,1945-06-01,The Frozen Ghost,The Frozen Ghost,Inner Sanctum Mysteries Collection,1005941,9618696
338,64075,1944-11-10,Dead Man's Eyes,Dead Man's Eyes,Inner Sanctum Mysteries Collection,1005941,9811946
339,64076,1944-03-01,Weird Woman,Weird Woman,Inner Sanctum Mysteries Collection,1005941,9811711
340,64077,1945-12-14,Pillow of Death,Pillow of Death,Inner Sanctum Mysteries Collection,1005941,9802830
341,29241,1945-10-05,Strange Confession,Strange Confession,Inner Sanctum Mysteries Collection,1005941,9803242
342,10606,1984-10-05,The Philadelphia Experiment,The Philadelphia Experiment,The Philadelphia Experiment Collection,145784,666026
343,35610,1993-11-12,Philadelphia Experiment II,Philadelphia Experiment II,The Philadelphia Experiment Collection,145784,21432813
344,26515,1988-06-09,Pumpkinhead,Pumpkinhead,Pumpkinhead Collection,123256,596701
345,35979,2007-02-05,Pumpkinhead: Blood Feud,Pumpkinhead: Blood Feud,Pumpkinhead Collection,123256,5113430
346,35977,1995-10-20,Pumpkinhead II: Blood Wings,Pumpkinhead II: Blood Wings,Pumpkinhead Collection,123256,3945952
347,35978,2006-10-28,Pumpkinhead: Ashes to Ashes,Pumpkinhead: Ashes to Ashes,Pumpkinhead Collection,123256,5113356
348,161791,1962-12-20,La Gran Familia,La Gran Familia,The Big Family Collection,792952,13542692
349,201003,1965-09-10,La Familia Y Uno Más,The Family and One More,The Big Family Collection,792952,46343898
