,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
400,208916,1996-06-17,Licántropo: El asesino de la luna llena,Lycantropus: The Moonlight Murders,Daninsky Werewolf Collection,844181,1813799
401,27483,2004-06-08,Tomb of the Werewolf,Tomb of the Werewolf,Daninsky Werewolf Collection,844181,7278140
402,36808,1984-09-07,Hollywood Hot Tubs,Hollywood Hot Tubs,Hollywood Hot Tubs Collection,1161620,34289848
403,149107,1990-03-01,Hollywood Hot Tubs 2: Educating Crystal,Hollywood Hot Tubs 2: Educating Crystal,Hollywood Hot Tubs Collection,1161620,61900948
404,86343,1966-04-06,The Ghost in the Invisible Bikini,The Ghost in the Invisible Bikini,Beach Party Collection,338327,4391376
405,26879,1965-07-14,How to Stuff a Wild Bikini,How to Stuff a Wild Bikini,Beach Party Collection,338327,3020167
406,26483,1965-04-14,Beach Blanket Bingo,Beach Blanket Bingo,Beach Party Collection,338327,4007440
407,53617,1964-11-11,Pajama Party,Pajama Party,Beach Party Collection,338327,4588632
408,39113,1964-07-22,Bikini Beach,Bikini Beach,Beach Party Collection,338327,38271543
409,27376,1964-03-25,Muscle Beach Party,Muscle Beach Party,Beach Party Collection,338327,4389723
410,26484,1963-08-07,Beach Party,Beach Party,Beach Party Collection,338327,2462592
411,217497,1968-12-17,Kampf um Rom – 1. Teil,The Fight for Rome,Kampf um Rom Collection,217499,243204
412,471103,1969-02-21,Kampf um Rom II - Der Verrat,The Fight for Rome II - The Betrayal,Kampf um Rom Collection,217499,2012056
413,25998,1988-12-01,黑太陽731,Men Behind the Sun,Unit 731,633245,794371
414,36238,1992-07-10,黑太陽731續集之殺人工廠,Men Behind the Sun 2: Laboratory of the Devil,Unit 731,633245,794371
415,51007,1995-07-07,黑太陽：南京大屠殺,Black Sun: The Nanking Massacre,Unit 731,633245,11488471
416,117498,1994-10-23,黑太陽731完結篇之死亡列車,Men Behind the Sun 3: A Narrow Escape,Unit 731,633245,794371
417,37169,2009-10-31,The Human Centipede (First Sequence),The Human Centipede (First Sequence),The Human Centipede Collection,96671,24642031
418,74997,2011-10-06,The Human Centipede 2 (Full Sequence),The Human Centipede 2 (Full Sequence),The Human Centipede Collection,96671,27429073
419,94365,2015-05-22,The Human Centipede 3 (Final Sequence),The Human Centipede 3 (Final Sequence),The Human Centipede Collection,96671,34222772
420,12289,2008-07-10,赤壁,Red Cliff,Red Cliff Collection,96677,5414895
421,15384,2009-01-07,赤壁：決戰天下,Red Cliff II,Red Cliff Collection,96677,5414895
422,27318,1997-11-18,Jack Frost,Jack Frost,Jack Frost Collection,203178,277665
423,27320,2000-11-21,Jack Frost 2: The Revenge of the Mutant Killer Snowman,Jack Frost 2: The Revenge of the Mutant Killer Snowman,Jack Frost Collection,203178,4272659
424,43109,1959-06-25,The Killer Shrews,The Killer Shrews,Killer Shrews Collection,762287,6551671
425,129524,2012-11-15,Return of the Killer Shrews,Return of the Killer Shrews,Killer Shrews Collection,762287,6551671
426,59573,1987-09-03,Il ragazzo dal kimono d'oro,Karate Warrior,Karate Warrior Collection,192962,51273911
427,28603,1988-09-22,Il ragazzo dal kimono d'oro 2,Karate Warrior 2,Karate Warrior Collection,192962,51273911
428,175050,1991-06-01,Il ragazzo dal kimono d'oro 3,Karate Warrior 3,Karate Warrior Collection,192962,51273911
429,192963,1992-02-06,Karate Warrior 4,Karate Warrior 4,Karate Warrior Collection,192962,51273911
430,192965,1992-02-08,Karate Warrior 5,Karate Warrior 5,Karate Warrior Collection,192962,51273911
431,78168,1993-12-01,Il ragazzo dal kimono d'oro 6,Karate Warrior 6,Karate Warrior Collection,192962,51273911
432,8460,2002-04-09,The Skulls II,The Skulls II,The Skulls Collection,8647,1066956
433,10594,2004-03-23,The Skulls III,The Skulls III,The Skulls Collection,8647,25538040
434,11478,2000-03-31,The Skulls,The Skulls,The Skulls Collection,8647,1066956
435,23827,2007-09-14,Paranormal Activity,Paranormal Activity,Paranormal Activity Collection,41437,24366494
436,41436,2010-10-20,Paranormal Activity 2,Paranormal Activity 2,Paranormal Activity Collection,41437,27923824
437,72571,2011-10-19,Paranormal Activity 3,Paranormal Activity 3,Paranormal Activity Collection,41437,30695973
438,82990,2012-10-17,Paranormal Activity 4,Paranormal Activity 4,Paranormal Activity Collection,41437,34312285
439,146301,2015-10-21,Paranormal Activity: The Ghost Dimension,Paranormal Activity: The Ghost Dimension,Paranormal Activity Collection,41437,43862205
440,227348,2014-01-01,Paranormal Activity: The Marked Ones,Paranormal Activity: The Marked Ones,Paranormal Activity Collection,41437,40191899
441,609972,2021-10-29,Paranormal Activity: Next of Kin,Paranormal Activity: Next of Kin,Paranormal Activity Collection,41437,62702563
442,21394,1986-12-06,Alla vi barn i Bullerbyn,The Children of Noisy Village,Children of Bullerby Collection,610785,13729100
443,26111,1987-09-05,Mer om oss barn i Bullerbyn,More About the Children of Noisy Village,Children of Bullerby Collection,610785,25011659
444,39283,1993-05-21,Carnosaur,Carnosaur,Carnosaur Collection,256484,4894893
445,65460,1995-02-23,Carnosaur 2,Carnosaur 2,Carnosaur Collection,256484,6980481
446,55667,1996-11-21,Carnosaur 3: Primal Species,Carnosaur 3: Primal Species,Carnosaur Collection,256484,10093456
447,9938,2001-11-06,Raptor,Raptor,Carnosaur Collection,256484,17366863
448,107114,2006-09-01,The Eden Formula,The Eden Formula,Carnosaur Collection,256484,32415578
449,27310,2009-12-29,The Marine 2,The Marine 2,The Marine Collection,166373,20546140
