,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
250,298,2007-06-05,Ocean's Thirteen,Ocean's Thirteen,Ocean's Collection,304,3723947
251,40983,1972-06-21,Beware! The Blob,Beware! The Blob,The Blob Collection,422193,5260111
252,8851,1958-09-10,The Blob,The Blob,The Blob Collection,422193,761788
253,10144,1989-11-17,The Little Mermaid,The Little Mermaid,The Little Mermaid Collection,33085,61454132
254,13676,2008-08-25,The Little Mermaid: Ariel's Beginning,The Little Mermaid: Ariel's Beginning,The Little Mermaid Collection,33085,15348996
255,10898,2000-01-23,The Little Mermaid II: Return to the Sea,The Little Mermaid II: Return to the Sea,The Little Mermaid Collection,33085,448814
256,11137,2004-03-28,The Prince & Me,The Prince & Me,The Prince & Me Collection,86334,1096949
257,15590,2006-02-21,The Prince & Me 2: The Royal Wedding,The Prince & Me 2: The Royal Wedding,The Prince & Me Collection,86334,8808797
258,20036,2008-10-28,The Prince & Me: A Royal Honeymoon,The Prince & Me: A Royal Honeymoon,The Prince & Me Collection,86334,22188807
259,36515,2010-03-23,The Prince & Me 4: The Elephant Adventure,The Prince & Me 4: The Elephant Adventure,The Prince & Me Collection,86334,26762105
260,578,1975-06-20,Jaws,Jaws,Jaws Collection,2366,74830
261,579,1978-06-16,Jaws 2,Jaws 2,Jaws Collection,2366,352795
262,580,1987-07-17,Jaws: The Revenge,Jaws: The Revenge,Jaws Collection,2366,529276
263,17692,1983-07-22,Jaws 3-D,Jaws 3-D,Jaws Collection,2366,1173339
264,10351,1997-09-19,Wishmaster,Wishmaster,Wishmaster Collection,135489,456959
265,38157,2002-06-10,Wishmaster 4: The Prophecy Fulfilled,Wishmaster 4: The Prophecy Fulfilled,Wishmaster Collection,135489,12256912
266,28635,2001-10-23,Wishmaster 3: Beyond the Gates of Hell,Wishmaster 3: Beyond the Gates of Hell,Wishmaster Collection,135489,12256764
267,12594,1999-03-12,Wishmaster 2: Evil Never Dies,Wishmaster 2: Evil Never Dies,Wishmaster Collection,135489,12256535
268,16774,2006-10-28,Hellboy Animated: Sword of Storms,Hellboy Animated: Sword of Storms,Hellboy (Animated) Collection,123203,5837972
269,13204,2007-03-10,Hellboy Animated: Blood and Iron,Hellboy Animated: Blood and Iron,Hellboy (Animated) Collection,123203,5838045
270,154207,2007-06-12,Hellboy Animated: Iron Shoes,Hellboy Animated: Iron Shoes,Hellboy (Animated) Collection,123203,5838045
271,789978,2010-09-08,Hellboy Animated: The Dark Below,Hellboy Animated: The Dark Below,Hellboy (Animated) Collection,123203,6125565
272,244,1933-03-15,King Kong,King Kong,King Kong (1933) Collection,135495,1245556
273,43149,1933-12-22,The Son of Kong,The Son of Kong,King Kong (1933) Collection,135495,1713779
274,11691,1991-01-17,Go Trabi Go,Go Trabi Go,Go Trabi Go Collection,237897,24970545
275,11168,1992-08-20,Go Trabi Go 2 - Das war der wilde Osten,Go Trabi Go 2: Those Were the Days of the Wild East,Go Trabi Go Collection,237897,1764276
276,10730,1976-09-08,King Kong,King Kong,King Kong (1976) Collection,135498,1245556
277,31947,1986-12-16,King Kong Lives,King Kong Lives,King Kong (1976) Collection,135498,3033155
278,2605,1986-05-09,Short Circuit,Short Circuit,Short Circuit Collection,86347,736266
279,11966,1988-07-06,Short Circuit 2,Short Circuit 2,Short Circuit Collection,86347,1311098
280,28751,1992-01-29,976-EVIL II,976-EVIL II,976-EVIL Collection,135501,21286292
281,24038,1988-12-09,976-EVIL,976-EVIL,976-EVIL Collection,135501,7677968
282,9838,1985-11-22,King Solomon's Mines,King Solomon's Mines,Allan Quatermain Collection,135502,9467480
283,9710,1986-12-17,Allan Quatermain and the Lost City of Gold,Allan Quatermain and the Lost City of Gold,Allan Quatermain Collection,135502,985537
284,11815,1958-07-16,The Fly,The Fly,The Fly Collection,123213,553101
285,38126,1959-07-01,Return of the Fly,Return of the Fly,The Fly Collection,123213,3653578
286,38125,1965-05-01,Curse of the Fly,Curse of the Fly,The Fly Collection,123213,3509709
287,61979,2010-12-03,Tres metros sobre el cielo,Three Steps Above Heaven,Three Steps Above Heaven Collection,141649,33539859
288,109689,2012-06-22,Tengo ganas de ti,I Want You,Three Steps Above Heaven Collection,141649,66858411
289,12230,1961-01-25,One Hundred and One Dalmatians,One Hundred and One Dalmatians,101 Dalmatians (Animated) Collection,100693,179351
290,13654,2002-11-06,101 Dalmatians II: Patch's London Adventure,101 Dalmatians II: Patch's London Adventure,101 Dalmatians (Animated) Collection,100693,1730084
291,62,1968-04-02,2001: A Space Odyssey,2001: A Space Odyssey,The Space Odyssey Series,4438,23941708
292,4437,1984-12-06,2010,2010,The Space Odyssey Series,4438,17275600
293,1924,1978-12-14,Superman,Superman,Superman Collection,8537,12108230
294,9531,1983-06-17,Superman III,Superman III,Superman Collection,8537,1059701
295,8536,1980-12-12,Superman II,Superman II,Superman Collection,8537,1059280
296,1452,2006-06-28,Superman Returns,Superman Returns,Superman Collection,8537,1082656
297,11411,1987-07-24,Superman IV: The Quest for Peace,Superman IV: The Quest for Peace,Superman Collection,8537,407628
298,25188,1971-10-03,The Last Picture Show,The Last Picture Show,The Last Picture Show and Texasville,751961,74868
299,82545,1990-09-28,Texasville,Texasville,The Last Picture Show and Texasville,751961,5593097
