,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
200,60175,1980-04-30,Les sous-doués,The Under-Gifted,The Under-Gifted Collection,215293,41909518
201,51925,1982-03-10,Les Sous-Doués En Vacances,The Under-Gifted In Vacation,The Under-Gifted Collection,215293,77972459
202,9017,2008-03-11,Outpost,Outpost,Outpost Collection,108804,60264972
203,100183,2012-04-25,Outpost: Black Sun,Outpost: Black Sun,Outpost Collection,108804,44341922
204,164377,2013-06-26,Outpost: Rise of the Spetsnaz,Outpost: Rise of the Spetsnaz,Outpost Collection,108804,44920794
205,476339,2008-12-09,Daydream Obsession 3: Legacy,Daydream Obsession 3: Legacy,Daydream Obsession Collection,579847,74537
206,476333,2004-11-23,Daydream Obsession 2: Infidelities,Daydream Obsession 2: Infidelities,Daydream Obsession Collection,579847,3389561
207,201371,2003-11-23,Daydream Obsession,Daydream Obsession,Daydream Obsession Collection,579847,648779
208,105,1985-07-03,Back to the Future,Back to the Future,Back to the Future Collection,264,42993
209,165,1989-11-22,Back to the Future Part II,Back to the Future Part II,Back to the Future Collection,264,213270
210,196,1990-05-25,Back to the Future Part III,Back to the Future Part III,Back to the Future Collection,264,213275
211,15602,1995-12-22,Grumpier Old Men,Grumpier Old Men,Grumpy Old Men Collection,119050,1934018
212,11520,1993-12-25,Grumpy Old Men,Grumpy Old Men,Grumpy Old Men Collection,119050,1934018
213,212914,1976-09-27,Dawn: Portrait of a Teenage Runaway,Dawn: Portrait of a Teenage Runaway,Teenage Runaway Collection,930059,11437850
214,258599,1977-05-16,Alexander: The Other Side of Dawn,Alexander: The Other Side of Dawn,Teenage Runaway Collection,930059,2184621
215,27813,1982-04-02,Basket Case,Basket Case,Basket Case Trilogy,104716,2283532
216,27815,1990-03-02,Basket Case 2,Basket Case 2,Basket Case Trilogy,104716,4055526
217,27816,1992-02-21,Basket Case 3: The Progeny,Basket Case 3: The Progeny,Basket Case Trilogy,104716,4498928
218,392663,1980-02-16,The Trouble with Miss Switch,The Trouble with Miss Switch,Miss Switch Collection,930063,2976814
219,392603,1982-01-16,Miss Switch to the Rescue,Miss Switch to the Rescue,Miss Switch Collection,930063,47364341
220,13683,2002-06-24,Tarzan & Jane,Tarzan & Jane,Tarzan (Animation) Collection,106768,4118310
221,15657,2005-06-13,Tarzan II,Tarzan II,Tarzan (Animation) Collection,106768,4118336
222,37135,1999-06-18,Tarzan,Tarzan,Tarzan (Animation) Collection,106768,13680600
223,9529,1992-10-16,Candyman,Candyman,Candyman Collection,98580,1256990
224,10824,1995-03-17,Candyman: Farewell to the Flesh,Candyman: Farewell to the Flesh,Candyman Collection,98580,5106720
225,12485,1999-07-09,Candyman: Day of the Dead,Candyman: Day of the Dead,Candyman Collection,98580,8824700
226,565028,2021-08-25,Candyman,Candyman,Candyman Collection,98580,1256990
227,17804,1948-12-17,The Paleface,The Paleface,The Paleface Collection,456980,2245922
228,30801,1952-07-14,Son of Paleface,Son of Paleface,The Paleface Collection,456980,2236141
229,23479,1976-04-06,The Bad News Bears,The Bad News Bears,The Bad News Bears Collection,215326,464128
230,19050,1977-07-08,The Bad News Bears in Breaking Training,The Bad News Bears in Breaking Training,The Bad News Bears Collection,215326,1632587
231,66946,1978-06-30,The Bad News Bears Go to Japan,The Bad News Bears Go to Japan,The Bad News Bears Collection,215326,3096374
232,617,1998-03-20,Wild Things,Wild Things,Wild Things Collection,33059,423372
233,10367,2004-02-19,Wild Things 2,Wild Things 2,Wild Things Collection,33059,423372
234,17124,2005-02-19,Wild Things: Diamonds in the Rough,Wild Things: Diamonds in the Rough,Wild Things Collection,33059,4990409
235,37708,2010-06-01,Wild Things: Foursome,Wild Things: Foursome,Wild Things Collection,33059,26967701
236,27414,1984-11-09,"Silent Night, Deadly Night","Silent Night, Deadly Night","Silent Night, Deadly Night Collection",256296,1954311
237,50719,1987-04-10,"Silent Night, Deadly Night Part 2","Silent Night, Deadly Night Part 2","Silent Night, Deadly Night Collection",256296,2680994
238,42709,1989-11-09,"Silent Night, Deadly Night 3: Better Watch Out!","Silent Night, Deadly Night 3: Better Watch Out!","Silent Night, Deadly Night Collection",256296,2680994
239,59762,1990-11-21,Silent Night Deadly Night 4: Initiation,Silent Night Deadly Night 4: Initiation,"Silent Night, Deadly Night Collection",256296,2892393
240,70984,1991-11-06,"Silent Night, Deadly Night 5: The Toy Maker","Silent Night, Deadly Night 5: The Toy Maker","Silent Night, Deadly Night Collection",256296,5906516
241,28153,1974-04-26,It's Alive,It's Alive,It's Alive Collection,256297,2990847
242,28155,1978-05-10,It Lives Again,It Lives Again,It's Alive Collection,256297,46477394
243,49684,1987-05-27,It's Alive III: Island of the Alive,It's Alive III: Island of the Alive,It's Alive Collection,256297,46491872
244,50698,2011-09-09,Grave Encounters,Grave Encounters,Grave Encounters Collection,135466,37201724
245,134366,2012-10-12,Grave Encounters 2,Grave Encounters 2,Grave Encounters Collection,135466,37201724
246,6471,1979-12-14,The Jerk,The Jerk,The Jerk Collection,983340,179044
247,87243,1984-01-06,"The Jerk, Too","The Jerk, Too",The Jerk Collection,983340,51312095
248,161,2001-12-07,Ocean's Eleven,Ocean's Eleven,Ocean's Collection,304,2251266
249,163,2004-12-09,Ocean's Twelve,Ocean's Twelve,Ocean's Collection,304,1046470
