id,release_date,original_title,title
122,2003-12-17,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
121,2002-12-18,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers
49444,2011-05-25,Kung Fu Panda 2,Kung Fu Panda 2
41446,2011-04-13,Scream 4,Scream 4
674,2005-11-16,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire
809,2004-05-19,Shrek 2,Shrek 2
49013,2011-06-11,Cars 2,Cars 2
772,1992-11-15,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York
863,1999-10-30,Toy Story 2,Toy Story 2
13683,2002-06-24,Tarzan & Jane,Tarzan & Jane
10527,2008-10-30,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa
4234,2000-02-04,Scream 3,Scream 3
559,2007-05-01,Spider-Man 3,Spider-Man 3
10192,2010-05-16,Shrek Forever After,Shrek Forever After
4233,1997-12-12,Scream 2,Scream 2
125509,2012-10-23,Wrong Turn 5: Bloodlines,Wrong Turn 5: Bloodlines
810,2007-05-17,Shrek the Third,Shrek the Third
29293,2006-02-11,House of the Dead 2,House of the Dead 2
10193,2010-06-16,Toy Story 3,Toy Story 3
28260,1993-10-01,Return of the Living Dead III,Return of the Living Dead III
13683,2002-06-24,Tarzan & Jane,Tarzan & Jane
810,2007-05-17,Shrek the Third,Shrek the Third
8355,2009-06-26,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs
11430,2004-02-06,The Lion King 1½,The Lion King 1½
25018,1990-01-12,Leatherface: The Texas Chainsaw Massacre III,Leatherface: The Texas Chainsaw Massacre III
29293,2006-02-11,House of the Dead 2,House of the Dead 2
1734,2001-05-04,The Mummy Returns,The Mummy Returns
109689,2012-06-22,Tengo ganas de ti,I Want You
950,2006-03-29,Ice Age: The Meltdown,Ice Age: The Meltdown
8961,2003-07-18,Bad Boys II,Bad Boys II
1369,1985-05-21,Rambo: First Blood Part II,Rambo: First Blood Part II
34851,2010-07-03,Predators,Predators
10040,2005-03-11,Miss Congeniality 2: Armed and Fabulous,Miss Congeniality 2: Armed and Fabulous
74997,2011-10-06,The Human Centipede 2 (Full Sequence),The Human Centipede 2 (Full Sequence)
57800,2012-06-27,Ice Age: Continental Drift,Ice Age: Continental Drift
10160,1989-08-11,A Nightmare on Elm Street: The Dream Child,A Nightmare on Elm Street: The Dream Child
28260,1993-10-01,Return of the Living Dead III,Return of the Living Dead III
30827,1974-02-01,Deep Throat Part II,Deep Throat Part II
12212,2000-09-22,Urban Legends: Final Cut,Urban Legends: Final Cut
9823,1997-11-11,Mortal Kombat: Annihilation,Mortal Kombat: Annihilation
8536,1980-12-12,Superman II,Superman II
10014,1985-11-01,A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street Part 2: Freddy's Revenge
28302,1998-08-04,The Swan Princess: The Mystery of the Enchanted Kingdom,The Swan Princess: The Mystery of the Enchanted Kingdom
10651,1988-07-13,The Dead Pool,The Dead Pool
71552,2012-04-04,American Reunion,American Reunion
38234,2010-04-17,Undisputed III: Redemption,Undisputed III: Redemption
10546,1996-08-29,The Crow: City of Angels,The Crow: City of Angels
29239,1942-10-23,The Mummy's Tomb,The Mummy's Tomb
11284,1991-09-05,Freddy's Dead: The Final Nightmare,Freddy's Dead: The Final Nightmare
11451,2005-06-22,Herbie Fully Loaded,Herbie Fully Loaded
8856,1986-06-18,The Karate Kid Part II,The Karate Kid Part II
11281,1981-10-30,Halloween II,Halloween II
56292,2011-12-07,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol
10987,1995-09-29,Halloween: The Curse of Michael Myers,Halloween: The Curse of Michael Myers
11675,1998-08-05,Halloween H20: 20 Years Later,Halloween H20: 20 Years Later
165,1989-11-22,Back to the Future Part II,Back to the Future Part II
8810,1981-12-24,Mad Max 2,Mad Max 2
14128,2002-02-23,Cinderella II: Dreams Come True,Cinderella II: Dreams Come True
20526,2010-12-14,TRON: Legacy,TRON: Legacy
34636,1990-10-25,The NeverEnding Story II: The Next Chapter,The NeverEnding Story II: The Next Chapter
72571,2011-10-19,Paranormal Activity 3,Paranormal Activity 3
28425,1944-06-09,The Invisible Man's Revenge,The Invisible Man's Revenge
12118,1986-03-20,Police Academy 3: Back in Training,Police Academy 3: Back in Training
61964,1992-06-04,Stepfather 3,Stepfather 3
11442,2002-07-01,Halloween: Resurrection,Halloween: Resurrection
196,1990-05-25,Back to the Future Part III,Back to the Future Part III
10131,1988-08-19,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street 4: The Dream Master
10576,1983-06-03,Psycho II,Psycho II
29748,1970-05-07,Taste the Blood of Dracula,Taste the Blood of Dracula
10225,1986-08-01,Friday the 13th Part VI: Jason Lives,Friday the 13th Part VI: Jason Lives
1979,2007-06-13,Fantastic Four: Rise of the Silver Surfer,Fantastic Four: Rise of the Silver Surfer
29243,1944-07-07,The Mummy's Ghost,The Mummy's Ghost
31646,1982-08-14,Piranha II: The Spawning,Piranha II: The Spawning
11966,1988-07-06,Short Circuit 2,Short Circuit 2
11586,1977-06-17,Exorcist II: The Heretic,Exorcist II: The Heretic
29242,1944-12-22,The Mummy's Curse,The Mummy's Curse
1572,1995-05-19,Die Hard: With a Vengeance,Die Hard: With a Vengeance
1895,2005-05-17,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith
9714,1997-12-12,Home Alone 3,Home Alone 3
55301,2011-12-14,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked
1573,1990-07-03,Die Hard 2,Die Hard 2
11862,1995-12-08,Father of the Bride Part II,Father of the Bride Part II
10327,2003-07-02,"Legally Blonde 2: Red, White & Blonde","Legally Blonde 2: Red, White & Blonde"
28601,1995-05-13,Problem Child 3,Problem Child 3
10281,1988-05-13,Friday the 13th Part VII: The New Blood,Friday the 13th Part VII: The New Blood
34205,2001-10-12,Halloweentown II: Kalabar's Revenge,Halloweentown II: Kalabar's Revenge
29794,1985-08-28,Howling II: Stirba - Werewolf Bitch,Howling II: Stirba - Werewolf Bitch
28421,1940-01-12,The Invisible Man Returns,The Invisible Man Returns
15092,2009-04-16,Crank: High Voltage,Crank: High Voltage
1687,1971-05-20,Escape from the Planet of the Apes,Escape from the Planet of the Apes
558,2004-06-25,Spider-Man 2,Spider-Man 2
12448,2002-02-06,The Hunchback of Notre Dame II,The Hunchback of Notre Dame II
8077,1992-05-22,Alien³,Alien³
31638,1979-05-18,Beyond the Poseidon Adventure,Beyond the Poseidon Adventure
31947,1986-12-16,King Kong Lives,King Kong Lives
29778,1968-11-07,Dracula Has Risen from the Grave,Dracula Has Risen from the Grave
28855,1971-08-18,The Return of Count Yorga,The Return of Count Yorga
10869,1974-02-12,Herbie Rides Again,Herbie Rides Again
34204,2006-10-20,Return to Halloweentown,Return to Halloweentown
21435,2006-02-01,Les Bronzés 3 : Amis pour la vie,French Fried Vacations 3: Friends Forever
36669,2002-11-17,Die Another Day,Die Another Day
11357,1988-10-21,Halloween 4: The Return of Michael Myers,Halloween 4: The Return of Michael Myers
11361,1989-10-12,Halloween 5: The Revenge of Michael Myers,Halloween 5: The Revenge of Michael Myers
3177,2003-07-05,バトル・ロワイアルII 鎮魂歌,Battle Royale II: Requiem
28423,1940-12-28,The Invisible Woman,The Invisible Woman
9730,1984-04-13,Friday the 13th: The Final Chapter,Friday the 13th: The Final Chapter
9728,1982-08-13,Friday the 13th Part III,Friday the 13th Part III
13205,2006-01-26,Bambi II,Bambi II
16119,2007-02-06,Cinderella III: A Twist in Time,Cinderella III: A Twist in Time
12594,1999-03-12,Wishmaster 2: Evil Never Dies,Wishmaster 2: Evil Never Dies
10824,1995-03-17,Candyman: Farewell to the Flesh,Candyman: Farewell to the Flesh
67395,1998-01-27,L.E.T.H.A.L. Ladies: Return to Savage Beach,L.E.T.H.A.L. Ladies: Return to Savage Beach
40761,1955-05-13,Revenge of the Creature,Revenge of the Creature
21661,1998-08-14,Air Bud: Golden Receiver,Air Bud: Golden Receiver
28426,1942-08-07,Invisible Agent,Invisible Agent
12639,1966-10-19,Return of the Seven,Return of the Seven
8078,1997-11-12,Alien Resurrection,Alien Resurrection
28635,2001-10-23,Wishmaster 3: Beyond the Gates of Hell,Wishmaster 3: Beyond the Gates of Hell
1571,2007-06-20,Live Free or Die Hard,Live Free or Die Hard
3124,1964-05-08,The Evil of Frankenstein,The Evil of Frankenstein
9725,1981-05-01,Friday the 13th Part 2,Friday the 13th Part 2
10495,1989-06-16,The Karate Kid Part III,The Karate Kid Part III
10766,1978-06-09,Damien: Omen II,Damien: Omen II
10283,1989-07-28,Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th Part VIII: Jason Takes Manhattan
624479,2006-11-02,Superman II: The Richard Donner Cut,Superman II: The Richard Donner Cut
21780,1995-11-18,Annie: A Royal Adventure,Annie: A Royal Adventure
30285,1996-12-25,The Evening Star,The Evening Star
1452,2006-06-28,Superman Returns,Superman Returns
7227,1977-03-11,Airport '77,Airport '77
16353,2008-12-04,องค์บาก 2,Ong Bak 2
38322,2011-02-16,"Big Mommas: Like Father, Like Son","Big Mommas: Like Father, Like Son"
9355,1985-06-29,Mad Max Beyond Thunderdome,Mad Max Beyond Thunderdome
34530,1961-01-28,人間の條件　完結篇,The Human Condition III: A Soldier's Prayer
22821,2009-11-24,The Boondock Saints II: All Saints Day,The Boondock Saints II: All Saints Day
15590,2006-02-21,The Prince & Me 2: The Royal Wedding,The Prince & Me 2: The Royal Wedding
12129,1980-06-25,Herbie Goes Bananas,Herbie Goes Bananas
22914,1998-08-01,新機動戦記ガンダムＷ Endless Waltz 特別篇,Gundam Wing: The Endless Waltz
13204,2007-03-10,Hellboy Animated: Blood and Iron,Hellboy Animated: Blood and Iron
49684,1987-05-27,It's Alive III: Island of the Alive,It's Alive III: Island of the Alive
9731,1985-03-22,Friday the 13th: A New Beginning,Friday the 13th: A New Beginning
21882,1976-08-25,Gator,Gator
8965,2003-02-25,Atlantis: Milo's Return,Atlantis: Milo's Return
11067,1994-03-30,Major League II,Major League II
96,1987-05-18,Beverly Hills Cop II,Beverly Hills Cop II
16337,1986-08-22,The Texas Chainsaw Massacre 2,The Texas Chainsaw Massacre 2
163,2004-12-09,Ocean's Twelve,Ocean's Twelve
71670,2011-12-22,Hostel: Part III,Hostel: Part III
13690,2008-09-24,Open Season 2,Open Season 2
34479,1970-11-08,Scars of Dracula,Scars of Dracula
11238,1996-05-20,Aladdin and the King of Thieves,Aladdin and the King of Thieves
58233,2011-09-15,Johnny English Reborn,Johnny English Reborn
2665,1982-12-10,Airplane II: The Sequel,Airplane II: The Sequel
10061,1996-08-09,Escape from L.A.,Escape from L.A.
942,1989-07-07,Lethal Weapon 2,Lethal Weapon 2
12600,2001-07-06,劇場版ポケットモンスター セレビィ 時を超えた遭遇,Pokémon 4Ever
11411,1987-07-24,Superman IV: The Quest for Peace,Superman IV: The Quest for Peace
43417,1972-08-01,The Magnificent Seven Ride!,The Magnificent Seven Ride!
115695,1988-04-20,El Lute II: mañana seré libre,El Lute II: Tomorrow I'll Be Free
10841,1979-03-01,Steiner - Das Eiserne Kreuz Teil II,Breakthrough
12702,1991-12-11,Critters 3,Critters 3
12685,2010-06-10,BloodRayne: The Third Reich,BloodRayne: The Third Reich
579,1978-06-16,Jaws 2,Jaws 2
9335,2005-08-03,Transporter 2,Transporter 2
15370,2002-07-19,猫の恩返し,The Cat Returns
17692,1983-07-22,Jaws 3-D,Jaws 3-D
13654,2002-11-06,101 Dalmatians II: Patch's London Adventure,101 Dalmatians II: Patch's London Adventure
29906,1981-04-08,El retorno del Hombre Lobo,Night of the Werewolf
9834,2006-02-15,The Net 2.0,The Net 2.0
186383,1988-10-08,きまぐれオレンジ★ロード　あの日にかえりたい,Kimagure Orange Road: I Want to Return to That Day
13155,1985-06-21,Return to Oz,Return to Oz
21828,1991-03-20,Flirting,Flirting
24935,2005-10-15,Return of the Living Dead: Necropolis,Return of the Living Dead: Necropolis
10320,2005-03-10,The Ring Two,The Ring Two
7341,1999-03-12,The Rage: Carrie 2,The Rage: Carrie 2
39462,1969-12-20,ゴジラ・ミニラ・ガバラ オール怪獣大進撃,All Monsters Attack
72391,2011-06-01,Marley & Me: The Puppy Years,Marley & Me: The Puppy Years
13417,2005-12-05,Kronk's New Groove,Kronk's New Groove
944,1998-07-10,Lethal Weapon 4,Lethal Weapon 4
16690,2002-02-14,Return to Never Land,Return to Never Land
24993,1991-01-30,Kickboxer 2: The Road Back,Kickboxer 2: The Road Back
10344,1989-02-10,The Fly II,The Fly II
41671,1992-07-16,Amityville 1992: It's About Time,Amityville 1992: It's About Time
71668,2012-05-11,Piranha 3DD,Piranha 3DD
13767,2006-11-02,The Santa Clause 3: The Escape Clause,The Santa Clause 3: The Escape Clause
943,1992-05-15,Lethal Weapon 3,Lethal Weapon 3
10367,2004-02-19,Wild Things 2,Wild Things 2
3127,1958-06-13,The Revenge of Frankenstein,The Revenge of Frankenstein
41848,1990-05-07,The Amityville Curse,The Amityville Curse
14873,2003-02-07,The Jungle Book 2,The Jungle Book 2
28762,1992-05-11,Waxwork II: Lost in Time,Waxwork II: Lost in Time
11133,1986-05-23,Poltergeist II: The Other Side,Poltergeist II: The Other Side
5550,1993-01-21,RoboCop 3,RoboCop 3
12662,1986-04-02,Psycho III,Psycho III
28751,1992-01-29,976-EVIL II,976-EVIL II
31498,1940-09-20,The Mummy's Hand,The Mummy's Hand
10594,2004-03-23,The Skulls III,The Skulls III
25752,1999-10-19,Children of the Corn 666: Isaac's Return,Children of the Corn 666: Isaac's Return
57089,2011-04-29,Hoodwinked Too! Hood VS. Evil,Hoodwinked Too! Hood VS. Evil
45233,1983-05-06,Blade Violent - I violenti,Women's Prison Massacre
22240,1990-02-07,Ripoux contre Ripoux,My New Partner II
