,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,id,collection,collection_id
179,33872851,/m/09vnx57,The Lone Wolf Meets a Lady,1940-05-30,,71.0,"{""/m/0349s"": ""Greek Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/028v3"": ""Detective fiction"", ""/m/0vjs6"": ""Detective"", ""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",85231,Lone Wolf Collection,395433
309,6273971,/m/0f_17k,"The Prophet, the Gold and the Transylvanians",1978,,,"{""/m/02hxc3j"": ""Romanian Language""}","{""/m/06c1y"": ""Romania""}","{""/m/01z4y"": ""Comedy""}",147683,Transylvanians Trilogy,620931
771,399402,/m/023p33,Cinderella,1950-02-15,85000000.0,74.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02l7c8"": ""Romance Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hqxf"": ""Family Film"", ""/m/04t36"": ""Musical"", ""/m/0hcr"": ""Animation""}",11224,Cinderella Collection,55419
902,3694061,/m/09vttt,Carry On Teacher,1959-08,,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01z4y"": ""Comedy""}",32113,Carry On Collection,918027
1045,3504034,/m/09h37b,The Mummy's Ghost,1944-07-07,,61.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03jp5h0"": ""Archaeology"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film""}",29243,The Mummy (Universal) Collection,221544
1532,2236141,/m/06y5pv,Son of Paleface,1952,3400000.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3mzj"": ""Comedy Western"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hfjk"": ""Western"", ""/m/06nbt"": ""Satire"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3mz5"": ""Comedy of Errors"", ""/m/02kdv5l"": ""Action""}",30801,The Paleface Collection,456980
1724,74868,/m/0jym0,The Last Picture Show,1971-10-03,29133000.0,126.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/0clz1b"": ""Slice of life story"", ""/m/09n5t_"": ""Americana"", ""/m/01g6gs"": ""Black-and-white"", ""/m/04xvlr"": ""Period piece"", ""/m/01j1n2"": ""Coming of age"", ""/m/060__y"": ""Film adaptation"", ""/m/07s9rl0"": ""Drama"", ""/m/03pgfj"": ""New Hollywood""}",25188,The Last Picture Show and Texasville,751961
1924,878005,/m/03l0dw,Ong-Bak: Muay Thai Warrior,2003-10-23,,101.0,"{""/m/02h40lc"": ""English Language"", ""/m/0c_v2"": ""Thai Language""}","{""/m/07f1x"": ""Thailand""}","{""/m/01jfsb"": ""Thriller"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}",9316,Ong Bak Collection,94589
3209,414113,/m/025h5s,The Lord of the Rings film trilogy,,,,{},{},{},565,The Ring Collection,14563
3209,414113,/m/025h5s,The Lord of the Rings film trilogy,,,,{},{},{},14564,The Ring Collection,14563
