id,release_date,original_title,title,Wikipedia movie ID
912649,2024-10-22,Venom: The Last Dance,Venom: The Last Dance,70756479
1299652,2024-11-25,Watchmen: Chapter II,Watchmen: Chapter II,33816
539972,2024-12-11,Kraven the Hunter,Kraven the Hunter,58055757
299536,2018-04-25,Avengers: Infinity War,Avengers: Infinity War,57256096
580489,2021-09-30,Venom: Let There Be Carnage,Venom: Let There Be Carnage,72619634
957452,2024-08-21,The Crow,The Crow,70449017
569094,2023-05-31,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,73923826
335983,2018-09-28,Venom,Venom,55612024
889737,2024-10-01,Joker: Folie à Deux,Joker: Folie à Deux,77976338
748783,2024-04-30,The Garfield Movie,The Garfield Movie,73289746
634492,2024-02-14,Madame Web,Madame Web,61904671
566525,2021-09-01,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,59233722
475557,2019-10-01,Joker,Joker,57687434
923667,2024-04-23,九龍城寨之圍城,Twilight of the Warriors: Walled In,78326640
293660,2016-02-09,Deadpool,Deadpool,43867095
791373,2021-03-18,Zack Snyder's Justice League,Zack Snyder's Justice League,64017869
557,2002-05-01,Spider-Man,Spider-Man,146947
1087822,2024-08-29,Hellboy: The Crooked Man,Hellboy: The Crooked Man,73061240
824003,2023-11-30,Diabolik chi sei?,Diabolik - Who Are You?,75511353
383498,2018-05-10,Deadpool 2,Deadpool 2,47495546
561,2005-02-08,Constantine,Constantine,1210303
155,2008-07-16,The Dark Knight,The Dark Knight,21145395
516632,2020-10-22,The Empty Man,The Empty Man,51126878
284054,2018-02-13,Black Panther,Black Panther,41677925
559,2007-05-01,Spider-Man 3,Spider-Man 3,702117
177572,2014-10-24,Big Hero 6,Big Hero 6,39345917
414906,2022-03-01,The Batman,The Batman,47200019
640146,2023-02-15,Ant-Man and the Wasp: Quantumania,Ant-Man and the Wasp: Quantumania,73022536
299534,2019-04-24,Avengers: Endgame,Avengers: Endgame,60597741
447365,2023-05-03,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,51126744
36647,1998-08-21,Blade,Blade,471544
476669,2021-12-22,The King's Man,The King's Man,59223253
24428,2012-04-25,The Avengers,The Avengers,22114132
609681,2023-11-08,The Marvels,The Marvels,61509849
298618,2023-06-13,The Flash,The Flash,43563602
364,1992-06-19,Batman Returns,Batman Returns,4728
196867,2014-12-18,Annie,Annie,39830751
1209290,2024-07-15,Justice League: Crisis on Infinite Earths Part Three,Justice League: Crisis on Infinite Earths Part Three,75816364
453395,2022-05-04,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,70674594
36586,2002-03-22,Blade II,Blade II,479757
1244492,2024-06-28,ルックバック,Look Back,78365314
324857,2018-12-06,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,59349121
1930,2012-06-23,The Amazing Spider-Man,The Amazing Spider-Man,25862453
1924,1978-12-14,Superman,Superman,362719
363088,2018-07-04,Ant-Man and the Wasp,Ant-Man and the Wasp,57851177
36648,2004-12-08,Blade: Trinity,Blade: Trinity,1129583
315635,2017-07-05,Spider-Man: Homecoming,Spider-Man: Homecoming,45359871
284053,2017-10-02,Thor: Ragnarok,Thor: Ragnarok,53822921
284052,2016-10-25,Doctor Strange,Doctor Strange,41668588
1726,2008-04-30,Iron Man,Iron Man,5676692
505642,2022-11-09,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,57234452
1927,2003-06-19,Hulk,Hulk,407591
68721,2013-04-18,Iron Man 3,Iron Man 3,38948611
629542,2022-03-17,The Bad Guys,The Bad Guys,62421259
1003596,2026-04-29,Avengers: Doomsday,Avengers: Doomsday,44254295
209112,2016-03-23,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2619910
141052,2017-11-15,Justice League,Justice League,44120383
297762,2017-05-30,Wonder Woman,Wonder Woman,48566181
287947,2019-03-29,Shazam!,Shazam!,43613050
99861,2015-04-22,Avengers: Age of Ultron,Avengers: Age of Ultron,46419730
102382,2014-04-16,The Amazing Spider-Man 2,The Amazing Spider-Man 2,35625166
10138,2010-04-28,Iron Man 2,Iron Man 2,25958811
429617,2019-06-28,Spider-Man: Far From Home,Spider-Man: Far From Home,61108346
464052,2020-12-16,Wonder Woman 1984,Wonder Woman 1984,54426188
616037,2022-07-06,Thor: Love and Thunder,Thor: Love and Thunder,71234445
263115,2017-02-28,Logan,Logan,43655965
271110,2016-04-27,Captain America: Civil War,Captain America: Civil War,50302724
13183,2009-03-04,Watchmen,Watchmen,5016250
207703,2015-01-24,Kingsman: The Secret Service,Kingsman: The Secret Service,39321645
436969,2021-07-28,The Suicide Squad,The Suicide Squad,49632909
624091,2022-11-17,Sri Asih,Sri Asih,75086573
98566,2014-08-07,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,35249972
283995,2017-04-19,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,53716703
436270,2022-10-19,Black Adam,Black Adam,57126738
4513,2007-10-17,30 Days of Night,30 Days of Night,6941760
49026,2012-07-17,The Dark Knight Rises,The Dark Knight Rises,29075630
187,2005-04-01,Sin City,Sin City,1336308
10195,2011-04-21,Thor,Thor,12673434
567604,2018-12-11,Once Upon a Deadpool,Once Upon a Deadpool,47495546
838240,2023-12-06,Robot Dreams,Robot Dreams,74621258
854,1994-07-29,The Mask,The Mask,1485962
118340,2014-07-30,Guardians of the Galaxy,Guardians of the Galaxy,36450985
558,2004-06-25,Spider-Man 2,Spider-Man 2,612052
297802,2018-12-07,Aquaman,Aquaman,43549657
547016,2020-07-10,The Old Guard,The Old Guard,60599040
299537,2019-03-06,Captain Marvel,Captain Marvel,43603241
76338,2013-10-30,Thor: The Dark World,Thor: The Dark World,40833242
272,2005-06-10,Batman Begins,Batman Begins,481605
8920,2004-06-10,Garfield,Garfield,348449
497698,2021-01-01,Black Widow,Black Widow,37497391
19959,2009-09-24,Surrogates,Surrogates,18448029
35552,2010-04-09,Les Aventures extraordinaires d'Adèle Blanc-Sec,The Extraordinary Adventures of Adèle Blanc-Sec,26632998
1724,2008-06-12,The Incredible Hulk,The Incredible Hulk,5476946
246655,2016-05-18,X-Men: Apocalypse,X-Men: Apocalypse,73640314
545609,2020-04-23,Extraction,Extraction,58339992
9495,1994-05-11,The Crow,The Crow,406339
1271,2007-03-07,300,300,2465797
184315,2014-07-23,Hercules,Hercules,25462974
20533,2010-06-18,Jonah Hex,Jonah Hex,22318957
34813,2010-04-23,The Losers,The Losers,9183160
524434,2021-11-03,Eternals,Eternals,61329320
127585,2014-05-15,X-Men: Days of Future Past,X-Men: Days of Future Past,71463256
1061474,2025-07-09,Superman,Superman,57255388
644124,2022-10-28,Dampyr,Dampyr,71830198
53182,2014-03-05,300: Rise of an Empire,300: Rise of an Empire,73571451
607,1997-07-02,Men in Black,Men in Black,167599
456740,2019-04-10,Hellboy,Hellboy,53997522
320288,2019-06-05,Dark Phoenix,Dark Phoenix,53852716
49521,2013-06-12,Man of Steel,Man of Steel,31316475
526896,2022-03-30,Morbius,Morbius,56842267
366924,2016-01-19,Batman: Bad Blood,Batman: Bad Blood,48157764
495764,2020-02-05,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),58593196
68735,2016-05-25,Warcraft,Warcraft,39701440
9480,2003-02-14,Daredevil,Daredevil,1129847
1979,2007-06-13,Fantastic Four: Rise of the Silver Surfer,Fantastic Four: Rise of the Silver Surfer,3654271
44912,2011-06-14,Green Lantern,Green Lantern,14119255
479455,2019-06-12,Men in Black: International,Men in Black: International,43788307
1771,2011-07-22,Captain America: The First Avenger,Captain America: The First Avenger,33342974
110415,2013-08-01,Snowpiercer,Snowpiercer,71551185
1250,2007-01-15,Ghost Rider,Ghost Rider,2246413
558144,2017-03-03,Deadpool: No Good Deed,Deadpool: No Good Deed,54261251
339964,2017-07-20,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,49027117
102899,2015-07-14,Ant-Man,Ant-Man,36484005
16237,2006-09-15,Teen Titans: Trouble in Tokyo,Teen Titans: Trouble in Tokyo,6816652
100402,2014-03-20,Captain America: The Winter Soldier,Captain America: The Winter Soldier,42196648
368304,2015-11-16,LEGO Marvel Super Heroes: Avengers Reassembled!,LEGO Marvel Super Heroes: Avengers Reassembled!,34885743
8698,2003-07-11,The League of Extraordinary Gentlemen,The League of Extraordinary Gentlemen,4138142
39514,2010-10-13,RED,RED,17275600
137106,2014-02-06,The Lego Movie,The Lego Movie,37864037
457915,2018-11-23,Superlópez,Superlopez,58406769
268,1989-06-21,Batman,Batman,4726
315837,2017-03-29,Ghost in the Shell,Ghost in the Shell,43736667
18874,2006-09-01,攻殻機動隊: Stand Alone Complex - Solid State Society,Ghost in the Shell: Stand Alone Complex - Solid State Society,4515932
71676,2011-12-10,Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,29007308
35026,2009-10-21,Lucky Luke,Lucky Luke,47332954
1003598,2027-05-05,Avengers: Secret Wars,Avengers: Secret Wars,87987
308531,2016-06-01,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,43643947
100241,2014-01-22,"I, Frankenstein","I, Frankenstein",34914699
1487,2004-04-02,Hellboy,Hellboy,5292920
12139,1993-06-24,Dennis the Menace,Dennis the Menace,3447732
752,2006-02-23,V for Vendetta,V for Vendetta,1891886
547475,2024-06-28,Rendel: Cycle of Revenge,Rendel: Cycle of Revenge,65382682
41154,2012-05-23,Men in Black 3,Men in Black 3,13049327
23483,2010-03-26,Kick-Ass,Kick-Ass,21282769
9738,2005-06-29,Fantastic Four,Fantastic Four,1519783
518068,2018-08-01,신과함께-인과 연,Along with the Gods: The Last 49 Days,56969069
11253,2008-07-11,Hellboy II: The Golden Army,Hellboy II: The Golden Army,5292154
204342,2013-04-13,HK/変態仮面,HK: Forbidden Super Hero,50178904
18882,2005-04-21,Man-Thing,Man-Thing,6135427
324849,2017-02-08,The Lego Batman Movie,The Lego Batman Movie,44079493
415,1997-06-20,Batman & Robin,Batman & Robin,4729
590706,2020-11-20,Jiu Jitsu,Jiu Jitsu,65355241
338762,2020-03-05,Bloodshot,Bloodshot,56794086
1013860,2022-11-15,R.I.P.D. 2: Rise of the Damned,R.I.P.D. 2: Rise of the Damned,71565759
1003581,2023-07-25,Justice League: Warworld,Justice League: Warworld,73315109
608,2002-07-03,Men in Black II,Men in Black II,673599
10214,2005-02-11,Son of the Mask,Son of the Mask,1402997
146216,2013-07-18,RED 2,RED 2,37772346
75612,2013-04-10,Oblivion,Oblivion,35164385
8831,1994-09-15,Timecop,Timecop,1493527
8839,1995-05-26,Casper,Casper,21132353
21683,2003-10-21,Batman: Mystery of the Batwoman,Batman: Mystery of the Batwoman,474750
41513,2011-07-29,The Smurfs,The Smurfs,2675554
7220,2004-04-15,The Punisher,The Punisher,2876569
227973,2015-11-05,The Peanuts Movie,The Peanuts Movie,39367067
42941,2010-10-04,30 Days of Night: Dark Days,30 Days of Night: Dark Days,24746257
340102,2020-04-02,The New Mutants,The New Mutants,46796392
9513,2006-06-15,Garfield: A Tail of Two Kitties,Garfield: A Tail of Two Kitties,3251133
11817,2003-03-28,Bulletproof Monk,Bulletproof Monk,214148
346681,2017-03-24,Wilson,Wilson,46819212
379291,2016-03-26,Justice League vs. Teen Titans,Justice League vs. Teen Titans,49157034
397567,2017-12-20,신과함께-죄와 벌,Along with the Gods: The Two Worlds,51199489
11827,1981-08-07,Heavy Metal,Heavy Metal,155303
217993,2014-01-21,Justice League: War,Justice League: War,40111059
10046,2004-02-09,Blueberry,Renegade,6138703
166424,2015-08-05,Fantastic Four,Fantastic Four,39321638
618344,2020-05-05,Justice League Dark: Apokolips War,Justice League Dark: Apokolips War,63227776
455236,2018-02-06,Accident Man,Accident Man,56496351
879444,2022-10-14,Accident Man: Hitman's Holiday,Accident Man: Hitman's Holiday,72402700
19508,2009-09-11,Garfield's Pet Force,Garfield's Pet Force,20525737
539681,2022-07-27,DC League of Super-Pets,DC League of Super-Pets,60349737
