,id,release_date,original_title,title,Wikipedia movie ID
88,1498,1990-03-30,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,2323962
89,8920,2004-06-10,Garfield,Garfield,348449
90,35552,2010-04-09,Les Aventures extraordinaires d'Adèle Blanc-Sec,The Extraordinary Adventures of Adèle Blanc-Sec,26632998
91,207703,2015-01-24,Kingsman: The Secret Service,Kingsman: The Secret Service,39321645
92,196867,2014-12-18,Annie,Annie,39830751
93,607,1997-07-02,Men in Black,Men in Black,167599
94,297556,2015-01-13,Justice League: Throne of Atlantis,Justice League: Throne of Atlantis,43390318
95,14919,1993-12-25,Batman: Mask of the Phantasm,Batman: Mask of the Phantasm,311765
96,110415,2013-08-01,Snowpiercer,Snowpiercer,35816879
97,297802,2018-12-07,Aquaman,Aquaman,43549657
98,44912,2011-06-14,Green Lantern,Green Lantern,14119255
99,13183,2009-03-04,Watchmen,Watchmen,5016250
100,75,1996-12-13,Mars Attacks!,Mars Attacks!,3565461
101,558,2004-06-25,Spider-Man 2,Spider-Man 2,612052
102,137106,2014-02-06,The Lego Movie,The Lego Movie,37864037
103,746131,2021-11-03,Les Olympiades,"Paris, 13th District",65538595
104,558144,2017-03-03,Deadpool: No Good Deed,Deadpool: No Good Deed,54261251
105,1452,2006-06-28,Superman Returns,Superman Returns,1082656
106,339964,2017-07-20,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,49027117
107,455236,2018-02-06,Accident Man,Accident Man,56496351
108,338762,2020-03-05,Bloodshot,Bloodshot,56794086
109,268,1989-06-21,Batman,Batman,4726
110,545609,2020-04-23,Extraction,Extraction,58339992
111,9495,1994-05-11,The Crow,The Crow,406339
112,49521,2013-06-12,Man of Steel,Man of Steel,31316475
113,15739,1982-05-21,Annie,Annie,12823099
114,53182,2014-03-05,300: Rise of an Empire,300: Rise of an Empire,35718038
115,1499,1993-03-17,Teenage Mutant Ninja Turtles III,Teenage Mutant Ninja Turtles III,1091197
116,1271,2007-03-07,300,300,2465797
117,1979,2007-06-13,Fantastic Four: Rise of the Silver Surfer,Fantastic Four: Rise of the Silver Surfer,3654271
118,324849,2017-02-08,The Lego Batman Movie,The Lego Batman Movie,44079493
119,1273,2007-03-23,TMNT,TMNT,3260698
120,9738,2005-06-29,Fantastic Four,Fantastic Four,1519783
121,1924,1978-12-14,Superman,Superman,362719
122,1497,1991-03-22,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1091197
123,11335,1980-12-12,Popeye,Popeye,1339188
124,479455,2019-06-12,Men in Black: International,Men in Black: International,43788307
125,100402,2014-03-20,Captain America: The Winter Soldier,Captain America: The Winter Soldier,36439749
126,102899,2015-07-14,Ant-Man,Ant-Man,36484005
127,415,1997-06-20,Batman & Robin,Batman & Robin,4729
128,547016,2020-07-10,The Old Guard,The Old Guard,60599040
129,76535,2011-10-25,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,33038861
130,41154,2012-05-23,Men in Black 3,Men in Black 3,31984428
131,10857,1986-10-24,When the Wind Blows,When the Wind Blows,8863891
132,41513,2011-07-29,The Smurfs,The Smurfs,2675554
133,187,2005-04-01,Sin City,Sin City,1336308
134,71676,2011-12-10,Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,29007308
135,169934,2013-04-24,アイアンマン：ライズ・オブ・テクノヴォア,Iron Man: Rise of Technovore,38152481
136,1927,2003-06-19,Hulk,Hulk,407591
137,518068,2018-08-01,신과함께-인과 연,Along with the Gods: The Last 49 Days,56969069
138,284274,2014-07-29,Iron Man & Captain America: Heroes United,Iron Man & Captain America: Heroes United,33715768
139,16456,2005-05-04,The Crow: Wicked Prayer,The Crow: Wicked Prayer,2378072
140,8839,1995-05-26,Casper,Casper,21132353
141,314,2004-07-22,Catwoman,Catwoman,789903
142,10214,2005-02-11,Son of the Mask,Son of the Mask,1402997
143,341013,2017-07-26,Atomic Blonde,Atomic Blonde,48251416
144,397567,2017-12-20,신과함께-죄와 벌,Along with the Gods: The Two Worlds,51199489
145,7220,2004-04-15,The Punisher,The Punisher,2876569
146,14611,2006-08-08,Ultimate Avengers 2,Ultimate Avengers 2,2952825
147,9513,2006-06-15,Garfield: A Tail of Two Kitties,Garfield: A Tail of Two Kitties,3251133
148,768,2001-02-08,From Hell,From Hell,4451435
149,284019,2013-08-16,Phineas and Ferb: Mission Marvel,Phineas and Ferb: Mission Marvel,36450016
150,136400,2013-08-02,2 Guns,2 Guns,37421987
151,30061,2010-02-23,Justice League: Crisis on Two Earths,Justice League: Crisis on Two Earths,24353804
152,618344,2020-05-05,Justice League Dark: Apokolips War,Justice League Dark: Apokolips War,63227776
153,608,2002-07-03,Men in Black II,Men in Black II,673599
154,76589,2012-02-28,Justice League: Doom,Justice League: Doom,33240946
155,1003581,2023-07-25,Justice League: Warworld,Justice League: Warworld,73315109
156,13056,2008-12-05,Punisher: War Zone,Punisher: War Zone,2824791
157,879444,2022-10-14,Accident Man: Hitman's Holiday,Accident Man: Hitman's Holiday,72402700
158,118340,2014-07-30,Guardians of the Galaxy,Guardians of the Galaxy,36450985
159,23483,2010-03-26,Kick-Ass,Kick-Ass,21282769
160,42994,1995-12-23,MEMORIES,Memories,490800
161,368304,2015-11-16,LEGO Marvel Super Heroes: Avengers Reassembled!,LEGO Marvel Super Heroes: Avengers Reassembled!,34885743
162,16140,2006-10-28,デスノート the Last name,Death Note: The Last Name,29133741
163,2395,2008-01-25,Astérix aux Jeux olympiques,Asterix at the Olympic Games,20688153
164,17578,2011-10-24,The Adventures of Tintin,The Adventures of Tintin,11400848
165,10546,1996-08-29,The Crow: City of Angels,The Crow: City of Angels,877220
166,408647,2017-03-31,Teen Titans: The Judas Contract,Teen Titans: The Judas Contract,7026712
167,49049,2012-09-07,Dredd,Dredd,28882162
168,227973,2015-11-05,The Peanuts Movie,The Peanuts Movie,39367067
169,1013860,2022-11-15,R.I.P.D. 2: Rise of the Damned,R.I.P.D. 2: Rise of the Damned,71565759
170,257346,2014-04-19,アベンジャーズ コンフィデンシャル：ブラック・ウィドウ ＆ パニッシャー,Avengers Confidential: Black Widow & Punisher,41717759
171,39514,2010-10-13,RED,RED,25854460
172,42941,2010-10-04,30 Days of Night: Dark Days,30 Days of Night: Dark Days,6941760
173,2661,1966-07-30,Batman,Batman,4727
174,76122,2011-09-13,Marvel One-Shot: The Consultant,Marvel One-Shot: The Consultant,33038861
175,34813,2010-04-23,The Losers,The Losers,9183160
176,65291,2011-04-09,Green Lantern: Emerald Knights,Green Lantern: Emerald Knights,28969169
177,16281,1982-11-10,Creepshow,Creepshow,536521
178,30675,2010-02-02,Planet Hulk,Planet Hulk,4961350
179,729854,2023-08-09,콘크리트 유토피아,Concrete Utopia,67411886
180,618353,2020-10-13,Batman: Death in the Family,Batman: Death in the Family,64694188
181,539681,2022-07-27,DC League of Super-Pets,DC League of Super-Pets,60349737
182,870358,2023-12-08,Merry Little Batman,Merry Little Batman,73654856
183,49849,2011-07-29,Cowboys & Aliens,Cowboys & Aliens,26252728
184,590706,2020-11-20,Jiu Jitsu,Jiu Jitsu,65355241
185,49524,2013-07-18,R.I.P.D.,R.I.P.D.,32451592
186,12139,1993-06-24,Dennis the Menace,Dennis the Menace,3447732
187,886396,2022-10-17,Batman and Superman: Battle of the Super Sons,Batman and Superman: Battle of the Super Sons,71997053
188,366924,2016-01-19,Batman: Bad Blood,Batman: Bad Blood,48157764
189,527729,2018-05-12,Astérix - Le Secret de la potion magique,Asterix: The Secret of the Magic Potion,57898246
190,9947,2005-01-13,Elektra,Elektra,1131021
191,14400,2008-12-17,Largo Winch,The Heir Apparent: Largo Winch,14947020
192,894205,2022-09-25,Werewolf by Night,Werewolf by Night,68574142
193,339095,2020-06-05,The Last Days of American Crime,The Last Days of American Crime,58010112
194,15359,2009-03-03,Wonder Woman,Wonder Woman,18305011
195,598331,2021-02-12,Rumble,Rumble,61585054
196,9385,1976-06-26,Les 12 travaux d'Astérix,The Twelve Tasks of Asterix,2409558
197,15674,1996-04-07,Sabrina the Teenage Witch,Sabrina the Teenage Witch,7597365
198,414,1995-06-16,Batman Forever,Batman Forever,4730
199,15371,1979-07-06,ルパン三世 カリオストロの城,Lupin the Third: The Castle of Cagliostro,89629
200,64202,1999-01-10,Batman Beyond: The Movie,Batman Beyond: The Movie,47200019
