id,release_date,original_title,title
912649,2024-10-22,Venom: The Last Dance,Venom: The Last Dance
1299652,2024-11-25,Watchmen: Chapter II,Watchmen: Chapter II
539972,2024-12-11,Kraven the Hunter,Kraven the Hunter
299536,2018-04-25,Avengers: Infinity War,Avengers: Infinity War
580489,2021-09-30,Venom: Let There Be Carnage,Venom: Let There Be Carnage
957452,2024-08-21,The Crow,The Crow
569094,2023-05-31,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse
335983,2018-09-28,Venom,Venom
889737,2024-10-01,Joker: Folie à Deux,Joker: Folie à Deux
748783,2024-04-30,The Garfield Movie,The Garfield Movie
634492,2024-02-14,Madame Web,Madame Web
566525,2021-09-01,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings
475557,2019-10-01,Joker,Joker
923667,2024-04-23,九龍城寨之圍城,Twilight of the Warriors: Walled In
293660,2016-02-09,Deadpool,Deadpool
791373,2021-03-18,Zack Snyder's Justice League,Zack Snyder's Justice League
557,2002-05-01,Spider-Man,Spider-Man
1087822,2024-08-29,Hellboy: The Crooked Man,Hellboy: The Crooked Man
824003,2023-11-30,Diabolik chi sei?,Diabolik - Who Are You?
383498,2018-05-10,Deadpool 2,Deadpool 2
561,2005-02-08,Constantine,Constantine
155,2008-07-16,The Dark Knight,The Dark Knight
516632,2020-10-22,The Empty Man,The Empty Man
284054,2018-02-13,Black Panther,Black Panther
559,2007-05-01,Spider-Man 3,Spider-Man 3
177572,2014-10-24,Big Hero 6,Big Hero 6
414906,2022-03-01,The Batman,The Batman
640146,2023-02-15,Ant-Man and the Wasp: Quantumania,Ant-Man and the Wasp: Quantumania
299534,2019-04-24,Avengers: Endgame,Avengers: Endgame
447365,2023-05-03,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3
36647,1998-08-21,Blade,Blade
476669,2021-12-22,The King's Man,The King's Man
24428,2012-04-25,The Avengers,The Avengers
609681,2023-11-08,The Marvels,The Marvels
298618,2023-06-13,The Flash,The Flash
364,1992-06-19,Batman Returns,Batman Returns
196867,2014-12-18,Annie,Annie
1209290,2024-07-15,Justice League: Crisis on Infinite Earths Part Three,Justice League: Crisis on Infinite Earths Part Three
453395,2022-05-04,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness
36586,2002-03-22,Blade II,Blade II
1244492,2024-06-28,ルックバック,Look Back
324857,2018-12-06,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse
1930,2012-06-23,The Amazing Spider-Man,The Amazing Spider-Man
1924,1978-12-14,Superman,Superman
363088,2018-07-04,Ant-Man and the Wasp,Ant-Man and the Wasp
36648,2004-12-08,Blade: Trinity,Blade: Trinity
315635,2017-07-05,Spider-Man: Homecoming,Spider-Man: Homecoming
284053,2017-10-02,Thor: Ragnarok,Thor: Ragnarok
284052,2016-10-25,Doctor Strange,Doctor Strange
1726,2008-04-30,Iron Man,Iron Man
505642,2022-11-09,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever
1927,2003-06-19,Hulk,Hulk
68721,2013-04-18,Iron Man 3,Iron Man 3
629542,2022-03-17,The Bad Guys,The Bad Guys
1003596,2026-04-29,Avengers: Doomsday,Avengers: Doomsday
209112,2016-03-23,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice
141052,2017-11-15,Justice League,Justice League
297762,2017-05-30,Wonder Woman,Wonder Woman
287947,2019-03-29,Shazam!,Shazam!
99861,2015-04-22,Avengers: Age of Ultron,Avengers: Age of Ultron
102382,2014-04-16,The Amazing Spider-Man 2,The Amazing Spider-Man 2
10138,2010-04-28,Iron Man 2,Iron Man 2
429617,2019-06-28,Spider-Man: Far From Home,Spider-Man: Far From Home
464052,2020-12-16,Wonder Woman 1984,Wonder Woman 1984
616037,2022-07-06,Thor: Love and Thunder,Thor: Love and Thunder
263115,2017-02-28,Logan,Logan
271110,2016-04-27,Captain America: Civil War,Captain America: Civil War
13183,2009-03-04,Watchmen,Watchmen
207703,2015-01-24,Kingsman: The Secret Service,Kingsman: The Secret Service
436969,2021-07-28,The Suicide Squad,The Suicide Squad
624091,2022-11-17,Sri Asih,Sri Asih
98566,2014-08-07,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
283995,2017-04-19,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2
436270,2022-10-19,Black Adam,Black Adam
4513,2007-10-17,30 Days of Night,30 Days of Night
49026,2012-07-17,The Dark Knight Rises,The Dark Knight Rises
187,2005-04-01,Sin City,Sin City
10195,2011-04-21,Thor,Thor
567604,2018-12-11,Once Upon a Deadpool,Once Upon a Deadpool
838240,2023-12-06,Robot Dreams,Robot Dreams
854,1994-07-29,The Mask,The Mask
118340,2014-07-30,Guardians of the Galaxy,Guardians of the Galaxy
558,2004-06-25,Spider-Man 2,Spider-Man 2
297802,2018-12-07,Aquaman,Aquaman
547016,2020-07-10,The Old Guard,The Old Guard
299537,2019-03-06,Captain Marvel,Captain Marvel
76338,2013-10-30,Thor: The Dark World,Thor: The Dark World
272,2005-06-10,Batman Begins,Batman Begins
8920,2004-06-10,Garfield,Garfield
497698,2021-01-01,Black Widow,Black Widow
19959,2009-09-24,Surrogates,Surrogates
35552,2010-04-09,Les Aventures extraordinaires d'Adèle Blanc-Sec,The Extraordinary Adventures of Adèle Blanc-Sec
1724,2008-06-12,The Incredible Hulk,The Incredible Hulk
246655,2016-05-18,X-Men: Apocalypse,X-Men: Apocalypse
545609,2020-04-23,Extraction,Extraction
9495,1994-05-11,The Crow,The Crow
1271,2007-03-07,300,300
184315,2014-07-23,Hercules,Hercules
20533,2010-06-18,Jonah Hex,Jonah Hex
