,id,release_date,original_title,title,Wikipedia movie ID
0,155,2008-07-16,The Dark Knight,The Dark Knight,4276475.0
1,1726,2008-04-30,Iron Man,Iron Man,5676692.0
2,561,2005-02-08,Constantine,Constantine,1210303.0
3,559,2007-05-01,Spider-Man 3,Spider-Man 3,702117.0
4,557,2002-05-01,Spider-Man,Spider-Man,146947.0
5,36647,1998-08-21,Blade,Blade,471544.0
6,1724,2008-06-12,The Incredible Hulk,The Incredible Hulk,5476946.0
7,752,2006-02-23,V for Vendetta,V for Vendetta,1891886.0
8,272,2005-06-10,Batman Begins,Batman Begins,481605.0
9,1250,2007-01-15,Ghost Rider,Ghost Rider,2246413.0
10,16237,2006-09-15,Teen Titans: Trouble in Tokyo,Teen Titans: Trouble in Tokyo,6816652.0
11,854,1994-07-29,The Mask,The Mask,1485962.0
12,4513,2007-10-17,30 Days of Night,30 Days of Night,6941760.0
13,36648,2004-12-08,Blade: Trinity,Blade: Trinity,1129583.0
14,11253,2008-07-11,Hellboy II: The Golden Army,Hellboy II: The Golden Army,5292154.0
15,36586,2002-03-22,Blade II,Blade II,479757.0
16,1487,2004-04-02,Hellboy,Hellboy,5292920.0
17,364,1992-06-19,Batman Returns,Batman Returns,4728.0
18,1498,1990-03-30,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,2323962.0
19,8920,2004-06-10,Garfield,Garfield,348449.0
20,607,1997-07-02,Men in Black,Men in Black,167599.0
21,14919,1993-12-25,Batman: Mask of the Phantasm,Batman: Mask of the Phantasm,311765.0
22,13183,2009-03-04,Watchmen,Watchmen,5016250.0
23,75,1996-12-13,Mars Attacks!,Mars Attacks!,3565461.0
24,558,2004-06-25,Spider-Man 2,Spider-Man 2,612052.0
25,1452,2006-06-28,Superman Returns,Superman Returns,1082656.0
26,268,1989-06-21,Batman,Batman,4726.0
27,9495,1994-05-11,The Crow,The Crow,406339.0
28,15739,1982-05-21,Annie,Annie,12823099.0
29,1499,1993-03-17,Teenage Mutant Ninja Turtles III,Teenage Mutant Ninja Turtles III,1091197.0
30,1271,2007-03-07,300,300,2465797.0
31,1979,2007-06-13,Fantastic Four: Rise of the Silver Surfer,Fantastic Four: Rise of the Silver Surfer,3654271.0
32,1273,2007-03-23,TMNT,TMNT,3260698.0
33,9738,2005-06-29,Fantastic Four,Fantastic Four,1519783.0
34,1924,1978-12-14,Superman,Superman,362719.0
35,1497,1991-03-22,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1091197.0
36,11335,1980-12-12,Popeye,Popeye,1339188.0
37,415,1997-06-20,Batman & Robin,Batman & Robin,4729.0
38,10857,1986-10-24,When the Wind Blows,When the Wind Blows,8863891.0
39,187,2005-04-01,Sin City,Sin City,1336308.0
40,1927,2003-06-19,Hulk,Hulk,407591.0
41,16456,2005-05-04,The Crow: Wicked Prayer,The Crow: Wicked Prayer,2378072.0
42,8839,1995-05-26,Casper,Casper,21132353.0
43,314,2004-07-22,Catwoman,Catwoman,789903.0
44,10214,2005-02-11,Son of the Mask,Son of the Mask,1402997.0
45,7220,2004-04-15,The Punisher,The Punisher,2876569.0
46,14611,2006-08-08,Ultimate Avengers 2,Ultimate Avengers 2,2952825.0
47,9513,2006-06-15,Garfield: A Tail of Two Kitties,Garfield: A Tail of Two Kitties,3251133.0
48,768,2001-02-08,From Hell,From Hell,4451435.0
49,608,2002-07-03,Men in Black II,Men in Black II,673599.0
50,13056,2008-12-05,Punisher: War Zone,Punisher: War Zone,2824791.0
51,42994,1995-12-23,MEMORIES,Memories,490800.0
52,16140,2006-10-28,デスノート the Last name,Death Note: The Last Name,29133741.0
53,2395,2008-01-25,Astérix aux Jeux olympiques,Asterix at the Olympic Games,20688153.0
54,10546,1996-08-29,The Crow: City of Angels,The Crow: City of Angels,877220.0
55,2661,1966-07-30,Batman,Batman,4727.0
56,16281,1982-11-10,Creepshow,Creepshow,536521.0
57,12139,1993-06-24,Dennis the Menace,Dennis the Menace,3447732.0
58,9947,2005-01-13,Elektra,Elektra,1131021.0
59,14400,2008-12-17,Largo Winch,The Heir Apparent: Largo Winch,14947020.0
60,15359,2009-03-03,Wonder Woman,Wonder Woman,18305011.0
61,9385,1976-06-26,Les 12 travaux d'Astérix,The Twelve Tasks of Asterix,2409558.0
62,15674,1996-04-07,Sabrina the Teenage Witch,Sabrina the Teenage Witch,7597365.0
63,414,1995-06-16,Batman Forever,Batman Forever,4730.0
64,15371,1979-07-06,ルパン三世 カリオストロの城,Lupin the Third: The Castle of Cagliostro,89629.0
65,64202,1999-01-10,Batman Beyond: The Movie,Batman Beyond: The Movie,47200019.0
66,15257,2009-01-27,Hulk vs. Wolverine,Hulk vs. Wolverine,33700618.0
67,14830,2007-08-14,Doctor Strange,Doctor Strange,59353603.0
68,11814,1985-08-01,Weird Science,Weird Science,241171.0
69,4147,2002-07-12,Road to Perdition,Road to Perdition,342741.0
70,14609,2006-02-21,Ultimate Avengers: The Movie,Ultimate Avengers: The Movie,2952825.0
71,8536,1980-12-12,Superman II,Superman II,1059280.0
72,14613,2008-09-02,Next Avengers: Heroes of Tomorrow,Next Avengers: Heroes of Tomorrow,33700618.0
73,9067,1995-03-31,Tank Girl,Tank Girl,9415710.0
74,9482,1995-06-30,Judge Dredd,Judge Dredd,2408918.0
75,9651,1984-07-01,Supergirl,Supergirl,1616817.0
76,9059,1995-01-13,Tales from the Crypt: Demon Knight,Tales from the Crypt: Demon Knight,706861.0
77,11047,1967-12-20,Astérix le Gaulois,Asterix the Gaul,743958.0
78,12593,1972-04-12,Fritz the Cat,Fritz the Cat,3058252.0
79,64883,2000-11-01,Faust: Love of the Damned,Faust: Love of the Damned,3041635.0
80,10658,1986-08-01,Howard the Duck,Howard the Duck,6551171.0
81,9480,2003-02-14,Daredevil,Daredevil,1129847.0
82,8867,1989-10-05,The Punisher,The Punisher,2876564.0
83,59,2005-09-23,A History of Violence,A History of Violence,1726126.0
84,13640,2007-09-18,Superman: Doomsday,Superman: Doomsday,8928586.0
85,9564,1999-02-03,Astérix & Obélix contre César,Asterix & Obelix Take on Caesar,8636365.0
86,11867,1996-05-02,Barb Wire,Barb Wire,4506211.0
87,17445,2009-07-28,Green Lantern: First Flight,Green Lantern: First Flight,21755178.0
88,3687,1974-07-30,Flesh Gordon,Flesh Gordon,2493454.0
89,2994,1968-01-24,Diabolik,Danger: Diabolik,2952273.0
90,16460,2007-09-30,Garfield Gets Real,Garfield Gets Real,12134356.0
91,10336,1997-07-31,Spawn,Spawn,1397876.0
92,17918,1982-01-01,Swamp Thing,Swamp Thing,5929445.0
