id,release_date,original_title,title
912649,2024-10-22,Venom: The Last Dance,Venom: The Last Dance
1299652,2024-11-25,Watchmen: Chapter II,Watchmen: Chapter II
539972,2024-12-11,Kraven the Hunter,Kraven the Hunter
335983,2018-09-28,Venom,Venom
580489,2021-09-30,Venom: Let There Be Carnage,Venom: Let There Be Carnage
889737,2024-10-01,Joker: Folie à Deux,Joker: Folie à Deux
957452,2024-08-21,The Crow,The Crow
748783,2024-04-30,The Garfield Movie,The Garfield Movie
569094,2023-05-31,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse
299536,2018-04-25,Avengers: Infinity War,Avengers: Infinity War
324857,2018-12-06,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse
824003,2023-11-30,Diabolik chi sei?,Diabolik - Who Are You?
155,2008-07-16,The Dark Knight,The Dark Knight
566525,2021-09-01,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings
1087822,2024-08-29,Hellboy: The Crooked Man,Hellboy: The Crooked Man
414906,2022-03-01,The Batman,The Batman
24428,2012-04-25,The Avengers,The Avengers
923667,2024-04-23,九龍城寨之圍城,Twilight of the Warriors: Walled In
315635,2017-07-05,Spider-Man: Homecoming,Spider-Man: Homecoming
1244492,2024-06-28,ルックバック,Look Back
177572,2014-10-24,Big Hero 6,Big Hero 6
102382,2014-04-16,The Amazing Spider-Man 2,The Amazing Spider-Man 2
475557,2019-10-01,Joker,Joker
791373,2021-03-18,Zack Snyder's Justice League,Zack Snyder's Justice League
49026,2012-07-17,The Dark Knight Rises,The Dark Knight Rises
299534,2019-04-24,Avengers: Endgame,Avengers: Endgame
141052,2017-11-15,Justice League,Justice League
293660,2016-02-09,Deadpool,Deadpool
634492,2024-02-14,Madame Web,Madame Web
557,2002-05-01,Spider-Man,Spider-Man
447365,2023-05-03,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3
1209290,2024-07-15,Justice League: Crisis on Infinite Earths Part Three,Justice League: Crisis on Infinite Earths Part Three
98566,2014-08-07,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
505642,2022-11-09,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever
209112,2016-03-23,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice
453395,2022-05-04,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness
609681,2023-11-08,The Marvels,The Marvels
436270,2022-10-19,Black Adam,Black Adam
1930,2012-06-23,The Amazing Spider-Man,The Amazing Spider-Man
429617,2019-06-28,Spider-Man: Far From Home,Spider-Man: Far From Home
298618,2023-06-13,The Flash,The Flash
559,2007-05-01,Spider-Man 3,Spider-Man 3
99861,2015-04-22,Avengers: Age of Ultron,Avengers: Age of Ultron
207703,2015-01-24,Kingsman: The Secret Service,Kingsman: The Secret Service
479455,2019-06-12,Men in Black: International,Men in Black: International
10138,2010-04-28,Iron Man 2,Iron Man 2
383498,2018-05-10,Deadpool 2,Deadpool 2
271110,2016-04-27,Captain America: Civil War,Captain America: Civil War
1726,2008-04-30,Iron Man,Iron Man
284054,2018-02-13,Black Panther,Black Panther
268,1989-06-21,Batman,Batman
13183,2009-03-04,Watchmen,Watchmen
263115,2017-02-28,Logan,Logan
68721,2013-04-18,Iron Man 3,Iron Man 3
1003596,2026-04-29,Avengers: Doomsday,Avengers: Doomsday
53182,2014-03-05,300: Rise of an Empire,300: Rise of an Empire
854,1994-07-29,The Mask,The Mask
272,2005-06-10,Batman Begins,Batman Begins
561,2005-02-08,Constantine,Constantine
297762,2017-05-30,Wonder Woman,Wonder Woman
516632,2020-10-22,The Empty Man,The Empty Man
629542,2022-03-17,The Bad Guys,The Bad Guys
640146,2023-02-15,Ant-Man and the Wasp: Quantumania,Ant-Man and the Wasp: Quantumania
436969,2021-07-28,The Suicide Squad,The Suicide Squad
476669,2021-12-22,The King's Man,The King's Man
49521,2013-06-12,Man of Steel,Man of Steel
283995,2017-04-19,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2
616037,2022-07-06,Thor: Love and Thunder,Thor: Love and Thunder
196867,2014-12-18,Annie,Annie
497698,2021-01-01,Black Widow,Black Widow
246655,2016-05-18,X-Men: Apocalypse,X-Men: Apocalypse
495764,2020-02-05,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)
127585,2014-05-15,X-Men: Days of Future Past,X-Men: Days of Future Past
10195,2011-04-21,Thor,Thor
838240,2023-12-06,Robot Dreams,Robot Dreams
526896,2022-03-30,Morbius,Morbius
308531,2016-06-01,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows
524434,2021-11-03,Eternals,Eternals
339964,2017-07-20,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets
607,1997-07-02,Men in Black,Men in Black
284053,2017-10-02,Thor: Ragnarok,Thor: Ragnarok
8920,2004-06-10,Garfield,Garfield
184315,2014-07-23,Hercules,Hercules
624091,2022-11-17,Sri Asih,Sri Asih
287947,2019-03-29,Shazam!,Shazam!
567604,2018-12-11,Once Upon a Deadpool,Once Upon a Deadpool
464052,2020-12-16,Wonder Woman 1984,Wonder Woman 1984
1724,2008-06-12,The Incredible Hulk,The Incredible Hulk
76338,2013-10-30,Thor: The Dark World,Thor: The Dark World
137106,2014-02-06,The Lego Movie,The Lego Movie
110415,2013-08-01,Snowpiercer,Snowpiercer
297802,2018-12-07,Aquaman,Aquaman
284052,2016-10-25,Doctor Strange,Doctor Strange
1487,2004-04-02,Hellboy,Hellboy
299537,2019-03-06,Captain Marvel,Captain Marvel
